event_id,participant_id,rank,medal,score_raw,points_awarded
world_aquatics_championships_2001_men_diving-1-m-springboard,athlete_Alexander_Dobroskok_RUS,3,bronze,discipline=diving-1-m-springboard;source_discipline=diving;source_event=Men's 1 m springboard;performance=;country=RUS,1.0
world_aquatics_championships_2001_men_diving-1-m-springboard,athlete_Wang_Feng_CHN,1,gold,discipline=diving-1-m-springboard;source_discipline=diving;source_event=Men's 1 m springboard;performance=;country=CHN,3.0
world_aquatics_championships_2001_men_diving-1-m-springboard,athlete_Wang_Tianling_CHN,2,silver,discipline=diving-1-m-springboard;source_discipline=diving;source_event=Men's 1 m springboard;performance=;country=CHN,2.0
world_aquatics_championships_2001_men_diving-10-m-platform,athlete_Alexandre_Despatie_CAN,2,silver,discipline=diving-10-m-platform;source_discipline=diving;source_event=Men's 10 m platform;performance=;country=CAN,2.0
world_aquatics_championships_2001_men_diving-10-m-platform,athlete_Mathew_Helm_AUS,3,bronze,discipline=diving-10-m-platform;source_discipline=diving;source_event=Men's 10 m platform;performance=;country=AUS,1.0
world_aquatics_championships_2001_men_diving-10-m-platform,athlete_Tian_Liang_CHN,1,gold,discipline=diving-10-m-platform;source_discipline=diving;source_event=Men's 10 m platform;performance=;country=CHN,3.0
world_aquatics_championships_2001_men_diving-10-m-platform-synchro,CHN,1,gold,discipline=diving-10-m-platform-synchro;source_discipline=diving;source_event=Men's 10 m platform synchro;performance=;country=CHN,3.0
world_aquatics_championships_2001_men_diving-10-m-platform-synchro,MEX,2,silver,discipline=diving-10-m-platform-synchro;source_discipline=diving;source_event=Men's 10 m platform synchro;performance=;country=MEX,2.0
world_aquatics_championships_2001_men_diving-10-m-platform-synchro,UKR,3,bronze,discipline=diving-10-m-platform-synchro;source_discipline=diving;source_event=Men's 10 m platform synchro;performance=;country=UKR,1.0
world_aquatics_championships_2001_men_diving-3-m-springboard,athlete_Dmitri_Sautin_RUS,1,gold,discipline=diving-3-m-springboard;source_discipline=diving;source_event=Men's 3 m springboard;performance=;country=RUS,3.0
world_aquatics_championships_2001_men_diving-3-m-springboard,athlete_Ken_Terauchi_JPN,3,bronze,discipline=diving-3-m-springboard;source_discipline=diving;source_event=Men's 3 m springboard;performance=;country=JPN,1.0
world_aquatics_championships_2001_men_diving-3-m-springboard,athlete_Wang_Tianling_CHN,2,silver,discipline=diving-3-m-springboard;source_discipline=diving;source_event=Men's 3 m springboard;performance=;country=CHN,2.0
world_aquatics_championships_2001_men_diving-3-m-springboard-synchro,CHN,1,gold,discipline=diving-3-m-springboard-synchro;source_discipline=diving;source_event=Men's 3 m springboard synchro;performance=;country=CHN,3.0
world_aquatics_championships_2001_men_diving-3-m-springboard-synchro,MEX,2,silver,discipline=diving-3-m-springboard-synchro;source_discipline=diving;source_event=Men's 3 m springboard synchro;performance=;country=MEX,2.0
world_aquatics_championships_2001_men_diving-3-m-springboard-synchro,RUS,3,bronze,discipline=diving-3-m-springboard-synchro;source_discipline=diving;source_event=Men's 3 m springboard synchro;performance=;country=RUS,1.0
world_aquatics_championships_2001_men_open-water-swimming-10-km,athlete_Fabio_Venturini_ITA,3,bronze,discipline=open-water-swimming-10-km;source_discipline=open water swimming;source_event=Men's 10 km;performance=;country=ITA,1.0
world_aquatics_championships_2001_men_open-water-swimming-10-km,athlete_Vladimir_Dyatchin_RUS,2,silver,discipline=open-water-swimming-10-km;source_discipline=open water swimming;source_event=Men's 10 km;performance=;country=RUS,2.0
world_aquatics_championships_2001_men_open-water-swimming-10-km,athlete_Yevgeny_Bezruchenko_RUS,1,gold,discipline=open-water-swimming-10-km;source_discipline=open water swimming;source_event=Men's 10 km;performance=;country=RUS,3.0
world_aquatics_championships_2001_men_open-water-swimming-25-km,athlete_Stéphane_Gomez_FRA,2,silver,discipline=open-water-swimming-25-km;source_discipline=open water swimming;source_event=Men's 25 km;performance=;country=FRA,2.0
world_aquatics_championships_2001_men_open-water-swimming-25-km,athlete_Stéphane_Lecat_FRA,3,bronze,discipline=open-water-swimming-25-km;source_discipline=open water swimming;source_event=Men's 25 km;performance=;country=FRA,1.0
world_aquatics_championships_2001_men_open-water-swimming-25-km,athlete_Yuri_Kudinov_RUS,1,gold,discipline=open-water-swimming-25-km;source_discipline=open water swimming;source_event=Men's 25 km;performance=;country=RUS,3.0
world_aquatics_championships_2001_men_open-water-swimming-5-km,athlete_Luca_Baldini_ITA,1,gold,discipline=open-water-swimming-5-km;source_discipline=open water swimming;source_event=Men's 5 km;performance=;country=ITA,3.0
world_aquatics_championships_2001_men_open-water-swimming-5-km,athlete_Marco_Formentini_ITA,3,bronze,discipline=open-water-swimming-5-km;source_discipline=open water swimming;source_event=Men's 5 km;performance=;country=ITA,1.0
world_aquatics_championships_2001_men_open-water-swimming-5-km,athlete_Yevgeny_Bezruchenko_RUS,2,silver,discipline=open-water-swimming-5-km;source_discipline=open water swimming;source_event=Men's 5 km;performance=;country=RUS,2.0
world_aquatics_championships_2001_men_swimming-100-m-backstroke,athlete_Matt_Welsh_AUS,1,gold,discipline=swimming-100-m-backstroke;source_discipline=swimming;source_event=Men's 100 m backstroke;performance=54.31 CR;country=AUS,3.0
world_aquatics_championships_2001_men_swimming-100-m-backstroke,athlete_Steffen_Driesen_GER,3,bronze,discipline=swimming-100-m-backstroke;source_discipline=swimming;source_event=Men's 100 m backstroke;performance=54.91;country=GER,1.0
world_aquatics_championships_2001_men_swimming-100-m-backstroke,athlete_Örn_Arnarson_ISL,2,silver,discipline=swimming-100-m-backstroke;source_discipline=swimming;source_event=Men's 100 m backstroke;performance=54.75;country=ISL,2.0
world_aquatics_championships_2001_men_swimming-100-m-breaststroke,athlete_Domenico_Fioravanti_ITA,2,silver,discipline=swimming-100-m-breaststroke;source_discipline=swimming;source_event=Men's 100 m breaststroke;performance=1:00.47;country=ITA,2.0
world_aquatics_championships_2001_men_swimming-100-m-breaststroke,athlete_Ed_Moses_USA,3,bronze,discipline=swimming-100-m-breaststroke;source_discipline=swimming;source_event=Men's 100 m breaststroke;performance=1:00.61;country=USA,1.0
world_aquatics_championships_2001_men_swimming-100-m-breaststroke,athlete_Roman_Sloudnov_RUS,1,gold,discipline=swimming-100-m-breaststroke;source_discipline=swimming;source_event=Men's 100 m breaststroke;performance=1:00.16;country=RUS,3.0
world_aquatics_championships_2001_men_swimming-100-m-butterfly,athlete_Geoff_Huegill_AUS,3,bronze,discipline=swimming-100-m-butterfly;source_discipline=swimming;source_event=Men's 100 m butterfly;performance=52.36;country=AUS,1.0
