event_id,competition_id,discipline_id,gender,event_class,event_date
world_archery_championships_2001_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2001-12-31
world_archery_championships_2001_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2001-12-31
world_archery_championships_2001_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2001-12-31
world_archery_championships_2001_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2001-12-31
world_archery_championships_2001_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2001-12-31
world_archery_championships_2001_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2001-12-31
world_archery_championships_2001_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2001-12-31
world_archery_championships_2001_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2001-12-31
world_archery_championships_2003_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2003-12-31
world_archery_championships_2003_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2003-12-31
world_archery_championships_2003_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2003-12-31
world_archery_championships_2003_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2003-12-31
world_archery_championships_2003_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2003-12-31
world_archery_championships_2003_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2003-12-31
world_archery_championships_2003_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2003-12-31
world_archery_championships_2003_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2003-12-31
world_archery_championships_2005_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2005-12-31
world_archery_championships_2005_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2005-12-31
world_archery_championships_2005_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2005-12-31
world_archery_championships_2005_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2005-12-31
world_archery_championships_2005_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2005-12-31
world_archery_championships_2005_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2005-12-31
world_archery_championships_2005_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2005-12-31
world_archery_championships_2005_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2005-12-31
world_archery_championships_2007_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2007-12-31
world_archery_championships_2007_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2007-12-31
world_archery_championships_2007_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2007-12-31
world_archery_championships_2007_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2007-12-31
world_archery_championships_2007_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2007-12-31
world_archery_championships_2007_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2007-12-31
world_archery_championships_2007_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2007-12-31
world_archery_championships_2007_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2007-12-31
world_archery_championships_2009_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2009-12-31
world_archery_championships_2009_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2009-12-31
world_archery_championships_2009_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2009-12-31
world_archery_championships_2009_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2009-12-31
world_archery_championships_2009_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2009-12-31
world_archery_championships_2009_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2009-12-31
world_archery_championships_2009_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2009-12-31
world_archery_championships_2009_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2009-12-31
world_archery_championships_2011_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2011-12-31
world_archery_championships_2011_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2011-12-31
world_archery_championships_2011_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2011-12-31
world_archery_championships_2011_compound_team_mixed,world_archery_championships,archery-compound,mixed,podium_top3,2011-12-31
world_archery_championships_2011_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2011-12-31
world_archery_championships_2011_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2011-12-31
world_archery_championships_2011_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2011-12-31
world_archery_championships_2011_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2011-12-31
world_archery_championships_2011_recurve_team_mixed,world_archery_championships,archery-recurve,mixed,podium_top3,2011-12-31
world_archery_championships_2011_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2011-12-31
world_archery_championships_2013_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2013-12-31
world_archery_championships_2013_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2013-12-31
world_archery_championships_2013_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2013-12-31
world_archery_championships_2013_compound_team_mixed,world_archery_championships,archery-compound,mixed,podium_top3,2013-12-31
world_archery_championships_2013_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2013-12-31
world_archery_championships_2013_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2013-12-31
world_archery_championships_2013_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2013-12-31
world_archery_championships_2013_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2013-12-31
world_archery_championships_2013_recurve_team_mixed,world_archery_championships,archery-recurve,mixed,podium_top3,2013-12-31
world_archery_championships_2013_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2013-12-31
world_archery_championships_2015_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2015-12-31
world_archery_championships_2015_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2015-12-31
world_archery_championships_2015_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2015-12-31
world_archery_championships_2015_compound_team_mixed,world_archery_championships,archery-compound,mixed,podium_top3,2015-12-31
world_archery_championships_2015_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2015-12-31
world_archery_championships_2015_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2015-12-31
world_archery_championships_2015_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2015-12-31
world_archery_championships_2015_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2015-12-31
world_archery_championships_2015_recurve_team_mixed,world_archery_championships,archery-recurve,mixed,podium_top3,2015-12-31
world_archery_championships_2015_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2015-12-31
world_archery_championships_2017_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2017-12-31
world_archery_championships_2017_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2017-12-31
world_archery_championships_2017_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2017-12-31
world_archery_championships_2017_compound_team_mixed,world_archery_championships,archery-compound,mixed,podium_top3,2017-12-31
world_archery_championships_2017_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2017-12-31
world_archery_championships_2017_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2017-12-31
world_archery_championships_2017_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2017-12-31
world_archery_championships_2017_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2017-12-31
world_archery_championships_2017_recurve_team_mixed,world_archery_championships,archery-recurve,mixed,podium_top3,2017-12-31
world_archery_championships_2017_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2017-12-31
world_archery_championships_2019_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2019-12-31
world_archery_championships_2019_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2019-12-31
world_archery_championships_2019_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2019-12-31
world_archery_championships_2019_compound_team_mixed,world_archery_championships,archery-compound,mixed,podium_top3,2019-12-31
world_archery_championships_2019_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2019-12-31
world_archery_championships_2019_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2019-12-31
world_archery_championships_2019_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2019-12-31
world_archery_championships_2019_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2019-12-31
world_archery_championships_2019_recurve_team_mixed,world_archery_championships,archery-recurve,mixed,podium_top3,2019-12-31
world_archery_championships_2019_recurve_team_women,world_archery_championships,archery-recurve,women,podium_top3,2019-12-31
world_archery_championships_2021_compound_individual_men,world_archery_championships,archery-compound,men,podium_top3,2021-12-31
world_archery_championships_2021_compound_individual_women,world_archery_championships,archery-compound,women,podium_top3,2021-12-31
world_archery_championships_2021_compound_team_men,world_archery_championships,archery-compound,men,podium_top3,2021-12-31
world_archery_championships_2021_compound_team_mixed,world_archery_championships,archery-compound,mixed,podium_top3,2021-12-31
world_archery_championships_2021_compound_team_women,world_archery_championships,archery-compound,women,podium_top3,2021-12-31
world_archery_championships_2021_recurve_individual_men,world_archery_championships,archery-recurve,men,podium_top3,2021-12-31
world_archery_championships_2021_recurve_individual_women,world_archery_championships,archery-recurve,women,podium_top3,2021-12-31
world_archery_championships_2021_recurve_team_men,world_archery_championships,archery-recurve,men,podium_top3,2021-12-31
world_archery_championships_2021_recurve_team_mixed,world_archery_championships,archery-recurve,mixed,podium_top3,2021-12-31
