participant_id,type,display_name,country_id
archery_athlete_Dejan_Sitar_SVN,athlete,Dejan Sitar,SVN
archery_athlete_Morgan_Lundin_SWE,athlete,Morgan Lundin,SWE
archery_athlete_Morten_Bøe_NOR,athlete,Morten Bøe,NOR
archery_athlete_Ulrika_Sjöwall_SWE,athlete,Ulrika Sjöwall,SWE
archery_athlete_Bettina_Thiele_DEU,athlete,Bettina Thiele,DEU
archery_athlete_Sirkka_Sokka-Matikainen_FIN,athlete,Sirkka Sokka-Matikainen,FIN
archery_team_Morten_Bøe_Sigmund_Johansen_Kolbjoern_Flaa_NOR,team,Morten Bøe Sigmund Johansen Kolbjoern Flaa,NOR
archery_team_Robert_Hesse_Stefan_Griem_Rainer_Voss_DEU,team,Robert Hesse Stefan Griem Rainer Voss,DEU
archery_team_Chris_White_Michael_Peart_Jonathan_Mynott_GBR,team,Chris White Michael Peart Jonathan Mynott,GBR
archery_team_Maggy_Masson_Catherine_Pellen_Valerie_Fabre_FRA,team,Maggy Masson Catherine Pellen Valerie Fabre,FRA
archery_team_Stefania_Montagnoni_Assunta_Atorino_Francesca_Peracino_ITA,team,Stefania Montagnoni Assunta Atorino Francesca Peracino,ITA
archery_team_Irma_Luyting_Marjon_Pigney_Olga_Zandvliet_NLD,team,Irma Luyting Marjon Pigney Olga Zandvliet,NLD
archery_athlete_Yeon_Jung-ki_KOR,athlete,Yeon Jung-ki,KOR
archery_athlete_Lionel_Torres_FRA,athlete,Lionel Torres,FRA
archery_athlete_Park_Kyung-mo_KOR,athlete,Park Kyung-mo,KOR
archery_athlete_Park_Sung-hyun_KOR,athlete,Park Sung-hyun,KOR
archery_athlete_Kim_Kyung-wook_KOR,athlete,Kim Kyung-wook,KOR
archery_athlete_Kateryna_Palekha_UKR,athlete,Kateryna Palekha,UKR
archery_team_Yeon_Jung-ki_Lee_Chang-hwan_Park_Kyung-mo_KOR,team,Yeon Jung-ki Lee Chang-hwan Park Kyung-mo,KOR
archery_team_Michele_Frangilli_Ilario_di_Buo_Matteo_Bisiani_ITA,team,Michele Frangilli Ilario di Buo Matteo Bisiani,ITA
archery_team_Chen_Hongyuan_Sun_Jian_Yang_Bo_CHN,team,Chen Hongyuan Sun Jian Yang Bo,CHN
archery_team_Zhang_Juanjuan_He_Ying_Yang_Jianping_CHN,team,Zhang Juanjuan He Ying Yang Jianping,CHN
archery_team_Natalia_Valeeva_Irene_Franchini_Roberta_Allodi_ITA,team,Natalia Valeeva Irene Franchini Roberta Allodi,ITA
archery_team_Choi_Nam-ok_Park_Sung-hyun_Kim_Kyung-wook_KOR,team,Choi Nam-ok Park Sung-hyun Kim Kyung-wook,KOR
archery_athlete_Clint_Freeman_AUS,athlete,Clint Freeman,AUS
archery_athlete_Dave_Cousins_USA,athlete,Dave Cousins,USA
archery_athlete_Braden_Gellenthien_USA,athlete,Braden Gellenthien,USA
archery_athlete_Mary_Zorn_USA,athlete,Mary Zorn,USA
archery_athlete_Amber_Dawson_USA,athlete,Amber Dawson,USA
archery_athlete_Irma_Luyting_NLD,athlete,Irma Luyting,NLD
archery_team_Dave_Cousins_Braden_Gellenthien_Dee_Wilde_USA,team,Dave Cousins Braden Gellenthien Dee Wilde,USA
archery_team_Fabio_Girardi_Antonio_Tosco_Mario_Ruele_ITA,team,Fabio Girardi Antonio Tosco Mario Ruele,ITA
archery_team_Kevin_Tataryn_Ed_Wilson_Travis_Vandaele_CAN,team,Kevin Tataryn Ed Wilson Travis Vandaele,CAN
archery_team_Mary_Zorn_Amber_Dawson_Aya_Labrie_USA,team,Mary Zorn Amber Dawson Aya Labrie,USA
archery_team_Sandrine_Vandionant_Cecile_Jousselin_Valerie_Fabre_FRA,team,Sandrine Vandionant Cecile Jousselin Valerie Fabre,FRA
archery_team_Petra_Dortmund_Andrea_Weihe_Dorith_Landesfeind_DEU,team,Petra Dortmund Andrea Weihe Dorith Landesfeind,DEU
archery_athlete_Michele_Frangilli_ITA,athlete,Michele Frangilli,ITA
archery_athlete_Im_Dong-hyun_KOR,athlete,Im Dong-hyun,KOR
archery_athlete_David_Barnes_AUS,athlete,David Barnes,AUS
archery_athlete_Yun_Mi-jin_KOR,athlete,Yun Mi-jin,KOR
archery_athlete_Lee_Hyun-jeong_KOR,athlete,Lee Hyun-jeong,KOR
archery_team_Jang_Yong-ho_Choi_Young-kwang_Im_Dong-hyun_KOR,team,Jang Yong-ho Choi Young-kwang Im Dong-hyun,KOR
archery_team_Magnus_Petersson_Mattias_Eriksson_Mikael_Larsson_SWE,team,Magnus Petersson Mattias Eriksson Mikael Larsson,SWE
archery_team_Marco_Galiazzo_Michele_Frangilli_Ilario_di_Buo_ITA,team,Marco Galiazzo Michele Frangilli Ilario di Buo,ITA
archery_team_Park_Sung-hyun_Yun_Mi-jin_Lee_Hyun-jeong_KOR,team,Park Sung-hyun Yun Mi-jin Lee Hyun-jeong,KOR
archery_team_Sayami_Matsushita_Sayoko_Kawauchi_Yukari_Kawasaki_JPN,team,Sayami Matsushita Sayoko Kawauchi Yukari Kawasaki,JPN
archery_team_Nataliya_Burdeyna_Yulia_Lobzhenidze_Tetyana_Dorokhova_UKR,team,Nataliya Burdeyna Yulia Lobzhenidze Tetyana Dorokhova,UKR
archery_athlete_Sofia_Goncharova_RUS,athlete,Sofia Goncharova,RUS
archery_athlete_Arminda_Bastos_MEX,athlete,Arminda Bastos,MEX
archery_athlete_Svetlana_Kondrashenko_RUS,athlete,Svetlana Kondrashenko,RUS
archery_team_Dave_Cousins_Braden_Gellenthien_Kevin_Polish_USA,team,Dave Cousins Braden Gellenthien Kevin Polish,USA
archery_team_Morten_Bøe_Odd_Martin_Mørk_Thomas_Stenvoll_Terje_Roestad_NOR,team,Morten Bøe Odd Martin Mørk Thomas Stenvoll Terje Roestad,NOR
archery_team_Patrick_Coghlan_Clint_Freeman_Dennis_Carson_AUS,team,Patrick Coghlan Clint Freeman Dennis Carson,AUS
archery_team_Anne-Marie_Bloch_Valerie_Fabre_Cecile_Jousselin_FRA,team,Anne-Marie Bloch Valerie Fabre Cecile Jousselin,FRA
archery_team_Mary_Zorn_Erika_Anschutz_Jamie_van_Natta_USA,team,Mary Zorn Erika Anschutz Jamie van Natta,USA
archery_team_Camilla_Sømod_Louise_Hauge_Rikke_Marslev_DNK,team,Camilla Sømod Louise Hauge Rikke Marslev,DNK
archery_athlete_Chung_Jae-hun_KOR,athlete,Chung Jae-hun,KOR
archery_athlete_Ryuichi_Moriya_JPN,athlete,Ryuichi Moriya,JPN
archery_athlete_Choi_Won-jong_KOR,athlete,Choi Won-jong,KOR
archery_athlete_Lee_Sung-jin_KOR,athlete,Lee Sung-jin,KOR
archery_athlete_Lee_Tuk-young_KOR,athlete,Lee Tuk-young,KOR
archery_team_Park_Kyung-mo_Chung_Jae-hun_Choi_Won-jong_KOR,team,Park Kyung-mo Chung Jae-hun Choi Won-jong,KOR
archery_team_Tarundeep_Rai_Gautam_Singh_Jayanta_Talukdar_IND,team,Tarundeep Rai Gautam Singh Jayanta Talukdar,IND
archery_team_Piotr_Pitek_Jacek_Pro_Grzegorz_liwka_POL,team,Piotr Piątek Jacek Proć Grzegorz Śliwka,POL
archery_team_Lee_Tuk-young_Park_Sung-hyun_Yun_Mi-jin_KOR,team,Lee Tuk-young Park Sung-hyun Yun Mi-jin,KOR
archery_team_Tetyana_Berezhna_Nataliya_Burdeyna_Kateryna_Palekha_UKR,team,Tetyana Berezhna Nataliya Burdeyna Kateryna Palekha,UKR
archery_team_Margarita_Galinovskaya_Elena_Gracheva_Ekateraina_Kharkhanova_RUS,team,Margarita Galinovskaya Elena Gracheva Ekateraina Kharkhanova,RUS
archery_athlete_Dietmar_Trillus_CAN,athlete,Dietmar Trillus,CAN
archery_athlete_Martin_Damsbo_DNK,athlete,Martin Damsbo,DNK
archery_athlete_Eugenia_Salvi_ITA,athlete,Eugenia Salvi,ITA
archery_athlete_Albina_Loginova_RUS,athlete,Albina Loginova,RUS
archery_athlete_Amandine_Bouillot_FRA,athlete,Amandine Bouillot,FRA
archery_team_Braden_Gellenthien_Reo_Wilde_Rodger_Willett_Jr_USA,team,Braden Gellenthien Reo Wilde Rodger Willett Jr.,USA
archery_team_Patrick_Coghlan_Clint_Freeman_Robert_Timms_AUS,team,Patrick Coghlan Clint Freeman Robert Timms,AUS
archery_team_Fredrik_Lindblad_Morgan_Lundin_Anders_Malm_SWE,team,Fredrik Lindblad Morgan Lundin Anders Malm,SWE
archery_team_Catheline_Dessoy_Petra_Haemhouts_Gladys_Willems_BEL,team,Catheline Dessoy Petra Haemhouts Gladys Willems,BEL
archery_team_Anastasia_Anastasio_Eugenia_Salvi_Giorgia_Solato_ITA,team,Anastasia Anastasio Eugenia Salvi Giorgia Solato,ITA
archery_team_Erika_Anschutz_Kendal_Nicely_Jamie_van_Natta_USA,team,Erika Anschutz Kendal Nicely Jamie van Natta,USA
archery_athlete_Baljinima_Tsyrempilov_RUS,athlete,Baljinima Tsyrempilov,RUS
archery_athlete_Alan_Wills_GBR,athlete,Alan Wills,GBR
archery_athlete_Natalia_Valeeva_ITA,athlete,Natalia Valeeva,ITA
archery_athlete_Natalya_Erdyniyeva_RUS,athlete,Natalya Erdyniyeva,RUS
archery_team_Kim_Yeon-chul_Lee_Chang-hwan_Im_Dong-hyun_KOR,team,Kim Yeon-chul Lee Chang-hwan Im Dong-hyun,KOR
archery_team_Larry_Godfrey_Simon_Terry_Alan_Wills_GBR,team,Larry Godfrey Simon Terry Alan Wills,GBR
archery_team_Kuo_Cheng-wei_Liu_Ming-huang_Wang_Cheng-pang_TPE,team,Kuo Cheng-wei Liu Ming-huang Wang Cheng-pang,TPE
archery_team_Choi_Eun-young_Lee_Tuk-young_Park_Sung-hyun_KOR,team,Choi Eun-young Lee Tuk-young Park Sung-hyun,KOR
archery_team_Shen_Hsiao-chun_Wu_Hui-ju_Yuan_Shu-chi_TPE,team,Shen Hsiao-chun Wu Hui-ju Yuan Shu-chi,TPE
archery_team_Charlotte_Burgess_Naomi_Folkard_Alison_Williamson_GBR,team,Charlotte Burgess Naomi Folkard Alison Williamson,GBR
archery_athlete_Reo_Wilde_USA,athlete,Reo Wilde,USA
archery_athlete_Liam_Grimwood_GBR,athlete,Liam Grimwood,GBR
archery_athlete_Stephen_Clifton_NZL,athlete,Stephen Clifton,NZL
archery_athlete_Jorina_Coetzee_ZAF,athlete,Jorina Coetzee,ZAF
archery_athlete_Laura_Longo_ITA,athlete,Laura Longo,ITA
archery_team_Dave_Cousins_Braden_Gellenthien_Reo_Wilde_USA,team,Dave Cousins Braden Gellenthien Reo Wilde,USA
archery_team_Vladimir_Fedosov_Danzan_Khaludorov_Anton_Khlyschenko_RUS,team,Vladimir Fedosov Danzan Khaludorov Anton Khlyschenko,RUS
archery_team_Jorge_Jiménez_Rigoberto_Hernandez_Roberto_Hernández_SLV,team,Jorge Jiménez Rigoberto Hernandez Roberto Hernández,SLV
archery_team_Viktoria_Balzhanova_Ekaterina_Korobeynikova_Albina_Loginova_RUS,team,Viktoria Balzhanova Ekaterina Korobeynikova Albina Loginova,RUS
archery_team_Kwon_Oh-hyang_Seo_Jung-hee_Seok_Ji-hyun_KOR,team,Kwon Oh-hyang Seo Jung-hee Seok Ji-hyun,KOR
archery_team_Erika_Anschutz_Kendal_Nicely_Diane_Watson_USA,team,Erika Anschutz Kendal Nicely Diane Watson,USA
archery_athlete_Lee_Chang-hwan_KOR,athlete,Lee Chang-hwan,KOR
archery_athlete_Viktor_Ruban_UKR,athlete,Viktor Ruban,UKR
archery_athlete_Joo_Hyun-jung_KOR,athlete,Joo Hyun-jung,KOR
archery_athlete_Kwak_Ye-ji_KOR,athlete,Kwak Ye-ji,KOR
archery_athlete_Natalia_Sánchez_COL,athlete,Natalia Sánchez,COL
archery_team_Oh_Jin-hyek_Lee_Chang-hwan_Im_Dong-hyun_KOR,team,Oh Jin-hyek Lee Chang-hwan Im Dong-hyun,KOR
archery_team_Thomas_Aubert_Jean-Charles_Valladont_Romain_Girouille_FRA,team,Thomas Aubert Jean-Charles Valladont Romain Girouille,FRA
archery_team_Hideki_Kikuchi_Hiroshi_Yamamoto_Hiroyuki_Yoshinaga_JPN,team,Hideki Kikuchi Hiroshi Yamamoto Hiroyuki Yoshinaga,JPN
archery_team_Joo_Hyun-jung_Kwak_Ye-ji_Yun_Ok-hee_KOR,team,Joo Hyun-jung Kwak Ye-ji Yun Ok-hee,KOR
archery_team_Miki_Kanie_Asako_Matsunaga_Sayami_Matsushita_JPN,team,Miki Kanie Asako Matsunaga Sayami Matsushita,JPN
archery_team_Tatyana_Boroday_Natalya_Erdyniyeva_Tatiana_Segina_RUS,team,Tatyana Boroday Natalya Erdyniyeva Tatiana Segina,RUS
archery_athlete_Christopher_Perkins_CAN,athlete,Christopher Perkins,CAN
archery_athlete_Jesse_Broadwater_USA,athlete,Jesse Broadwater,USA
archery_athlete_Pascale_Lebecque_FRA,athlete,Pascale Lebecque,FRA
archery_athlete_Erika_Anschutz_USA,athlete,Erika Anschutz,USA
archery_team_Jesse_Broadwater_Braden_Gellenthien_Reo_Wilde_USA,team,Jesse Broadwater Braden Gellenthien Reo Wilde,USA
archery_team_Martin_Damsbo_Torben_Johannessen_Patrick_Laursen_DNK,team,Martin Damsbo Torben Johannessen Patrick Laursen,DNK
archery_team_Christopher_Perkins_Simon_Rousseau_Dietmar_Trillus_CAN,team,Christopher Perkins Simon Rousseau Dietmar Trillus,CAN
archery_team_Sergio_Pagni_Marcella_Tonioli_ITA,team,Sergio Pagni Marcella Tonioli,ITA
archery_team_Peter_Elzinga_Inge_van_Caspel_NLD,team,Peter Elzinga Inge van Caspel,NLD
archery_team_Choi_Yong-hee_Seok_Ji-hyun_KOR,team,Choi Yong-hee Seok Ji-hyun,KOR
archery_team_Erika_Anschutz_Christie_Colin_Jamie_Van_Natta_USA,team,Erika Anschutz Christie Colin Jamie Van Natta,USA
archery_team_Vida_Halimian_Mahtab_Parsamehr_Shabnam_Sarlak_IRN,team,Vida Halimian Mahtab Parsamehr Shabnam Sarlak,IRN
archery_team_Olga_Bosh_Luzmary_Guédez_Ana_Mendoza_VEN,team,Olga Bosh Luzmary Guédez Ana Mendoza,VEN
archery_athlete_Kim_Woo-jin_KOR,athlete,Kim Woo-jin,KOR
archery_athlete_Oh_Jin-hyek_KOR,athlete,Oh Jin-hyek,KOR
archery_athlete_Brady_Ellison_USA,athlete,Brady Ellison,USA
archery_athlete_Denisse_van_Lamoen_CHL,athlete,Denisse van Lamoen,CHL
archery_athlete_Kristine_Esebua_GEO,athlete,Kristine Esebua,GEO
archery_athlete_Fang_Yuting_CHN,athlete,Fang Yuting,CHN
archery_team_Oh_Jin-hyek_Kim_Woo-jin_Im_Dong-hyun_KOR,team,Oh Jin-hyek Kim Woo-jin Im Dong-hyun,KOR
archery_team_Gaël_Prévost_Jean-Charles_Valladont_Romain_Girouille_FRA,team,Gaël Prévost Jean-Charles Valladont Romain Girouille,FRA
archery_team_Michele_Frangilli_Marco_Galiazzo_Mauro_Nespoli_ITA,team,Michele Frangilli Marco Galiazzo Mauro Nespoli,ITA
