event_id,participant_id,rank,medal,score_raw,points_awarded
world_archery_championships_2001_compound_individual_men,archery_athlete_Dejan_Sitar_SVN,1,gold,discipline=archery-compound;event=Men's individual;entry_country=SVN;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,10.0
world_archery_championships_2001_compound_individual_men,archery_athlete_Morgan_Lundin_SWE,2,silver,discipline=archery-compound;event=Men's individual;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,7.0
world_archery_championships_2001_compound_individual_men,archery_athlete_Morten_Bøe_NOR,3,bronze,discipline=archery-compound;event=Men's individual;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,5.0
world_archery_championships_2001_compound_individual_women,archery_athlete_Ulrika_Sjöwall_SWE,1,gold,discipline=archery-compound;event=Women's individual;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,10.0
world_archery_championships_2001_compound_individual_women,archery_athlete_Bettina_Thiele_DEU,2,silver,discipline=archery-compound;event=Women's individual;entry_country=DEU;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,7.0
world_archery_championships_2001_compound_individual_women,archery_athlete_Sirkka_Sokka-Matikainen_FIN,3,bronze,discipline=archery-compound;event=Women's individual;entry_country=FIN;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,5.0
world_archery_championships_2001_compound_team_men,archery_team_Morten_Bøe_Sigmund_Johansen_Kolbjoern_Flaa_NOR,1,gold,discipline=archery-compound;event=Men's team;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,10.0
world_archery_championships_2001_compound_team_men,archery_team_Robert_Hesse_Stefan_Griem_Rainer_Voss_DEU,2,silver,discipline=archery-compound;event=Men's team;entry_country=DEU;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,7.0
world_archery_championships_2001_compound_team_men,archery_team_Chris_White_Michael_Peart_Jonathan_Mynott_GBR,3,bronze,discipline=archery-compound;event=Men's team;entry_country=GBR;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,5.0
world_archery_championships_2001_compound_team_women,archery_team_Maggy_Masson_Catherine_Pellen_Valerie_Fabre_FRA,1,gold,discipline=archery-compound;event=Women's team;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,10.0
world_archery_championships_2001_compound_team_women,archery_team_Stefania_Montagnoni_Assunta_Atorino_Francesca_Peracino_ITA,2,silver,discipline=archery-compound;event=Women's team;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,7.0
world_archery_championships_2001_compound_team_women,archery_team_Irma_Luyting_Marjon_Pigney_Olga_Zandvliet_NLD,3,bronze,discipline=archery-compound;event=Women's team;entry_country=NLD;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,5.0
world_archery_championships_2001_recurve_individual_men,archery_athlete_Yeon_Jung-ki_KOR,1,gold,discipline=archery-recurve;event=Men's individual;entry_country=KOR;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,10.0
world_archery_championships_2001_recurve_individual_men,archery_athlete_Lionel_Torres_FRA,2,silver,discipline=archery-recurve;event=Men's individual;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,7.0
world_archery_championships_2001_recurve_individual_men,archery_athlete_Park_Kyung-mo_KOR,3,bronze,discipline=archery-recurve;event=Men's individual;entry_country=KOR;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,5.0
world_archery_championships_2001_recurve_individual_women,archery_athlete_Park_Sung-hyun_KOR,1,gold,discipline=archery-recurve;event=Women's individual;entry_country=KOR;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,10.0
world_archery_championships_2001_recurve_individual_women,archery_athlete_Kim_Kyung-wook_KOR,2,silver,discipline=archery-recurve;event=Women's individual;entry_country=KOR;source_url=https://en.wikipedia.org/wiki/2001_World_Archery_Championships,7.0
