event_id,competition_id,discipline_id,gender,event_class,event_date
world_athletics_championships_2001_men_10-000-m,world_athletics_championships,athletics_10-000-m,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_100-m,world_athletics_championships,athletics_100-m,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_110-m-hurdles,world_athletics_championships,athletics_110-m-hurdles,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_1500-m,world_athletics_championships,athletics_1500-m,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_200-m,world_athletics_championships,athletics_200-m,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_3000-m-st,world_athletics_championships,athletics_3000-m-st,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_4-100-m-relay,world_athletics_championships,athletics_4-100-m-relay,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_4-400-m-relay,world_athletics_championships,athletics_4-400-m-relay,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_400-m,world_athletics_championships,athletics_400-m,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_400-m-hurdles,world_athletics_championships,athletics_400-m-hurdles,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_50-km-walk,world_athletics_championships,athletics_50-km-walk,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_5000-m,world_athletics_championships,athletics_5000-m,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_800-m,world_athletics_championships,athletics_800-m,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_decathlon,world_athletics_championships,athletics_decathlon,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_discus-throw,world_athletics_championships,athletics_discus-throw,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_hammer-throw,world_athletics_championships,athletics_hammer-throw,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_javelin-throw,world_athletics_championships,athletics_javelin-throw,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_long-jump,world_athletics_championships,athletics_long-jump,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_marathon,world_athletics_championships,athletics_marathon,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_pole-vault,world_athletics_championships,athletics_pole-vault,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_shot-put,world_athletics_championships,athletics_shot-put,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_men_triple-jump,world_athletics_championships,athletics_triple-jump,men,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_10-000-m,world_athletics_championships,athletics_10-000-m,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_100-m,world_athletics_championships,athletics_100-m,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_100-m-hurdles,world_athletics_championships,athletics_100-m-hurdles,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_1500-m,world_athletics_championships,athletics_1500-m,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_20-km-walk,world_athletics_championships,athletics_20-km-walk,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_200-m,world_athletics_championships,athletics_200-m,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_4-100-m-relay,world_athletics_championships,athletics_4-100-m-relay,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_4-400-m-relay,world_athletics_championships,athletics_4-400-m-relay,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_400-m,world_athletics_championships,athletics_400-m,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_400-m-hurdles,world_athletics_championships,athletics_400-m-hurdles,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_5000-m,world_athletics_championships,athletics_5000-m,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_800-m,world_athletics_championships,athletics_800-m,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_discus-throw,world_athletics_championships,athletics_discus-throw,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_hammer-throw,world_athletics_championships,athletics_hammer-throw,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_heptathlon,world_athletics_championships,athletics_heptathlon,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_high-jump,world_athletics_championships,athletics_high-jump,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_javelin-throw,world_athletics_championships,athletics_javelin-throw,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_long-jump,world_athletics_championships,athletics_long-jump,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_marathon,world_athletics_championships,athletics_marathon,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_pole-vault,world_athletics_championships,athletics_pole-vault,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_shot-put,world_athletics_championships,athletics_shot-put,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2001_women_triple-jump,world_athletics_championships,athletics_triple-jump,women,podium_top3_by_discipline,2001-12-31
world_athletics_championships_2003_men_10-000-m,world_athletics_championships,athletics_10-000-m,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_100-m,world_athletics_championships,athletics_100-m,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_110-m-hurdles,world_athletics_championships,athletics_110-m-hurdles,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_1500-m,world_athletics_championships,athletics_1500-m,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_20-km-race-walk,world_athletics_championships,athletics_20-km-race-walk,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_200-m,world_athletics_championships,athletics_200-m,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_3000-m-steeplechase,world_athletics_championships,athletics_3000-m-steeplechase,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_4-100-m-relay,world_athletics_championships,athletics_4-100-m-relay,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_4-400-m-relay,world_athletics_championships,athletics_4-400-m-relay,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_400-m,world_athletics_championships,athletics_400-m,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_400-m-hurdles,world_athletics_championships,athletics_400-m-hurdles,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_50-km-race-walk,world_athletics_championships,athletics_50-km-race-walk,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_5000-m,world_athletics_championships,athletics_5000-m,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_800-m,world_athletics_championships,athletics_800-m,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_decathlon,world_athletics_championships,athletics_decathlon,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_discus,world_athletics_championships,athletics_discus,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_hammer,world_athletics_championships,athletics_hammer,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_high-jump,world_athletics_championships,athletics_high-jump,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_javelin,world_athletics_championships,athletics_javelin,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_long-jump,world_athletics_championships,athletics_long-jump,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_marathon,world_athletics_championships,athletics_marathon,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_pole-vault,world_athletics_championships,athletics_pole-vault,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_shot-put,world_athletics_championships,athletics_shot-put,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_men_triple-jump,world_athletics_championships,athletics_triple-jump,men,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_women_10-000-m,world_athletics_championships,athletics_10-000-m,women,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_women_100-m,world_athletics_championships,athletics_100-m,women,podium_top3_by_discipline,2003-12-31
world_athletics_championships_2003_women_100-m-hurdles,world_athletics_championships,athletics_100-m-hurdles,women,podium_top3_by_discipline,2003-12-31
