event_id,participant_id,rank,medal,score_raw,points_awarded
world_athletics_championships_2001_men_10-000-m,athlete_Assefa_Mezgebu_ETH,2,silver,"discipline=10,000 m;performance=27:53.97;country=ETH",2.0
world_athletics_championships_2001_men_10-000-m,athlete_Charles_Kamathi_KEN,1,gold,"discipline=10,000 m;performance=27:53.25;country=KEN",3.0
world_athletics_championships_2001_men_10-000-m,athlete_Haile_Gebrselassie_ETH,3,bronze,"discipline=10,000 m;performance=27:54.41;country=ETH",1.0
world_athletics_championships_2001_men_100-m,athlete_Ato_Boldon_TTO,3,bronze,discipline=100 m;performance=9.98;country=TTO,1.0
world_athletics_championships_2001_men_100-m,athlete_Bernard_Williams_USA,2,silver,discipline=100 m;performance=9.94 2 (PB);country=USA,2.0
world_athletics_championships_2001_men_100-m,athlete_Maurice_Greene_USA,1,gold,discipline=100 m;performance=9.82 (WL);country=USA,3.0
world_athletics_championships_2001_men_110-m-hurdles,athlete_Allen_Johnson_USA,1,gold,discipline=110 m hurdles;performance=13.04 (WL);country=USA,3.0
world_athletics_championships_2001_men_110-m-hurdles,athlete_Anier_García_CUB,2,silver,discipline=110 m hurdles;performance=13.07 (SB);country=CUB,2.0
world_athletics_championships_2001_men_110-m-hurdles,athlete_Dudley_Dorival_HTI,3,bronze,discipline=110 m hurdles;performance=13.25 (NR);country=HTI,1.0
world_athletics_championships_2001_men_1500-m,athlete_Bernard_Lagat_KEN,2,silver,discipline=1500 m;performance=3:31.10;country=KEN,2.0
world_athletics_championships_2001_men_1500-m,athlete_Driss_Maazouzi_FRA,3,bronze,discipline=1500 m;performance=3:31.54 (SB);country=FRA,1.0
world_athletics_championships_2001_men_1500-m,athlete_Hicham_El_Guerrouj_MAR,1,gold,discipline=1500 m;performance=3:30.68;country=MAR,3.0
world_athletics_championships_2001_men_200-m,athlete_Christopher_Williams_JAM,2,silver,discipline=200 m;performance=20.20;country=JAM,2.0
world_athletics_championships_2001_men_200-m,athlete_Kim_Collins_KNA,3,bronze,discipline=200 m;performance=20.30 (NR St.Kitts);country=KNA,1.0
world_athletics_championships_2001_men_200-m,athlete_Konstantinos_Kenteris_GRC,1,gold,discipline=200 m;performance=20.04;country=GRC,3.0
world_athletics_championships_2001_men_3000-m-st,athlete_Ali_Ezzine_MAR,2,silver,discipline=3000 m st.;performance=8:16.21;country=MAR,2.0
world_athletics_championships_2001_men_3000-m-st,athlete_Bernard_Barmasai_KEN,3,bronze,discipline=3000 m st.;performance=8:16.59;country=KEN,1.0
world_athletics_championships_2001_men_3000-m-st,athlete_Reuben_Kosgei_KEN,1,gold,discipline=3000 m st.;performance=8:15.16;country=KEN,3.0
world_athletics_championships_2001_men_4-100-m-relay,AUS,3,bronze,discipline=4 × 100 m relay;performance=38.83 (SB);country=AUS,1.0
world_athletics_championships_2001_men_4-100-m-relay,TTO,2,silver,discipline=4 × 100 m relay;performance=38.58 (NR);country=TTO,2.0
world_athletics_championships_2001_men_4-100-m-relay,ZAF,1,gold,discipline=4 × 100 m relay;performance=38.47 (NR);country=ZAF,3.0
world_athletics_championships_2001_men_4-400-m-relay,BHS,1,gold,discipline=4 × 400 m relay;performance=2:58.19 4 (NR);country=BHS,3.0
world_athletics_championships_2001_men_4-400-m-relay,JAM,2,silver,discipline=4 × 400 m relay;performance=2:58.39 (SB);country=JAM,2.0
