event_id,participant_id,rank,medal,score_raw,points_awarded
world_baseball_classic_2006,JPN,1,gold,world_baseball_classic_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,10.0
world_baseball_classic_2006,CUB,2,silver,world_baseball_classic_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,7.0
world_baseball_classic_2006,KOR,3,bronze,world_baseball_classic_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,5.0
world_baseball_classic_2006,DOM,4,,world_baseball_classic_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,4.0
world_baseball_classic_2009,JPN,1,gold,world_baseball_classic_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,10.0
world_baseball_classic_2009,KOR,2,silver,world_baseball_classic_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,7.0
world_baseball_classic_2009,VEN,3,bronze,world_baseball_classic_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,5.0
world_baseball_classic_2009,USA,4,,world_baseball_classic_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,4.0
world_baseball_classic_2013,DOM,1,gold,world_baseball_classic_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,10.0
world_baseball_classic_2013,PRI,2,silver,world_baseball_classic_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,7.0
world_baseball_classic_2013,JPN,3,bronze,world_baseball_classic_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,5.0
world_baseball_classic_2013,NED,4,,world_baseball_classic_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,4.0
world_baseball_classic_2017,USA,1,gold,world_baseball_classic_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,10.0
world_baseball_classic_2017,PRI,2,silver,world_baseball_classic_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,7.0
world_baseball_classic_2017,JPN,3,bronze,world_baseball_classic_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,5.0
world_baseball_classic_2017,NED,4,,world_baseball_classic_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,4.0
world_baseball_classic_2023,JPN,1,gold,world_baseball_classic_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,10.0
world_baseball_classic_2023,USA,2,silver,world_baseball_classic_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,7.0
world_baseball_classic_2023,MEX,3,bronze,world_baseball_classic_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,5.0
world_baseball_classic_2023,CUB,4,,world_baseball_classic_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,4.0
world_baseball_classic_2026,VEN,1,gold,world_baseball_classic_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,10.0
world_baseball_classic_2026,USA,2,silver,world_baseball_classic_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,7.0
world_baseball_classic_2026,DOM,3,bronze,world_baseball_classic_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,5.0
world_baseball_classic_2026,ITA,4,,world_baseball_classic_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Baseball_Classic,4.0
