participant_id,type,display_name,country_id
world_boxing_athlete_Guillermo_Rigondeaux_CUB,athlete,Guillermo Rigondeaux,CUB
world_boxing_athlete_Agasi_Agaguloglu_TUR,athlete,Agasi Agaguloglu,TUR
world_boxing_athlete_Elio_Rojas_DOM,athlete,Elio Rojas,DOM
world_boxing_athlete_Serhiy_Danylchenko_UKR,athlete,Serhiy Danylchenko,UKR
world_boxing_athlete_Ramaz_Paliani_TUR,athlete,Ramaz Paliani,TUR
world_boxing_athlete_Galib_Jafarov_KAZ,athlete,Galib Jafarov,KAZ
world_boxing_athlete_Joni_Turunen_FIN,athlete,Joni Turunen,FIN
world_boxing_athlete_Majid_Jelili_SWE,athlete,Majid Jelili,SWE
world_boxing_athlete_Jérôme_Thomas_FRA,athlete,Jérôme Thomas,FRA
world_boxing_athlete_Volodymyr_Sydorenko_UKR,athlete,Volodymyr Sydorenko,UKR
world_boxing_athlete_Alexandar_Alexandrov_BGR,athlete,Alexandar Alexandrov,BGR
world_boxing_athlete_Georgy_Balakshin_RUS,athlete,Georgy Balakshin,RUS
world_boxing_athlete_Odlanier_Solis_CUB,athlete,Odlanier Solis,CUB
world_boxing_athlete_David_Haye_ENG,athlete,David Haye,ENG
world_boxing_athlete_Sultanachmed_Ibragimov_RUS,athlete,Sultanachmed Ibragimov,RUS
world_boxing_athlete_Vyacheslav_Uselkov_UKR,athlete,Vyacheslav Uselkov,UKR
world_boxing_athlete_Yan_Bartelemí_CUB,athlete,Yan Bartelemí,CUB
world_boxing_athlete_Marian_Velicu_ROU,athlete,Marian Velicu,ROU
world_boxing_athlete_Harry_Tañamor_PHL,athlete,Harry Tañamor,PHL
world_boxing_athlete_Ronald_Siler_USA,athlete,Ronald Siler,USA
world_boxing_athlete_Yevgeniy_Makarenko_RUS,athlete,Yevgeniy Makarenko,RUS
world_boxing_athlete_Viktor_Perun_UKR,athlete,Viktor Perun,UKR
world_boxing_athlete_John_Dovi_FRA,athlete,John Dovi,FRA
world_boxing_athlete_Claudio_Rasco_ROU,athlete,Claudio Rasco,ROU
world_boxing_athlete_Damián_Austín_CUB,athlete,Damián Austín,CUB
world_boxing_athlete_Marian_Simion_ROU,athlete,Marian Simion,ROU
world_boxing_athlete_Ciro_Di_Corcia_ITA,athlete,Ciro Di Corcia,ITA
world_boxing_athlete_Bülent_Ulusoy_TUR,athlete,Bülent Ulusoy,TUR
world_boxing_athlete_Diógenes_Luna_CUB,athlete,Diógenes Luna,CUB
world_boxing_athlete_Dimitar_Shtilianov_BGR,athlete,Dimitar Shtilianov,BGR
world_boxing_athlete_Willy_Blain_FRA,athlete,Willy Blain,FRA
world_boxing_athlete_Yuriy_Solotov_UKR,athlete,Yuriy Solotov,UKR
world_boxing_athlete_Mario_Kindelán_CUB,athlete,Mario Kindelán,CUB
world_boxing_athlete_Volodymyr_Kolesnyk_UKR,athlete,Volodymyr Kolesnyk,UKR
world_boxing_athlete_Filip_Pali_HRV,athlete,Filip Palić,HRV
world_boxing_athlete_Alexandr_Maletin_RUS,athlete,Alexandr Maletin,RUS
world_boxing_athlete_Andrey_Gogolev_RUS,athlete,Andrey Gogolev,RUS
world_boxing_athlete_Utkirbek_Haydarov_UZB,athlete,Utkirbek Haydarov,UZB
world_boxing_athlete_Yordanis_Despaigne_CUB,athlete,Yordanis Despaigne,CUB
world_boxing_athlete_Carl_Froch_ENG,athlete,Carl Froch,ENG
world_boxing_athlete_Ruslan_Chagaev_UZB,athlete,Ruslan Chagaev,UZB
world_boxing_athlete_Aleksey_Masikin_UKR,athlete,Aleksey Masikin,UKR
world_boxing_athlete_Pedro_Carrión_CUB,athlete,Pedro Carrión,CUB
world_boxing_athlete_Vitali_Boot_DEU,athlete,Vitali Boot,DEU
world_boxing_athlete_Lorenzo_Aragón_CUB,athlete,Lorenzo Aragón,CUB
world_boxing_athlete_Anthony_Thompson_USA,athlete,Anthony Thompson,USA
world_boxing_athlete_James_Moore_IRL,athlete,James Moore,IRL
world_boxing_athlete_Sherzod_Husanov_UZB,athlete,Sherzod Husanov,UZB
world_boxing_athlete_Aghasi_Mammadov_AZE,athlete,Aghasi Mammadov,AZE
world_boxing_athlete_Gennadiy_Kovalev_RUS,athlete,Gennadiy Kovalev,RUS
world_boxing_athlete_Detelin_Dalakliev_BGR,athlete,Detelin Dalakliev,BGR
world_boxing_athlete_Bahodirjon_Sultonov_UZB,athlete,Bahodirjon Sultonov,UZB
world_boxing_athlete_Vitali_Tajbert_DEU,athlete,Vitali Tajbert,DEU
