event_id,participant_id,rank,medal,score_raw,points_awarded
iba_mens_world_boxing_championships_2001_men_bantamweight-54-kilograms,world_boxing_athlete_Guillermo_Rigondeaux_CUB,1,gold,discipline=Boxing;event=IBA Men's World Boxing Championships Men Bantamweight ( – 54 kilograms);event_label=Bantamweight ( – 54 kilograms);source_text=Guillermo Rigondeaux Cuba;entry_country=CUB;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,10.0
iba_mens_world_boxing_championships_2001_men_bantamweight-54-kilograms,world_boxing_athlete_Agasi_Agaguloglu_TUR,2,silver,discipline=Boxing;event=IBA Men's World Boxing Championships Men Bantamweight ( – 54 kilograms);event_label=Bantamweight ( – 54 kilograms);source_text=Agasi Agaguloglu Turkey;entry_country=TUR;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,7.0
iba_mens_world_boxing_championships_2001_men_bantamweight-54-kilograms,world_boxing_athlete_Elio_Rojas_DOM,3,bronze,discipline=Boxing;event=IBA Men's World Boxing Championships Men Bantamweight ( – 54 kilograms);event_label=Bantamweight ( – 54 kilograms);source_text=Serhiy Danylchenko Ukraine Elio Rojas Dominican Republic;entry_country=DOM;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,5.0
iba_mens_world_boxing_championships_2001_men_bantamweight-54-kilograms,world_boxing_athlete_Serhiy_Danylchenko_UKR,3,bronze,discipline=Boxing;event=IBA Men's World Boxing Championships Men Bantamweight ( – 54 kilograms);event_label=Bantamweight ( – 54 kilograms);source_text=Serhiy Danylchenko Ukraine Elio Rojas Dominican Republic;entry_country=UKR;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,5.0
iba_mens_world_boxing_championships_2001_men_featherweight-57-kilograms,world_boxing_athlete_Ramaz_Paliani_TUR,1,gold,discipline=Boxing;event=IBA Men's World Boxing Championships Men Featherweight ( – 57 kilograms);event_label=Featherweight ( – 57 kilograms);source_text=Ramaz Paliani Turkey;entry_country=TUR;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,10.0
iba_mens_world_boxing_championships_2001_men_featherweight-57-kilograms,world_boxing_athlete_Galib_Jafarov_KAZ,2,silver,discipline=Boxing;event=IBA Men's World Boxing Championships Men Featherweight ( – 57 kilograms);event_label=Featherweight ( – 57 kilograms);source_text=Galib Jafarov Kazakhstan;entry_country=KAZ;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,7.0
iba_mens_world_boxing_championships_2001_men_featherweight-57-kilograms,world_boxing_athlete_Joni_Turunen_FIN,3,bronze,discipline=Boxing;event=IBA Men's World Boxing Championships Men Featherweight ( – 57 kilograms);event_label=Featherweight ( – 57 kilograms);source_text=Majid Jelili Sweden Joni Turunen Finland;entry_country=FIN;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,5.0
iba_mens_world_boxing_championships_2001_men_featherweight-57-kilograms,world_boxing_athlete_Majid_Jelili_SWE,3,bronze,discipline=Boxing;event=IBA Men's World Boxing Championships Men Featherweight ( – 57 kilograms);event_label=Featherweight ( – 57 kilograms);source_text=Majid Jelili Sweden Joni Turunen Finland;entry_country=SWE;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,5.0
iba_mens_world_boxing_championships_2001_men_flyweight-51-kilograms,world_boxing_athlete_Jérôme_Thomas_FRA,1,gold,discipline=Boxing;event=IBA Men's World Boxing Championships Men Flyweight ( – 51 kilograms);event_label=Flyweight ( – 51 kilograms);source_text=Jérôme Thomas France;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,10.0
iba_mens_world_boxing_championships_2001_men_flyweight-51-kilograms,world_boxing_athlete_Volodymyr_Sydorenko_UKR,2,silver,discipline=Boxing;event=IBA Men's World Boxing Championships Men Flyweight ( – 51 kilograms);event_label=Flyweight ( – 51 kilograms);source_text=Volodymyr Sydorenko Ukraine;entry_country=UKR;source_url=https://en.wikipedia.org/wiki/2001_World_Amateur_Boxing_Championships,7.0
