event_id,participant_id,rank,medal,score_raw,points_awarded
fifa_world_cup_30,URY,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_30,ARG,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_30,USA,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_30,YUG,4,,world_cup_final_rank=4,4.0
fifa_world_cup_34,ITA,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_34,TCH,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_34,DEU,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_34,AUT,4,,world_cup_final_rank=4,4.0
fifa_world_cup_38,ITA,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_38,HUN,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_38,BRA,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_38,SWE,4,,world_cup_final_rank=4,4.0
fifa_world_cup_50,URY,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_50,BRA,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_50,SWE,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_50,ESP,4,,world_cup_final_rank=4,4.0
fifa_world_cup_54,DEU,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_54,HUN,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_54,AUT,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_54,URY,4,,world_cup_final_rank=4,4.0
fifa_world_cup_58,BRA,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_58,SWE,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_58,FRA,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_58,DEU,4,,world_cup_final_rank=4,4.0
fifa_world_cup_62,BRA,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_62,TCH,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_62,CHL,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_62,YUG,4,,world_cup_final_rank=4,4.0
fifa_world_cup_66,ENG,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_66,DEU,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_66,PRT,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_66,URS,4,,world_cup_final_rank=4,4.0
fifa_world_cup_70,BRA,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_70,ITA,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_70,DEU,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_70,URY,4,,world_cup_final_rank=4,4.0
fifa_world_cup_74,DEU,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_74,NLD,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_74,POL,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_74,BRA,4,,world_cup_final_rank=4,4.0
fifa_world_cup_78,ARG,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_78,NLD,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_78,BRA,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_78,ITA,4,,world_cup_final_rank=4,4.0
fifa_world_cup_82,ITA,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_82,DEU,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_82,POL,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_82,FRA,4,,world_cup_final_rank=4,4.0
fifa_world_cup_86,ARG,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_86,DEU,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_86,FRA,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_86,BEL,4,,world_cup_final_rank=4,4.0
fifa_world_cup_90,DEU,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_90,ARG,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_90,ITA,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_90,ENG,4,,world_cup_final_rank=4,4.0
fifa_world_cup_94,BRA,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_94,ITA,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_94,SWE,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_94,BGR,4,,world_cup_final_rank=4,4.0
fifa_world_cup_98,FRA,1,gold,world_cup_final_rank=1,10.0
fifa_world_cup_98,BRA,2,silver,world_cup_final_rank=2,7.0
fifa_world_cup_98,HRV,3,bronze,world_cup_final_rank=3,5.0
fifa_world_cup_98,NLD,4,,world_cup_final_rank=4,4.0
