event_id,competition_id,discipline_id,gender,event_class,event_date
world_mens_curling_championship_2001,world_mens_curling_championship,curling,men,podium_top3,2001-12-31
world_mens_curling_championship_2002,world_mens_curling_championship,curling,men,podium_top3,2002-12-31
world_mens_curling_championship_2003,world_mens_curling_championship,curling,men,podium_top3,2003-12-31
world_mens_curling_championship_2004,world_mens_curling_championship,curling,men,podium_top3,2004-12-31
world_mens_curling_championship_2005,world_mens_curling_championship,curling,men,podium_top3,2005-12-31
world_mens_curling_championship_2006,world_mens_curling_championship,curling,men,podium_top3,2006-12-31
world_mens_curling_championship_2007,world_mens_curling_championship,curling,men,podium_top3,2007-12-31
world_mens_curling_championship_2008,world_mens_curling_championship,curling,men,podium_top3,2008-12-31
world_mens_curling_championship_2009,world_mens_curling_championship,curling,men,podium_top3,2009-12-31
world_mens_curling_championship_2010,world_mens_curling_championship,curling,men,podium_top3,2010-12-31
world_mens_curling_championship_2011,world_mens_curling_championship,curling,men,podium_top3,2011-12-31
world_mens_curling_championship_2012,world_mens_curling_championship,curling,men,podium_top3,2012-12-31
world_mens_curling_championship_2013,world_mens_curling_championship,curling,men,podium_top3,2013-12-31
world_mens_curling_championship_2014,world_mens_curling_championship,curling,men,podium_top3,2014-12-31
world_mens_curling_championship_2015,world_mens_curling_championship,curling,men,podium_top3,2015-12-31
world_mens_curling_championship_2016,world_mens_curling_championship,curling,men,podium_top3,2016-12-31
world_mens_curling_championship_2017,world_mens_curling_championship,curling,men,podium_top3,2017-12-31
world_mens_curling_championship_2018,world_mens_curling_championship,curling,men,podium_top3,2018-12-31
world_mens_curling_championship_2019,world_mens_curling_championship,curling,men,podium_top3,2019-12-31
world_mens_curling_championship_2021,world_mens_curling_championship,curling,men,podium_top3,2021-12-31
world_mens_curling_championship_2022,world_mens_curling_championship,curling,men,podium_top3,2022-12-31
world_mens_curling_championship_2023,world_mens_curling_championship,curling,men,podium_top3,2023-12-31
world_mens_curling_championship_2024,world_mens_curling_championship,curling,men,podium_top3,2024-12-31
world_mens_curling_championship_2025,world_mens_curling_championship,curling,men,podium_top3,2025-12-31
world_mens_curling_championship_2026,world_mens_curling_championship,curling,men,podium_top3,2026-12-31
world_mixed_curling_championship_2015,world_mixed_curling_championship,curling,mixed,podium_top3,2015-12-31
world_mixed_curling_championship_2016,world_mixed_curling_championship,curling,mixed,podium_top3,2016-12-31
world_mixed_curling_championship_2017,world_mixed_curling_championship,curling,mixed,podium_top3,2017-12-31
world_mixed_curling_championship_2018,world_mixed_curling_championship,curling,mixed,podium_top3,2018-12-31
world_mixed_curling_championship_2019,world_mixed_curling_championship,curling,mixed,podium_top3,2019-12-31
world_mixed_curling_championship_2022,world_mixed_curling_championship,curling,mixed,podium_top3,2022-12-31
world_mixed_curling_championship_2023,world_mixed_curling_championship,curling,mixed,podium_top3,2023-12-31
world_mixed_curling_championship_2024,world_mixed_curling_championship,curling,mixed,podium_top3,2024-12-31
world_mixed_doubles_curling_championship_2008,world_mixed_doubles_curling_championship,curling,mixed,podium_top3,2008-12-31
world_mixed_doubles_curling_championship_2009,world_mixed_doubles_curling_championship,curling,mixed,podium_top3,2009-12-31
