event_id,competition_id,discipline_id,gender,event_class,event_date
world_figure_skating_championships_2001_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2001-12-31
world_figure_skating_championships_2001_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2001-12-31
world_figure_skating_championships_2001_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2001-12-31
world_figure_skating_championships_2001_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2001-12-31
world_figure_skating_championships_2002_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2002-12-31
world_figure_skating_championships_2002_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2002-12-31
world_figure_skating_championships_2002_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2002-12-31
world_figure_skating_championships_2002_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2002-12-31
world_figure_skating_championships_2003_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2003-12-31
world_figure_skating_championships_2003_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2003-12-31
world_figure_skating_championships_2003_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2003-12-31
world_figure_skating_championships_2003_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2003-12-31
world_figure_skating_championships_2004_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2004-12-31
world_figure_skating_championships_2004_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2004-12-31
world_figure_skating_championships_2004_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2004-12-31
world_figure_skating_championships_2004_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2004-12-31
world_figure_skating_championships_2005_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2005-12-31
world_figure_skating_championships_2005_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2005-12-31
world_figure_skating_championships_2005_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2005-12-31
world_figure_skating_championships_2005_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2005-12-31
world_figure_skating_championships_2006_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2006-12-31
world_figure_skating_championships_2006_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2006-12-31
world_figure_skating_championships_2006_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2006-12-31
world_figure_skating_championships_2006_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2006-12-31
world_figure_skating_championships_2007_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2007-12-31
world_figure_skating_championships_2007_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2007-12-31
world_figure_skating_championships_2007_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2007-12-31
world_figure_skating_championships_2007_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2007-12-31
world_figure_skating_championships_2008_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2008-12-31
world_figure_skating_championships_2008_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2008-12-31
world_figure_skating_championships_2008_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2008-12-31
world_figure_skating_championships_2008_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2008-12-31
world_figure_skating_championships_2009_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2009-12-31
world_figure_skating_championships_2009_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2009-12-31
world_figure_skating_championships_2009_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2009-12-31
world_figure_skating_championships_2009_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2009-12-31
world_figure_skating_championships_2010_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2010-12-31
world_figure_skating_championships_2010_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2010-12-31
world_figure_skating_championships_2010_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2010-12-31
world_figure_skating_championships_2010_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2010-12-31
world_figure_skating_championships_2011_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2011-12-31
world_figure_skating_championships_2011_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2011-12-31
world_figure_skating_championships_2011_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2011-12-31
world_figure_skating_championships_2011_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2011-12-31
world_figure_skating_championships_2012_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2012-12-31
world_figure_skating_championships_2012_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2012-12-31
world_figure_skating_championships_2012_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2012-12-31
world_figure_skating_championships_2012_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2012-12-31
world_figure_skating_championships_2013_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2013-12-31
world_figure_skating_championships_2013_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2013-12-31
world_figure_skating_championships_2013_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2013-12-31
world_figure_skating_championships_2013_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2013-12-31
world_figure_skating_championships_2014_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2014-12-31
world_figure_skating_championships_2014_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2014-12-31
world_figure_skating_championships_2014_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2014-12-31
world_figure_skating_championships_2014_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2014-12-31
world_figure_skating_championships_2015_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2015-12-31
world_figure_skating_championships_2015_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2015-12-31
world_figure_skating_championships_2015_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2015-12-31
world_figure_skating_championships_2015_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2015-12-31
world_figure_skating_championships_2016_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2016-12-31
world_figure_skating_championships_2016_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2016-12-31
world_figure_skating_championships_2016_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2016-12-31
world_figure_skating_championships_2016_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2016-12-31
world_figure_skating_championships_2017_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2017-12-31
world_figure_skating_championships_2017_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2017-12-31
world_figure_skating_championships_2017_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2017-12-31
world_figure_skating_championships_2017_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2017-12-31
world_figure_skating_championships_2018_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2018-12-31
world_figure_skating_championships_2018_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2018-12-31
world_figure_skating_championships_2018_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2018-12-31
world_figure_skating_championships_2018_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2018-12-31
world_figure_skating_championships_2019_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2019-12-31
world_figure_skating_championships_2019_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2019-12-31
world_figure_skating_championships_2019_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2019-12-31
world_figure_skating_championships_2019_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2019-12-31
world_figure_skating_championships_2021_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2021-12-31
world_figure_skating_championships_2021_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2021-12-31
world_figure_skating_championships_2021_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2021-12-31
world_figure_skating_championships_2021_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2021-12-31
world_figure_skating_championships_2022_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2022-12-31
world_figure_skating_championships_2022_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2022-12-31
world_figure_skating_championships_2022_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2022-12-31
world_figure_skating_championships_2022_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2022-12-31
world_figure_skating_championships_2023_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2023-12-31
world_figure_skating_championships_2023_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2023-12-31
world_figure_skating_championships_2023_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2023-12-31
world_figure_skating_championships_2023_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2023-12-31
world_figure_skating_championships_2024_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2024-12-31
world_figure_skating_championships_2024_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2024-12-31
world_figure_skating_championships_2024_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2024-12-31
world_figure_skating_championships_2024_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2024-12-31
world_figure_skating_championships_2025_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2025-12-31
world_figure_skating_championships_2025_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2025-12-31
world_figure_skating_championships_2025_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2025-12-31
world_figure_skating_championships_2025_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2025-12-31
world_figure_skating_championships_2026_men_men-singles,world_figure_skating_championships,figure-skating,men,podium_top3,2026-12-31
world_figure_skating_championships_2026_mixed_ice-dance,world_figure_skating_championships,figure-skating,mixed,podium_top3,2026-12-31
world_figure_skating_championships_2026_mixed_pairs,world_figure_skating_championships,figure-skating,mixed,podium_top3,2026-12-31
world_figure_skating_championships_2026_women_women-singles,world_figure_skating_championships,figure-skating,women,podium_top3,2026-12-31
