participant_id,type,display_name,country_id
world_figure_athlete_Evgeni_Plushenko_RUS,athlete,Evgeni Plushenko,RUS
world_figure_athlete_Alexei_Yagudin_RUS,athlete,Alexei Yagudin,RUS
world_figure_athlete_Todd_Eldredge_USA,athlete,Todd Eldredge,USA
world_figure_team_Barbara_Fusar-Poli__Maurizio_Margaglio_ITA,team,Barbara Fusar-Poli / Maurizio Margaglio,ITA
world_figure_team_Marina_Anissina__Gwendal_Peizerat_FRA,team,Marina Anissina / Gwendal Peizerat,FRA
world_figure_team_Irina_Lobacheva__Ilia_Averbukh_RUS,team,Irina Lobacheva / Ilia Averbukh,RUS
world_figure_team_Jamie_Salé__David_Pelletier_CAN,team,Jamie Salé / David Pelletier,CAN
world_figure_team_Elena_Berezhnaya__Anton_Sikharulidze_RUS,team,Elena Berezhnaya / Anton Sikharulidze,RUS
world_figure_team_Shen_Xue__Zhao_Hongbo_CHN,team,Shen Xue / Zhao Hongbo,CHN
world_figure_athlete_Michelle_Kwan_USA,athlete,Michelle Kwan,USA
world_figure_athlete_Irina_Slutskaya_RUS,athlete,Irina Slutskaya,RUS
world_figure_athlete_Sarah_Hughes_USA,athlete,Sarah Hughes,USA
world_figure_athlete_Timothy_Goebel_USA,athlete,Timothy Goebel,USA
world_figure_athlete_Takeshi_Honda_JPN,athlete,Takeshi Honda,JPN
world_figure_team_Shae-Lynn_Bourne__Victor_Kraatz_CAN,team,Shae-Lynn Bourne / Victor Kraatz,CAN
world_figure_team_Galit_Chait__Sergei_Sakhnovski_ISR,team,Galit Chait / Sergei Sakhnovski,ISR
world_figure_team_Tatiana_Totmianina__Maxim_Marinin_RUS,team,Tatiana Totmianina / Maxim Marinin,RUS
world_figure_team_Kyoko_Ina__John_Zimmerman_USA,team,Kyoko Ina / John Zimmerman,USA
world_figure_athlete_Fumie_Suguri_JPN,athlete,Fumie Suguri,JPN
world_figure_team_Albena_Denkova__Maxim_Staviski_BGR,team,Albena Denkova / Maxim Staviski,BGR
world_figure_team_Maria_Petrova__Alexei_Tikhonov_RUS,team,Maria Petrova / Alexei Tikhonov,RUS
world_figure_athlete_Elena_Sokolova_RUS,athlete,Elena Sokolova,RUS
world_figure_athlete_Brian_Joubert_FRA,athlete,Brian Joubert,FRA
world_figure_athlete_Stefan_Lindemann_DEU,athlete,Stefan Lindemann,DEU
world_figure_team_Tatiana_Navka__Roman_Kostomarov_RUS,team,Tatiana Navka / Roman Kostomarov,RUS
world_figure_team_Kati_Winkler__René_Lohse_DEU,team,Kati Winkler / René Lohse,DEU
world_figure_team_Pang_Qing__Tong_Jian_CHN,team,Pang Qing / Tong Jian,CHN
world_figure_athlete_Shizuka_Arakawa_JPN,athlete,Shizuka Arakawa,JPN
world_figure_athlete_Sasha_Cohen_USA,athlete,Sasha Cohen,USA
world_figure_athlete_Stéphane_Lambiel_CHE,athlete,Stéphane Lambiel,CHE
world_figure_athlete_Jeffrey_Buttle_CAN,athlete,Jeffrey Buttle,CAN
world_figure_athlete_Evan_Lysacek_USA,athlete,Evan Lysacek,USA
world_figure_team_Tanith_Belbin__Benjamin_Agosto_USA,team,Tanith Belbin / Benjamin Agosto,USA
world_figure_team_Elena_Grushina__Ruslan_Goncharov_UKR,team,Elena Grushina / Ruslan Goncharov,UKR
world_figure_team_Zhang_Dan__Zhang_Hao_CHN,team,Zhang Dan / Zhang Hao,CHN
world_figure_athlete_Carolina_Kostner_ITA,athlete,Carolina Kostner,ITA
world_figure_team_Marie-France_Dubreuil__Patrice_Lauzon_CAN,team,Marie-France Dubreuil / Patrice Lauzon,CAN
world_figure_athlete_Kimmie_Meissner_USA,athlete,Kimmie Meissner,USA
world_figure_athlete_Daisuke_Takahashi_JPN,athlete,Daisuke Takahashi,JPN
world_figure_team_Aliona_Savchenko__Robin_Szolkowy_DEU,team,Aliona Savchenko / Robin Szolkowy,DEU
world_figure_athlete_Miki_Ando_JPN,athlete,Miki Ando,JPN
world_figure_athlete_Mao_Asada_JPN,athlete,Mao Asada,JPN
world_figure_athlete_Kim_Yuna_KOR,athlete,Kim Yuna,KOR
world_figure_athlete_Johnny_Weir_USA,athlete,Johnny Weir,USA
world_figure_team_Isabelle_Delobel__Olivier_Schoenfelder_FRA,team,Isabelle Delobel / Olivier Schoenfelder,FRA
world_figure_team_Tessa_Virtue__Scott_Moir_CAN,team,Tessa Virtue / Scott Moir,CAN
world_figure_team_Jana_Khokhlova__Sergei_Novitski_RUS,team,Jana Khokhlova / Sergei Novitski,RUS
world_figure_team_Jessica_Dubé__Bryce_Davison_CAN,team,Jessica Dubé / Bryce Davison,CAN
world_figure_athlete_Patrick_Chan_CAN,athlete,Patrick Chan,CAN
world_figure_team_Oksana_Domnina__Maxim_Shabalin_RUS,team,Oksana Domnina / Maxim Shabalin,RUS
world_figure_team_Yuko_Kavaguti__Alexander_Smirnov_RUS,team,Yuko Kavaguti / Alexander Smirnov,RUS
world_figure_athlete_Joannie_Rochette_CAN,athlete,Joannie Rochette,CAN
world_figure_team_Meryl_Davis__Charlie_White_USA,team,Meryl Davis / Charlie White,USA
world_figure_team_Federica_Faiella__Massimo_Scali_ITA,team,Federica Faiella / Massimo Scali,ITA
world_figure_athlete_Laura_Lepistö_FIN,athlete,Laura Lepistö,FIN
world_figure_athlete_Takahiko_Kozuka_JPN,athlete,Takahiko Kozuka,JPN
world_figure_athlete_Artur_Gachinski_RUS,athlete,Artur Gachinski,RUS
world_figure_team_Maia_Shibutani__Alex_Shibutani_USA,team,Maia Shibutani / Alex Shibutani,USA
world_figure_team_Tatiana_Volosozhar__Maxim_Trankov_RUS,team,Tatiana Volosozhar / Maxim Trankov,RUS
world_figure_athlete_Yuzuru_Hanyu_JPN,athlete,Yuzuru Hanyu,JPN
world_figure_team_Nathalie_Pechalat__Fabian_Bourzat_FRA,team,Nathalie Pechalat / Fabian Bourzat,FRA
world_figure_team_Narumi_Takahashi__Mervin_Tran_JPN,team,Narumi Takahashi / Mervin Tran,JPN
world_figure_athlete_Alena_Leonova_RUS,athlete,Alena Leonova,RUS
world_figure_athlete_Akiko_Suzuki_JPN,athlete,Akiko Suzuki,JPN
world_figure_athlete_Denis_Ten_KAZ,athlete,Denis Ten,KAZ
world_figure_athlete_Javier_Fernández_ESP,athlete,Javier Fernández,ESP
world_figure_team_Ekaterina_Bobrova__Dmitri_Soloviev_RUS,team,Ekaterina Bobrova / Dmitri Soloviev,RUS
world_figure_team_Meagan_Duhamel__Eric_Radford_CAN,team,Meagan Duhamel / Eric Radford,CAN
world_figure_athlete_Tatsuki_Machida_JPN,athlete,Tatsuki Machida,JPN
world_figure_team_Anna_Cappellini__Luca_Lanotte_ITA,team,Anna Cappellini / Luca Lanotte,ITA
world_figure_team_Kaitlyn_Weaver__Andrew_Poje_CAN,team,Kaitlyn Weaver / Andrew Poje,CAN
world_figure_team_Nathalie_Péchalat__Fabian_Bourzat_FRA,team,Nathalie Péchalat / Fabian Bourzat,FRA
