event_id,participant_id,rank,medal,score_raw,points_awarded
world_figure_skating_championships_2001_men_men-singles,world_figure_athlete_Evgeni_Plushenko_RUS,1,gold,discipline=Figure skating;event=Men's singles;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,10.0
world_figure_skating_championships_2001_men_men-singles,world_figure_athlete_Alexei_Yagudin_RUS,2,silver,discipline=Figure skating;event=Men's singles;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,7.0
world_figure_skating_championships_2001_men_men-singles,world_figure_athlete_Todd_Eldredge_USA,3,bronze,discipline=Figure skating;event=Men's singles;entry_country=USA;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,5.0
world_figure_skating_championships_2001_mixed_ice-dance,world_figure_team_Barbara_Fusar-Poli__Maurizio_Margaglio_ITA,1,gold,discipline=Figure skating;event=Ice dance;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,10.0
world_figure_skating_championships_2001_mixed_ice-dance,world_figure_team_Marina_Anissina__Gwendal_Peizerat_FRA,2,silver,discipline=Figure skating;event=Ice dance;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,7.0
world_figure_skating_championships_2001_mixed_ice-dance,world_figure_team_Irina_Lobacheva__Ilia_Averbukh_RUS,3,bronze,discipline=Figure skating;event=Ice dance;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,5.0
world_figure_skating_championships_2001_mixed_pairs,world_figure_team_Jamie_Salé__David_Pelletier_CAN,1,gold,discipline=Figure skating;event=Pairs;entry_country=CAN;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,10.0
world_figure_skating_championships_2001_mixed_pairs,world_figure_team_Elena_Berezhnaya__Anton_Sikharulidze_RUS,2,silver,discipline=Figure skating;event=Pairs;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,7.0
world_figure_skating_championships_2001_mixed_pairs,world_figure_team_Shen_Xue__Zhao_Hongbo_CHN,3,bronze,discipline=Figure skating;event=Pairs;entry_country=CHN;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,5.0
world_figure_skating_championships_2001_women_women-singles,world_figure_athlete_Michelle_Kwan_USA,1,gold,discipline=Figure skating;event=Women's singles;entry_country=USA;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,10.0
world_figure_skating_championships_2001_women_women-singles,world_figure_athlete_Irina_Slutskaya_RUS,2,silver,discipline=Figure skating;event=Women's singles;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,7.0
world_figure_skating_championships_2001_women_women-singles,world_figure_athlete_Sarah_Hughes_USA,3,bronze,discipline=Figure skating;event=Women's singles;entry_country=USA;source_url=https://en.wikipedia.org/wiki/2001_World_Figure_Skating_Championships,5.0
world_figure_skating_championships_2002_men_men-singles,world_figure_athlete_Alexei_Yagudin_RUS,1,gold,discipline=Figure skating;event=Men's singles;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/2002_World_Figure_Skating_Championships,10.0
world_figure_skating_championships_2002_men_men-singles,world_figure_athlete_Timothy_Goebel_USA,2,silver,discipline=Figure skating;event=Men's singles;entry_country=USA;source_url=https://en.wikipedia.org/wiki/2002_World_Figure_Skating_Championships,7.0
