event_id,participant_id,rank,medal,score_raw,points_awarded
world_games_overall_medal_table_2001,RUS,1,,world_games_overall_medal_table;gold=24;silver=15;bronze=5;total=44;source_url=https://en.wikipedia.org/wiki/2001_World_Games,107.0
world_games_overall_medal_table_2001,USA,2,,world_games_overall_medal_table;gold=15;silver=8;bronze=8;total=31;source_url=https://en.wikipedia.org/wiki/2001_World_Games,69.0
world_games_overall_medal_table_2001,FRA,3,,world_games_overall_medal_table;gold=12;silver=5;bronze=6;total=23;source_url=https://en.wikipedia.org/wiki/2001_World_Games,52.0
world_games_overall_medal_table_2001,GER,4,,world_games_overall_medal_table;gold=10;silver=10;bronze=15;total=35;source_url=https://en.wikipedia.org/wiki/2001_World_Games,65.0
world_games_overall_medal_table_2001,AUS,5,,world_games_overall_medal_table;gold=10;silver=10;bronze=3;total=23;source_url=https://en.wikipedia.org/wiki/2001_World_Games,53.0
world_games_overall_medal_table_2001,ITA,6,,world_games_overall_medal_table;gold=9;silver=11;bronze=8;total=28;source_url=https://en.wikipedia.org/wiki/2001_World_Games,57.0
world_games_overall_medal_table_2001,JPN,7,,world_games_overall_medal_table;gold=9;silver=6;bronze=10;total=25;source_url=https://en.wikipedia.org/wiki/2001_World_Games,49.0
world_games_overall_medal_table_2001,ESP,8,,world_games_overall_medal_table;gold=5;silver=4;bronze=1;total=10;source_url=https://en.wikipedia.org/wiki/2001_World_Games,24.0
world_games_overall_medal_table_2001,GBR,9,,world_games_overall_medal_table;gold=4;silver=7;bronze=11;total=22;source_url=https://en.wikipedia.org/wiki/2001_World_Games,37.0
world_games_overall_medal_table_2001,NED,10,,world_games_overall_medal_table;gold=4;silver=3;bronze=3;total=10;source_url=https://en.wikipedia.org/wiki/2001_World_Games,21.0
world_games_overall_medal_table_2005,RUS,1,,world_games_overall_medal_table;gold=27;silver=19;bronze=11;total=57;source_url=https://en.wikipedia.org/wiki/2005_World_Games,130.0
world_games_overall_medal_table_2005,GER,2,,world_games_overall_medal_table;gold=19;silver=18;bronze=20;total=57;source_url=https://en.wikipedia.org/wiki/2005_World_Games,113.0
world_games_overall_medal_table_2005,ITA,3,,world_games_overall_medal_table;gold=13;silver=9;bronze=13;total=35;source_url=https://en.wikipedia.org/wiki/2005_World_Games,70.0
world_games_overall_medal_table_2005,FRA,4,,world_games_overall_medal_table;gold=12;silver=12;bronze=11;total=35;source_url=https://en.wikipedia.org/wiki/2005_World_Games,71.0
world_games_overall_medal_table_2005,AUS,5,,world_games_overall_medal_table;gold=7;silver=9;bronze=4;total=20;source_url=https://en.wikipedia.org/wiki/2005_World_Games,43.0
world_games_overall_medal_table_2005,USA,6,,world_games_overall_medal_table;gold=7;silver=7;bronze=9;total=23;source_url=https://en.wikipedia.org/wiki/2005_World_Games,44.0
world_games_overall_medal_table_2005,UKR,7,,world_games_overall_medal_table;gold=7;silver=6;bronze=8;total=21;source_url=https://en.wikipedia.org/wiki/2005_World_Games,41.0
world_games_overall_medal_table_2005,ESP,8,,world_games_overall_medal_table;gold=6;silver=6;bronze=3;total=15;source_url=https://en.wikipedia.org/wiki/2005_World_Games,33.0
world_games_overall_medal_table_2005,NED,9,,world_games_overall_medal_table;gold=5;silver=8;bronze=4;total=17;source_url=https://en.wikipedia.org/wiki/2005_World_Games,35.0
world_games_overall_medal_table_2005,DEN,10,,world_games_overall_medal_table;gold=5;silver=1;bronze=0;total=6;source_url=https://en.wikipedia.org/wiki/2005_World_Games,17.0
world_games_overall_medal_table_2009,RUS,1,,world_games_overall_medal_table;gold=19;silver=13;bronze=15;total=47;source_url=https://en.wikipedia.org/wiki/2009_World_Games,98.0
world_games_overall_medal_table_2009,ITA,2,,world_games_overall_medal_table;gold=16;silver=12;bronze=13;total=41;source_url=https://en.wikipedia.org/wiki/2009_World_Games,85.0
world_games_overall_medal_table_2009,CHN,3,,world_games_overall_medal_table;gold=14;silver=10;bronze=5;total=29;source_url=https://en.wikipedia.org/wiki/2009_World_Games,67.0
world_games_overall_medal_table_2009,USA,4,,world_games_overall_medal_table;gold=13;silver=8;bronze=5;total=26;source_url=https://en.wikipedia.org/wiki/2009_World_Games,60.0
world_games_overall_medal_table_2009,FRA,5,,world_games_overall_medal_table;gold=11;silver=14;bronze=13;total=38;source_url=https://en.wikipedia.org/wiki/2009_World_Games,74.0
world_games_overall_medal_table_2009,UKR,6,,world_games_overall_medal_table;gold=9;silver=12;bronze=10;total=31;source_url=https://en.wikipedia.org/wiki/2009_World_Games,61.0
world_games_overall_medal_table_2009,TPE,7,,world_games_overall_medal_table;gold=8;silver=9;bronze=7;total=24;source_url=https://en.wikipedia.org/wiki/2009_World_Games,49.0
world_games_overall_medal_table_2009,GER,8,,world_games_overall_medal_table;gold=6;silver=6;bronze=10;total=22;source_url=https://en.wikipedia.org/wiki/2009_World_Games,40.0
world_games_overall_medal_table_2009,KOR,9,,world_games_overall_medal_table;gold=6;silver=3;bronze=5;total=14;source_url=https://en.wikipedia.org/wiki/2009_World_Games,29.0
world_games_overall_medal_table_2009,AUS,10,,world_games_overall_medal_table;gold=5;silver=10;bronze=5;total=20;source_url=https://en.wikipedia.org/wiki/2009_World_Games,40.0
world_games_overall_medal_table_2013,ITA,1,,world_games_overall_medal_table;gold=18;silver=13;bronze=18;total=49;source_url=https://en.wikipedia.org/wiki/2013_World_Games,98.0
world_games_overall_medal_table_2013,RUS,2,,world_games_overall_medal_table;gold=17;silver=24;bronze=12;total=53;source_url=https://en.wikipedia.org/wiki/2013_World_Games,111.0
world_games_overall_medal_table_2013,FRA,3,,world_games_overall_medal_table;gold=16;silver=11;bronze=13;total=40;source_url=https://en.wikipedia.org/wiki/2013_World_Games,83.0
world_games_overall_medal_table_2013,GER,4,,world_games_overall_medal_table;gold=15;silver=7;bronze=8;total=30;source_url=https://en.wikipedia.org/wiki/2013_World_Games,67.0
world_games_overall_medal_table_2013,CHN,5,,world_games_overall_medal_table;gold=14;silver=6;bronze=2;total=22;source_url=https://en.wikipedia.org/wiki/2013_World_Games,56.0
world_games_overall_medal_table_2013,USA,6,,world_games_overall_medal_table;gold=11;silver=4;bronze=4;total=19;source_url=https://en.wikipedia.org/wiki/2013_World_Games,45.0
world_games_overall_medal_table_2013,UKR,7,,world_games_overall_medal_table;gold=9;silver=10;bronze=9;total=28;source_url=https://en.wikipedia.org/wiki/2013_World_Games,56.0
world_games_overall_medal_table_2013,COL,8,,world_games_overall_medal_table;gold=8;silver=13;bronze=10;total=31;source_url=https://en.wikipedia.org/wiki/2013_World_Games,60.0
world_games_overall_medal_table_2013,GBR,9,,world_games_overall_medal_table;gold=6;silver=6;bronze=3;total=15;source_url=https://en.wikipedia.org/wiki/2013_World_Games,33.0
world_games_overall_medal_table_2013,TPE,10,,world_games_overall_medal_table;gold=5;silver=5;bronze=8;total=18;source_url=https://en.wikipedia.org/wiki/2013_World_Games,33.0
world_games_overall_medal_table_2017,RUS,1,,world_games_overall_medal_table;gold=28;silver=21;bronze=14;total=63;source_url=https://en.wikipedia.org/wiki/2017_World_Games,140.0
world_games_overall_medal_table_2017,GER,2,,world_games_overall_medal_table;gold=17;silver=10;bronze=14;total=41;source_url=https://en.wikipedia.org/wiki/2017_World_Games,85.0
world_games_overall_medal_table_2017,ITA,3,,world_games_overall_medal_table;gold=16;silver=13;bronze=13;total=42;source_url=https://en.wikipedia.org/wiki/2017_World_Games,87.0
world_games_overall_medal_table_2017,FRA,4,,world_games_overall_medal_table;gold=14;silver=14;bronze=15;total=43;source_url=https://en.wikipedia.org/wiki/2017_World_Games,85.0
world_games_overall_medal_table_2017,UKR,5,,world_games_overall_medal_table;gold=10;silver=7;bronze=9;total=26;source_url=https://en.wikipedia.org/wiki/2017_World_Games,53.0
world_games_overall_medal_table_2017,COL,6,,world_games_overall_medal_table;gold=9;silver=11;bronze=1;total=21;source_url=https://en.wikipedia.org/wiki/2017_World_Games,50.0
world_games_overall_medal_table_2017,JPN,7,,world_games_overall_medal_table;gold=9;silver=6;bronze=7;total=22;source_url=https://en.wikipedia.org/wiki/2017_World_Games,46.0
world_games_overall_medal_table_2017,CHN,8,,world_games_overall_medal_table;gold=8;silver=7;bronze=5;total=20;source_url=https://en.wikipedia.org/wiki/2017_World_Games,43.0
world_games_overall_medal_table_2017,USA,9,,world_games_overall_medal_table;gold=7;silver=10;bronze=5;total=22;source_url=https://en.wikipedia.org/wiki/2017_World_Games,46.0
world_games_overall_medal_table_2017,BEL,10,,world_games_overall_medal_table;gold=7;silver=9;bronze=8;total=24;source_url=https://en.wikipedia.org/wiki/2017_World_Games,47.0
world_games_overall_medal_table_2022,GER,1,,world_games_overall_medal_table;gold=24;silver=7;bronze=16;total=47;source_url=https://en.wikipedia.org/wiki/2022_World_Games,102.0
world_games_overall_medal_table_2022,USA,2,,world_games_overall_medal_table;gold=16;silver=18;bronze=10;total=44;source_url=https://en.wikipedia.org/wiki/2022_World_Games,94.0
world_games_overall_medal_table_2022,UKR,3,,world_games_overall_medal_table;gold=16;silver=12;bronze=17;total=45;source_url=https://en.wikipedia.org/wiki/2022_World_Games,89.0
world_games_overall_medal_table_2022,ITA,4,,world_games_overall_medal_table;gold=13;silver=24;bronze=12;total=49;source_url=https://en.wikipedia.org/wiki/2022_World_Games,99.0
world_games_overall_medal_table_2022,FRA,5,,world_games_overall_medal_table;gold=11;silver=15;bronze=16;total=42;source_url=https://en.wikipedia.org/wiki/2022_World_Games,79.0
world_games_overall_medal_table_2022,HUN,6,,world_games_overall_medal_table;gold=11;silver=7;bronze=9;total=27;source_url=https://en.wikipedia.org/wiki/2022_World_Games,56.0
world_games_overall_medal_table_2022,BEL,7,,world_games_overall_medal_table;gold=11;silver=4;bronze=5;total=20;source_url=https://en.wikipedia.org/wiki/2022_World_Games,46.0
world_games_overall_medal_table_2022,JPN,8,,world_games_overall_medal_table;gold=10;silver=11;bronze=12;total=33;source_url=https://en.wikipedia.org/wiki/2022_World_Games,64.0
world_games_overall_medal_table_2022,COL,9,,world_games_overall_medal_table;gold=9;silver=10;bronze=6;total=25;source_url=https://en.wikipedia.org/wiki/2022_World_Games,53.0
world_games_overall_medal_table_2022,CHN,10,,world_games_overall_medal_table;gold=9;silver=4;bronze=1;total=14;source_url=https://en.wikipedia.org/wiki/2022_World_Games,36.0
world_games_overall_medal_table_2025,CHN,1,,world_games_overall_medal_table;gold=36;silver=17;bronze=11;total=64;source_url=https://en.wikipedia.org/wiki/2025_World_Games,153.0
world_games_overall_medal_table_2025,GER,2,,world_games_overall_medal_table;gold=17;silver=14;bronze=14;total=45;source_url=https://en.wikipedia.org/wiki/2025_World_Games,93.0
world_games_overall_medal_table_2025,UKR,3,,world_games_overall_medal_table;gold=16;silver=14;bronze=14;total=44;source_url=https://en.wikipedia.org/wiki/2025_World_Games,90.0
world_games_overall_medal_table_2025,ITA,4,,world_games_overall_medal_table;gold=13;silver=25;bronze=19;total=57;source_url=https://en.wikipedia.org/wiki/2025_World_Games,108.0
world_games_overall_medal_table_2025,FRA,5,,world_games_overall_medal_table;gold=11;silver=11;bronze=16;total=38;source_url=https://en.wikipedia.org/wiki/2025_World_Games,71.0
world_games_overall_medal_table_2025,USA,6,,world_games_overall_medal_table;gold=11;silver=10;bronze=7;total=28;source_url=https://en.wikipedia.org/wiki/2025_World_Games,60.0
world_games_overall_medal_table_2025,HUN,7,,world_games_overall_medal_table;gold=11;silver=8;bronze=5;total=24;source_url=https://en.wikipedia.org/wiki/2025_World_Games,54.0
world_games_overall_medal_table_2025,ESP,8,,world_games_overall_medal_table;gold=8;silver=2;bronze=13;total=23;source_url=https://en.wikipedia.org/wiki/2025_World_Games,41.0
world_games_overall_medal_table_2025,JPN,9,,world_games_overall_medal_table;gold=7;silver=12;bronze=5;total=24;source_url=https://en.wikipedia.org/wiki/2025_World_Games,50.0
world_games_overall_medal_table_2025,COL,10,,world_games_overall_medal_table;gold=7;silver=8;bronze=6;total=21;source_url=https://en.wikipedia.org/wiki/2025_World_Games,43.0
