event_id,competition_id,discipline_id,gender,event_class,event_date
world_judo_championships_2001_men_judo-men-minus-100-kg,world_judo_championships,judo-men-minus-100-kg,men,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_men_judo-men-minus-60-kg,world_judo_championships,judo-men-minus-60-kg,men,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_men_judo-men-minus-66-kg,world_judo_championships,judo-men-minus-66-kg,men,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_men_judo-men-minus-73-kg,world_judo_championships,judo-men-minus-73-kg,men,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_men_judo-men-minus-81-kg,world_judo_championships,judo-men-minus-81-kg,men,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_men_judo-men-minus-90-kg,world_judo_championships,judo-men-minus-90-kg,men,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_men_judo-men-plus-100-kg,world_judo_championships,judo-men-plus-100-kg,men,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_women_judo-women-minus-48-kg,world_judo_championships,judo-women-minus-48-kg,women,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_women_judo-women-minus-52-kg,world_judo_championships,judo-women-minus-52-kg,women,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_women_judo-women-minus-57-kg,world_judo_championships,judo-women-minus-57-kg,women,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_women_judo-women-minus-63-kg,world_judo_championships,judo-women-minus-63-kg,women,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_women_judo-women-minus-70-kg,world_judo_championships,judo-women-minus-70-kg,women,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_women_judo-women-minus-78-kg,world_judo_championships,judo-women-minus-78-kg,women,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2001_women_judo-women-plus-78-kg,world_judo_championships,judo-women-plus-78-kg,women,podium_top3_by_weight_category,2001-12-31
world_judo_championships_2003_men_judo-men-minus-100-kg,world_judo_championships,judo-men-minus-100-kg,men,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_men_judo-men-minus-60-kg,world_judo_championships,judo-men-minus-60-kg,men,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_men_judo-men-minus-66-kg,world_judo_championships,judo-men-minus-66-kg,men,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_men_judo-men-minus-73-kg,world_judo_championships,judo-men-minus-73-kg,men,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_men_judo-men-minus-81-kg,world_judo_championships,judo-men-minus-81-kg,men,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_men_judo-men-minus-90-kg,world_judo_championships,judo-men-minus-90-kg,men,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_men_judo-men-plus-100-kg,world_judo_championships,judo-men-plus-100-kg,men,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_women_judo-women-minus-48-kg,world_judo_championships,judo-women-minus-48-kg,women,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_women_judo-women-minus-52-kg,world_judo_championships,judo-women-minus-52-kg,women,podium_top3_by_weight_category,2003-12-31
world_judo_championships_2003_women_judo-women-minus-57-kg,world_judo_championships,judo-women-minus-57-kg,women,podium_top3_by_weight_category,2003-12-31
