participant_id,type,display_name,country_id
athlete_Kosei_Inoue_JPN,athlete,Kosei Inoue,JPN
athlete_Antal_Kovács_HUN,athlete,Antal Kovács,HUN
athlete_Askhat_Zhitkeyev_KAZ,athlete,Askhat Zhitkeyev,KAZ
athlete_Jang_Sung-ho_KOR,athlete,Jang Sung-ho,KOR
athlete_Anis_Lounifi_TUN,athlete,Anis Lounifi,TUN
athlete_Cédric_Taymans_BEL,athlete,Cédric Taymans,BEL
athlete_John_Buchanan_GBR,athlete,John Buchanan,GBR
athlete_Kazuhiko_Tokuno_JPN,athlete,Kazuhiko Tokuno,JPN
athlete_Arash_Miresmaili_IRI,athlete,Arash Miresmaili,IRI
athlete_Musa_Nastuyev_UKR,athlete,Musa Nastuyev,UKR
athlete_Yordanis_Arencibia_CUB,athlete,Yordanis Arencibia,CUB
athlete_Kim_Hyung-ju_KOR,athlete,Kim Hyung-ju,KOR
athlete_Vitaliy_Makarov_RUS,athlete,Vitaliy Makarov,RUS
athlete_Yusuke_Kanamaru_JPN,athlete,Yusuke Kanamaru,JPN
athlete_Askhat_Shakharov_KAZ,athlete,Askhat Shakharov,KAZ
athlete_Krzysztof_Wikomirski_POL,athlete,Krzysztof Wiłkomirski,POL
athlete_Cho_In-chul_KOR,athlete,Cho In-chul,KOR
athlete_Aleksei_Budõlin_EST,athlete,Aleksei Budõlin,EST
athlete_Elkhan_Rajabli_AZE,athlete,Elkhan Rajabli,AZE
athlete_Sergei_Aschwanden_CHE,athlete,Sergei Aschwanden,CHE
athlete_Frédéric_Demontfaucon_FRA,athlete,Frédéric Demontfaucon,FRA
athlete_Zurab_Zviadauri_GEO,athlete,Zurab Zviadauri,GEO
athlete_Rasul_Salimov_AZE,athlete,Rasul Salimov,AZE
athlete_Yoon_Dong-sik_KOR,athlete,Yoon Dong-sik,KOR
athlete_Alexander_Mikhaylin_RUS,athlete,Alexander Mikhaylin,RUS
athlete_Selim_Tatarolu_TUR,athlete,Selim Tataroğlu,TUR
athlete_Mahmoud_Miran_IRI,athlete,Mahmoud Miran,IRI
athlete_Shinichi_Shinohara_JPN,athlete,Shinichi Shinohara,JPN
athlete_Ryoko_Tamura_JPN,athlete,Ryoko Tamura,JPN
athlete_Ri_Kyong-ok_PRK,athlete,Ri Kyong-ok,PRK
athlete_Danieska_Carrión_CUB,athlete,Danieska Carrión,CUB
athlete_Giuseppina_Macrì_ITA,athlete,Giuseppina Macrì,ITA
athlete_Kye_Sun-hui_PRK,athlete,Kye Sun-hui,PRK
athlete_Raffaella_Imbriani_DEU,athlete,Raffaella Imbriani,DEU
athlete_Liu_Yuxiang_CHN,athlete,Liu Yuxiang,CHN
athlete_Legna_Verdecia_CUB,athlete,Legna Verdecia,CUB
athlete_Yurisleidis_Lupetey_CUB,athlete,Yurisleidis Lupetey,CUB
athlete_Deborah_Gravenstijn_NLD,athlete,Deborah Gravenstijn,NLD
athlete_Isabel_Fernández_ESP,athlete,Isabel Fernández,ESP
athlete_Kie_Kusakabe_JPN,athlete,Kie Kusakabe,JPN
athlete_Gella_Vandecaveye_BEL,athlete,Gella Vandecaveye,BEL
athlete_Sara_Álvarez_ESP,athlete,Sara Álvarez,ESP
athlete_Anaysi_Hernández_CUB,athlete,Anaysi Hernández,CUB
athlete_Ayumi_Tanimoto_JPN,athlete,Ayumi Tanimoto,JPN
athlete_Masae_Ueno_JPN,athlete,Masae Ueno,JPN
athlete_Kate_Howey_GBR,athlete,Kate Howey,GBR
athlete_Ulla_Werbrouck_BEL,athlete,Ulla Werbrouck,BEL
athlete_Regla_Leyén_CUB,athlete,Regla Leyén,CUB
athlete_Noriko_Anno_JPN,athlete,Noriko Anno,JPN
athlete_Yurisel_Laborde_CUB,athlete,Yurisel Laborde,CUB
athlete_Céline_Lebrun_FRA,athlete,Céline Lebrun,FRA
athlete_Lee_So-yeon_KOR,athlete,Lee So-yeon,KOR
athlete_Yuan_Hua_CHN,athlete,Yuan Hua,CHN
athlete_Midori_Shintani_JPN,athlete,Midori Shintani,JPN
athlete_Daima_Beltrán_CUB,athlete,Daima Beltrán,CUB
athlete_Sandra_Köppen_DEU,athlete,Sandra Köppen,DEU
athlete_Ghislain_Lemaire_FRA,athlete,Ghislain Lemaire,FRA
athlete_Ihar_Makarau_BLR,athlete,Ihar Makarau,BLR
athlete_Mário_Sabino_BRA,athlete,Mário Sabino,BRA
athlete_Choi_Min-Ho_KOR,athlete,Choi Min-Ho,KOR
athlete_Craig_Fallon_GBR,athlete,Craig Fallon,GBR
athlete_Tadahiro_Nomura_JPN,athlete,Tadahiro Nomura,JPN
athlete_Arash_Miresmaeili_IRI,athlete,Arash Miresmaeili,IRI
athlete_Larbi_Benboudaoud_FRA,athlete,Larbi Benboudaoud,FRA
athlete_Magomed_Dzhafarov_RUS,athlete,Magomed Dzhafarov,RUS
athlete_Lee_Won-Hee_KOR,athlete,Lee Won-Hee,KOR
athlete_Daniel_Fernandes_FRA,athlete,Daniel Fernandes,FRA
athlete_João_Neto_POR,athlete,João Neto,POR
athlete_Florian_Wanner_DEU,athlete,Florian Wanner,DEU
athlete_Robert_Krawczyk_POL,athlete,Robert Krawczyk,POL
athlete_Hwang_Hee-Tae_KOR,athlete,Hwang Hee-Tae,KOR
athlete_Siarhei_Kukharenka_BLR,athlete,Siarhei Kukharenka,BLR
athlete_Carlos_Honorato_BRA,athlete,Carlos Honorato,BRA
athlete_Yasuyuki_Muneta_JPN,athlete,Yasuyuki Muneta,JPN
athlete_Dennis_van_der_Geest_NLD,athlete,Dennis van der Geest,NLD
athlete_Tamerlan_Tmenov_RUS,athlete,Tamerlan Tmenov,RUS
