event_id,participant_id,rank,medal,score_raw,points_awarded
world_judo_championships_2001_men_judo-men-minus-100-kg,athlete_Antal_Kovács_HUN,2,silver,discipline=judo-men-minus-100-kg;event=Half-heavyweight (-100 kg);country=HUN;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,2.0
world_judo_championships_2001_men_judo-men-minus-100-kg,athlete_Askhat_Zhitkeyev_KAZ,3,bronze,discipline=judo-men-minus-100-kg;event=Half-heavyweight (-100 kg);country=KAZ;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,1.0
world_judo_championships_2001_men_judo-men-minus-100-kg,athlete_Jang_Sung-ho_KOR,3,bronze,discipline=judo-men-minus-100-kg;event=Half-heavyweight (-100 kg);country=KOR;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,1.0
world_judo_championships_2001_men_judo-men-minus-100-kg,athlete_Kosei_Inoue_JPN,1,gold,discipline=judo-men-minus-100-kg;event=Half-heavyweight (-100 kg);country=JPN;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,3.0
world_judo_championships_2001_men_judo-men-minus-60-kg,athlete_Anis_Lounifi_TUN,1,gold,discipline=judo-men-minus-60-kg;event=Extra-lightweight (-60 kg);country=TUN;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,3.0
world_judo_championships_2001_men_judo-men-minus-60-kg,athlete_Cédric_Taymans_BEL,2,silver,discipline=judo-men-minus-60-kg;event=Extra-lightweight (-60 kg);country=BEL;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,2.0
world_judo_championships_2001_men_judo-men-minus-60-kg,athlete_John_Buchanan_GBR,3,bronze,discipline=judo-men-minus-60-kg;event=Extra-lightweight (-60 kg);country=GBR;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,1.0
world_judo_championships_2001_men_judo-men-minus-60-kg,athlete_Kazuhiko_Tokuno_JPN,3,bronze,discipline=judo-men-minus-60-kg;event=Extra-lightweight (-60 kg);country=JPN;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,1.0
world_judo_championships_2001_men_judo-men-minus-66-kg,athlete_Arash_Miresmaili_IRI,1,gold,discipline=judo-men-minus-66-kg;event=Half-lightweight (-66 kg);country=IRI;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,3.0
world_judo_championships_2001_men_judo-men-minus-66-kg,athlete_Kim_Hyung-ju_KOR,3,bronze,discipline=judo-men-minus-66-kg;event=Half-lightweight (-66 kg);country=KOR;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,1.0
world_judo_championships_2001_men_judo-men-minus-66-kg,athlete_Musa_Nastuyev_UKR,2,silver,discipline=judo-men-minus-66-kg;event=Half-lightweight (-66 kg);country=UKR;source_url=https://en.wikipedia.org/wiki/2001_World_Judo_Championships,2.0
