participant_id,type,display_name,country_id
world_karate_athlete_Takashi_Katada_JPN,athlete,Takashi Katada,JPN
world_karate_athlete_Javier_Hernández_ESP,athlete,Javier Hernández,ESP
world_karate_athlete_Karim_Sharif_EGY,athlete,Karim Sharif,EGY
world_karate_athlete_Antonio_Díaz_VEN,athlete,Antonio Díaz,VEN
world_karate_athlete_Damien_Dovy_BEN,athlete,Damien Dovy,BEN
world_karate_athlete_Cécil_Boulesnane_FRA,athlete,Cécil Boulesnane,FRA
world_karate_athlete_Paul_Newby_ENG,athlete,Paul Newby,ENG
world_karate_athlete_Hossein_Rouhani_IRI,athlete,Hossein Rouhani,IRI
world_karate_athlete_George_Kotaka_USA,athlete,George Kotaka,USA
world_karate_athlete_Lazar_Boskovic_DEU,athlete,Lazar Boskovic,DEU
world_karate_athlete_Mehdi_Amouzadeh_IRI,athlete,Mehdi Amouzadeh,IRI
world_karate_athlete_Andrea_Calzola_ITA,athlete,Andrea Calzola,ITA
world_karate_athlete_Md_Golam_Zakaria_ITA,athlete,Md Golam Zakaria,ITA
world_karate_athlete_Junior_Lefevre_HRV,athlete,Junior Lefevre,HRV
world_karate_athlete_Óscar_Vázquez_ESP,athlete,Óscar Vázquez,ESP
world_karate_athlete_Messaoud_Hammou_FRA,athlete,Messaoud Hammou,FRA
world_karate_athlete_Iván_Leal_ESP,athlete,Iván Leal,ESP
world_karate_athlete_Jasem_Vishkaei_IRI,athlete,Jasem Vishkaei,IRI
world_karate_athlete_Köksal_Çakr_DEU,athlete,Köksal Çakır,DEU
world_karate_athlete_smail_Hakk_en_TUR,athlete,İsmail Hakkı Şen,TUR
world_karate_athlete_Yann_Baillon_FRA,athlete,Yann Baillon,FRA
world_karate_athlete_Daniël_Sabanovic_NLD,athlete,Daniël Sabanovic,NLD
world_karate_athlete_Zeynel_Çelik_TUR,athlete,Zeynel Çelik,TUR
world_karate_athlete_Milo_ivkovi_YUG,athlete,Miloš Živković,YUG
world_karate_athlete_Predrag_Stojadinov_YUG,athlete,Predrag Stojadinov,YUG
world_karate_athlete_Daniel_Devigili_AUT,athlete,Daniel Devigili,AUT
world_karate_athlete_Konstantinos_Papadopoulos_GRC,athlete,Konstantinos Papadopoulos,GRC
world_karate_athlete_Klaudio_Farmadín_SVK,athlete,Klaudio Farmadín,SVK
world_karate_athlete_Leon_Walters_ENG,athlete,Leon Walters,ENG
