event_id,participant_id,rank,medal,score_raw,points_awarded
world_karate_championships_2002_men_kata,world_karate_athlete_Takashi_Katada_JPN,1,gold,discipline=Karate;event=World Karate Championships Men Individual kata;event_label=Individual kata;source_text=Takashi Katada Japan;entry_country=JPN;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_kata,world_karate_athlete_Javier_Hernández_ESP,2,silver,discipline=Karate;event=World Karate Championships Men Individual kata;event_label=Individual kata;source_text=Javier Hernández Spain;entry_country=ESP;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_kata,world_karate_athlete_Karim_Sharif_EGY,3,bronze,discipline=Karate;event=World Karate Championships Men Individual kata;event_label=Individual kata;source_text=Karim Sharif Egypt;entry_country=EGY;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kata,world_karate_athlete_Antonio_Díaz_VEN,3,bronze,discipline=Karate;event=World Karate Championships Men Individual kata;event_label=Individual kata;source_text=Antonio Díaz Venezuela;entry_country=VEN;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-60-kg,world_karate_athlete_Damien_Dovy_BEN,1,gold,discipline=Karate;event=World Karate Championships Men Kumite −60 kg;event_label=Kumite −60 kg;source_text=Damien Dovy Benin;entry_country=BEN;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_kumite-60-kg,world_karate_athlete_Cécil_Boulesnane_FRA,2,silver,discipline=Karate;event=World Karate Championships Men Kumite −60 kg;event_label=Kumite −60 kg;source_text=Cécil Boulesnane France;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_kumite-60-kg,world_karate_athlete_Paul_Newby_ENG,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −60 kg;event_label=Kumite −60 kg;source_text=Paul Newby England;entry_country=ENG;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-60-kg,world_karate_athlete_Hossein_Rouhani_IRI,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −60 kg;event_label=Kumite −60 kg;source_text=Hossein Rouhani Iran;entry_country=IRI;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-65-kg,world_karate_athlete_George_Kotaka_USA,1,gold,discipline=Karate;event=World Karate Championships Men Kumite −65 kg;event_label=Kumite −65 kg;source_text=George Kotaka United States;entry_country=USA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_kumite-65-kg,world_karate_athlete_Lazar_Boskovic_DEU,2,silver,discipline=Karate;event=World Karate Championships Men Kumite −65 kg;event_label=Kumite −65 kg;source_text=Lazar Boskovic Germany;entry_country=DEU;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_kumite-65-kg,world_karate_athlete_Mehdi_Amouzadeh_IRI,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −65 kg;event_label=Kumite −65 kg;source_text=Mehdi Amouzadeh Iran;entry_country=IRI;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-65-kg,world_karate_athlete_Andrea_Calzola_ITA,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −65 kg;event_label=Kumite −65 kg;source_text=Andrea Calzola Italy;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-70-kg,world_karate_athlete_Md_Golam_Zakaria_ITA,1,gold,discipline=Karate;event=World Karate Championships Men Kumite −70 kg;event_label=Kumite −70 kg;source_text=Md Golam Zakaria Italy;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_kumite-70-kg,world_karate_athlete_Junior_Lefevre_HRV,2,silver,discipline=Karate;event=World Karate Championships Men Kumite −70 kg;event_label=Kumite −70 kg;source_text=Junior Lefevre Croatia;entry_country=HRV;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_kumite-70-kg,world_karate_athlete_Óscar_Vázquez_ESP,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −70 kg;event_label=Kumite −70 kg;source_text=Óscar Vázquez Spain;entry_country=ESP;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-70-kg,world_karate_athlete_Messaoud_Hammou_FRA,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −70 kg;event_label=Kumite −70 kg;source_text=Messaoud Hammou France;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-75-kg,world_karate_athlete_Iván_Leal_ESP,1,gold,discipline=Karate;event=World Karate Championships Men Kumite −75 kg;event_label=Kumite −75 kg;source_text=Iván Leal Spain;entry_country=ESP;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_kumite-75-kg,world_karate_athlete_Jasem_Vishkaei_IRI,2,silver,discipline=Karate;event=World Karate Championships Men Kumite −75 kg;event_label=Kumite −75 kg;source_text=Jasem Vishkaei Iran;entry_country=IRI;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_kumite-75-kg,world_karate_athlete_Köksal_Çakr_DEU,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −75 kg;event_label=Kumite −75 kg;source_text=Köksal Çakır Germany;entry_country=DEU;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-75-kg,world_karate_athlete_smail_Hakk_en_TUR,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −75 kg;event_label=Kumite −75 kg;source_text=İsmail Hakkı Şen Turkey;entry_country=TUR;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-80-kg,world_karate_athlete_Yann_Baillon_FRA,1,gold,discipline=Karate;event=World Karate Championships Men Kumite −80 kg;event_label=Kumite −80 kg;source_text=Yann Baillon France;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_kumite-80-kg,world_karate_athlete_Daniël_Sabanovic_NLD,2,silver,discipline=Karate;event=World Karate Championships Men Kumite −80 kg;event_label=Kumite −80 kg;source_text=Daniël Sabanovic Netherlands;entry_country=NLD;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_kumite-80-kg,world_karate_athlete_Zeynel_Çelik_TUR,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −80 kg;event_label=Kumite −80 kg;source_text=Zeynel Çelik Turkey;entry_country=TUR;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-80-kg,world_karate_athlete_Milo_ivkovi_YUG,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite −80 kg;event_label=Kumite −80 kg;source_text=Miloš Živković Yugoslavia;entry_country=YUG;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-open,world_karate_athlete_Predrag_Stojadinov_YUG,1,gold,discipline=Karate;event=World Karate Championships Men Kumite open;event_label=Kumite open;source_text=Predrag Stojadinov Yugoslavia;entry_country=YUG;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_kumite-open,world_karate_athlete_Daniel_Devigili_AUT,2,silver,discipline=Karate;event=World Karate Championships Men Kumite open;event_label=Kumite open;source_text=Daniel Devigili Austria;entry_country=AUT;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_kumite-open,world_karate_athlete_Konstantinos_Papadopoulos_GRC,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite open;event_label=Kumite open;source_text=Konstantinos Papadopoulos Greece;entry_country=GRC;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-open,world_karate_athlete_Klaudio_Farmadín_SVK,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite open;event_label=Kumite open;source_text=Klaudio Farmadín Slovakia;entry_country=SVK;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-plus80-kg,world_karate_athlete_Leon_Walters_ENG,1,gold,discipline=Karate;event=World Karate Championships Men Kumite +80 kg;event_label=Kumite +80 kg;source_text=Leon Walters England;entry_country=ENG;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_kumite-plus80-kg,world_karate_athlete_Alexander_Gerunov_RUS,2,silver,discipline=Karate;event=World Karate Championships Men Kumite +80 kg;event_label=Kumite +80 kg;source_text=Alexander Gerunov Russia;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_kumite-plus80-kg,world_karate_athlete_Jan_Tuek_CZE,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite +80 kg;event_label=Kumite +80 kg;source_text=Jan Tuček Czech Republic;entry_country=CZE;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_kumite-plus80-kg,world_karate_athlete_Seydina_Baldé_FRA,3,bronze,discipline=Karate;event=World Karate Championships Men Kumite +80 kg;event_label=Kumite +80 kg;source_text=Seydina Baldé France;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_team-kata,world_karate_team_Japan_Men_Team_kata_JPN,1,gold,discipline=Karate;event=World Karate Championships Men Team kata;event_label=Team kata;source_text=Japan;entry_country=JPN;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_team-kata,world_karate_team_Spain_Men_Team_kata_ESP,2,silver,discipline=Karate;event=World Karate Championships Men Team kata;event_label=Team kata;source_text=Spain Javier Hernández Víctor López Fernando San José;entry_country=ESP;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_team-kata,world_karate_team_Croatia_Men_Team_kata_HRV,3,bronze,discipline=Karate;event=World Karate Championships Men Team kata;event_label=Team kata;source_text=Croatia;entry_country=HRV;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_team-kata,world_karate_team_Italy_Men_Team_kata_ITA,3,bronze,discipline=Karate;event=World Karate Championships Men Team kata;event_label=Team kata;source_text=Italy Vincenzo Figuccio Lucio Maurino Luca Valdesi;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_team-kumite,world_karate_team_Spain_Men_Team_kumite_ESP,1,gold,discipline=Karate;event=World Karate Championships Men Team kumite;event_label=Team kumite;source_text=Spain Tomás Herrero Iván Leal Francisco Martínez Óscar Martínez Ángel Ramiro David Santana Óscar Vázquez;entry_country=ESP;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_men_team-kumite,world_karate_team_England_Men_Team_kumite_ENG,2,silver,discipline=Karate;event=World Karate Championships Men Team kumite;event_label=Team kumite;source_text=England;entry_country=ENG;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_men_team-kumite,world_karate_team_France_Men_Team_kumite_FRA,3,bronze,discipline=Karate;event=World Karate Championships Men Team kumite;event_label=Team kumite;source_text=France Yann Baillon Seydina Baldé Olivier Beaudry Rida Bel Lahsen Alexandre Biamonti David Félix Messaoud Hammou;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_men_team-kumite,world_karate_team_Iran_Men_Team_kumite_IRI,3,bronze,discipline=Karate;event=World Karate Championships Men Team kumite;event_label=Team kumite;source_text=Iran Mehdi Amouzadeh Mehran Behnamfar Maziar Elhami Alireza Katiraei Nasser Khajeh-Hosseini Hassan Shaterzadeh Jasem Vishkaei;entry_country=IRI;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_women_kata,world_karate_athlete_Atsuko_Wakai_JPN,1,gold,discipline=Karate;event=World Karate Championships Women Individual kata;event_label=Individual kata;source_text=Atsuko Wakai Japan;entry_country=JPN;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_women_kata,world_karate_athlete_Myriam_Szkudlarek_FRA,2,silver,discipline=Karate;event=World Karate Championships Women Individual kata;event_label=Individual kata;source_text=Myriam Szkudlarek France;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
world_karate_championships_2002_women_kata,world_karate_athlete_Marcela_Remiáová_SVK,3,bronze,discipline=Karate;event=World Karate Championships Women Individual kata;event_label=Individual kata;source_text=Marcela Remiášová Slovakia;entry_country=SVK;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_women_kata,world_karate_athlete_Yohana_Sánchez_VEN,3,bronze,discipline=Karate;event=World Karate Championships Women Individual kata;event_label=Individual kata;source_text=Yohana Sánchez Venezuela;entry_country=VEN;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,5.0
world_karate_championships_2002_women_kumite-53-kg,world_karate_athlete_Kora_Knühmann_DEU,1,gold,discipline=Karate;event=World Karate Championships Women Kumite −53 kg;event_label=Kumite −53 kg;source_text=Kora Knühmann Germany;entry_country=DEU;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,10.0
world_karate_championships_2002_women_kumite-53-kg,world_karate_athlete_Michela_Nanni_ITA,2,silver,discipline=Karate;event=World Karate Championships Women Kumite −53 kg;event_label=Kumite −53 kg;source_text=Michela Nanni Italy;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/2002_World_Karate_Championships,7.0
