event_id,participant_id,rank,medal,score_raw,points_awarded
world_lacrosse_championship_2002,USA,1,gold,world_lacrosse_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,10.0
world_lacrosse_championship_2002,CAN,2,silver,world_lacrosse_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,7.0
world_lacrosse_championship_2002,AUS,3,bronze,world_lacrosse_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,5.0
world_lacrosse_championship_2002,HAU,4,,world_lacrosse_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,4.0
world_lacrosse_championship_2006,CAN,1,gold,world_lacrosse_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,10.0
world_lacrosse_championship_2006,USA,2,silver,world_lacrosse_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,7.0
world_lacrosse_championship_2006,AUS,3,bronze,world_lacrosse_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,5.0
world_lacrosse_championship_2006,HAU,4,,world_lacrosse_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,4.0
world_lacrosse_championship_2010,USA,1,gold,world_lacrosse_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,10.0
world_lacrosse_championship_2010,CAN,2,silver,world_lacrosse_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,7.0
world_lacrosse_championship_2010,AUS,3,bronze,world_lacrosse_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,5.0
world_lacrosse_championship_2010,JPN,4,,world_lacrosse_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,4.0
world_lacrosse_championship_2014,CAN,1,gold,world_lacrosse_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,10.0
world_lacrosse_championship_2014,USA,2,silver,world_lacrosse_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,7.0
world_lacrosse_championship_2014,HAU,3,bronze,world_lacrosse_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,5.0
world_lacrosse_championship_2014,AUS,4,,world_lacrosse_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,4.0
world_lacrosse_championship_2018,USA,1,gold,world_lacrosse_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,10.0
world_lacrosse_championship_2018,CAN,2,silver,world_lacrosse_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,7.0
world_lacrosse_championship_2018,HAU,3,bronze,world_lacrosse_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,5.0
world_lacrosse_championship_2018,AUS,4,,world_lacrosse_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,4.0
world_lacrosse_championship_2023,USA,1,gold,world_lacrosse_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,10.0
world_lacrosse_championship_2023,CAN,2,silver,world_lacrosse_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,7.0
world_lacrosse_championship_2023,HAU,3,bronze,world_lacrosse_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,5.0
world_lacrosse_championship_2023,AUS,4,,world_lacrosse_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Men%27s_Championship,4.0
