event_id,participant_id,rank,medal,score_raw,points_awarded
world_lacrosse_womens_world_cup_2001,USA,1,gold,world_lacrosse_womens_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,10.0
world_lacrosse_womens_world_cup_2001,AUS,2,silver,world_lacrosse_womens_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,7.0
world_lacrosse_womens_world_cup_2001,ENG,3,bronze,world_lacrosse_womens_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,5.0
world_lacrosse_womens_world_cup_2001,CAN,4,,world_lacrosse_womens_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,4.0
world_lacrosse_womens_world_cup_2005,AUS,1,gold,world_lacrosse_womens_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,10.0
world_lacrosse_womens_world_cup_2005,USA,2,silver,world_lacrosse_womens_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,7.0
world_lacrosse_womens_world_cup_2005,ENG,3,bronze,world_lacrosse_womens_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,5.0
world_lacrosse_womens_world_cup_2005,CAN,4,,world_lacrosse_womens_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,4.0
world_lacrosse_womens_world_cup_2009,USA,1,gold,world_lacrosse_womens_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,10.0
world_lacrosse_womens_world_cup_2009,AUS,2,silver,world_lacrosse_womens_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,7.0
world_lacrosse_womens_world_cup_2009,CAN,3,bronze,world_lacrosse_womens_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,5.0
world_lacrosse_womens_world_cup_2009,ENG,4,,world_lacrosse_womens_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,4.0
world_lacrosse_womens_world_cup_2013,USA,1,gold,world_lacrosse_womens_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,10.0
world_lacrosse_womens_world_cup_2013,CAN,2,silver,world_lacrosse_womens_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,7.0
world_lacrosse_womens_world_cup_2013,AUS,3,bronze,world_lacrosse_womens_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,5.0
world_lacrosse_womens_world_cup_2013,ENG,4,,world_lacrosse_womens_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,4.0
world_lacrosse_womens_world_cup_2017,USA,1,gold,world_lacrosse_womens_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,10.0
world_lacrosse_womens_world_cup_2017,CAN,2,silver,world_lacrosse_womens_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,7.0
world_lacrosse_womens_world_cup_2017,ENG,3,bronze,world_lacrosse_womens_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,5.0
world_lacrosse_womens_world_cup_2017,AUS,4,,world_lacrosse_womens_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,4.0
world_lacrosse_womens_world_cup_2022,USA,1,gold,world_lacrosse_womens_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,10.0
world_lacrosse_womens_world_cup_2022,CAN,2,silver,world_lacrosse_womens_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,7.0
world_lacrosse_womens_world_cup_2022,ENG,3,bronze,world_lacrosse_womens_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,5.0
world_lacrosse_womens_world_cup_2022,AUS,4,,world_lacrosse_womens_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,4.0
world_lacrosse_womens_world_cup_2026,USA,1,gold,world_lacrosse_womens_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,10.0
world_lacrosse_womens_world_cup_2026,CAN,2,silver,world_lacrosse_womens_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,7.0
world_lacrosse_womens_world_cup_2026,ISR,3,bronze,world_lacrosse_womens_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,5.0
world_lacrosse_womens_world_cup_2026,HAU,4,,world_lacrosse_womens_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/World_Lacrosse_Women%27s_Championship,4.0
