event_id,participant_id,rank,medal,score_raw,points_awarded
world_netball_cup_2003,NZL,1,gold,world_netball_cup_final_rank=1;host=Jamaica;final_score=49–47;third_place_score=46–40;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,10.0
world_netball_cup_2003,AUS,2,silver,world_netball_cup_final_rank=2;host=Jamaica;final_score=49–47;third_place_score=46–40;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,7.0
world_netball_cup_2003,JAM,3,bronze,world_netball_cup_final_rank=3;host=Jamaica;final_score=49–47;third_place_score=46–40;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,5.0
world_netball_cup_2003,ENG,4,,world_netball_cup_final_rank=4;host=Jamaica;final_score=49–47;third_place_score=46–40;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,4.0
world_netball_cup_2007,AUS,1,gold,world_netball_cup_final_rank=1;host=New Zealand;final_score=42–38;third_place_score=53–52;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,10.0
world_netball_cup_2007,NZL,2,silver,world_netball_cup_final_rank=2;host=New Zealand;final_score=42–38;third_place_score=53–52;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,7.0
world_netball_cup_2007,JAM,3,bronze,world_netball_cup_final_rank=3;host=New Zealand;final_score=42–38;third_place_score=53–52;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,5.0
world_netball_cup_2007,ENG,4,,world_netball_cup_final_rank=4;host=New Zealand;final_score=42–38;third_place_score=53–52;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,4.0
world_netball_cup_2011,AUS,1,gold,world_netball_cup_final_rank=1;host=Singapore;final_score=58–57;third_place_score=70–49;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,10.0
world_netball_cup_2011,NZL,2,silver,world_netball_cup_final_rank=2;host=Singapore;final_score=58–57;third_place_score=70–49;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,7.0
world_netball_cup_2011,ENG,3,bronze,world_netball_cup_final_rank=3;host=Singapore;final_score=58–57;third_place_score=70–49;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,5.0
world_netball_cup_2011,JAM,4,,world_netball_cup_final_rank=4;host=Singapore;final_score=58–57;third_place_score=70–49;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,4.0
world_netball_cup_2015,AUS,1,gold,world_netball_cup_final_rank=1;host=Australia;final_score=58–55;third_place_score=66–44;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,10.0
world_netball_cup_2015,NZL,2,silver,world_netball_cup_final_rank=2;host=Australia;final_score=58–55;third_place_score=66–44;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,7.0
world_netball_cup_2015,ENG,3,bronze,world_netball_cup_final_rank=3;host=Australia;final_score=58–55;third_place_score=66–44;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,5.0
world_netball_cup_2015,JAM,4,,world_netball_cup_final_rank=4;host=Australia;final_score=58–55;third_place_score=66–44;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,4.0
world_netball_cup_2019,NZL,1,gold,world_netball_cup_final_rank=1;host=England;final_score=52–51;third_place_score=58–42;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,10.0
world_netball_cup_2019,AUS,2,silver,world_netball_cup_final_rank=2;host=England;final_score=52–51;third_place_score=58–42;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,7.0
world_netball_cup_2019,ENG,3,bronze,world_netball_cup_final_rank=3;host=England;final_score=52–51;third_place_score=58–42;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,5.0
world_netball_cup_2019,ZAF,4,,world_netball_cup_final_rank=4;host=England;final_score=52–51;third_place_score=58–42;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,4.0
world_netball_cup_2023,AUS,1,gold,world_netball_cup_final_rank=1;host=South Africa;final_score=61–45;third_place_score=52–45;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,10.0
world_netball_cup_2023,ENG,2,silver,world_netball_cup_final_rank=2;host=South Africa;final_score=61–45;third_place_score=52–45;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,7.0
world_netball_cup_2023,JAM,3,bronze,world_netball_cup_final_rank=3;host=South Africa;final_score=61–45;third_place_score=52–45;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,5.0
world_netball_cup_2023,NZL,4,,world_netball_cup_final_rank=4;host=South Africa;final_score=61–45;third_place_score=52–45;source_url=https://en.wikipedia.org/wiki/Netball_World_Cup,4.0
