event_id,competition_id,discipline_id,gender,event_class,event_date
world_rowing_championships_2001_lm1x,world_rowing_championships,rowing-lightweight-single-sculls,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lm2minus,world_rowing_championships,rowing-lightweight-coxless-pair,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lm2x,world_rowing_championships,rowing-lightweight-double-sculls,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lm4minus,world_rowing_championships,rowing-lightweight-coxless-four,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lm4x,world_rowing_championships,rowing-lightweight-quadruple-sculls,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lm8plus,world_rowing_championships,rowing-lightweight-eight,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lw1x,world_rowing_championships,rowing-lightweight-single-sculls,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lw2minus,world_rowing_championships,rowing-lightweight-coxless-pair,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lw2x,world_rowing_championships,rowing-lightweight-double-sculls,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_lw4x,world_rowing_championships,rowing-lightweight-quadruple-sculls,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_m1x,world_rowing_championships,rowing-single-sculls,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_m2plus,world_rowing_championships,rowing-coxed-pair,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_m2minus,world_rowing_championships,rowing-coxless-pair,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_m2x,world_rowing_championships,rowing-double-sculls,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_m4plus,world_rowing_championships,rowing-coxed-four,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_m4minus,world_rowing_championships,rowing-coxless-four,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_m4x,world_rowing_championships,rowing-quadruple-sculls,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_m8plus,world_rowing_championships,rowing-eight,men,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_w1x,world_rowing_championships,rowing-single-sculls,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_w2minus,world_rowing_championships,rowing-coxless-pair,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_w2x,world_rowing_championships,rowing-double-sculls,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_w4minus,world_rowing_championships,rowing-coxless-four,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_w4x,world_rowing_championships,rowing-quadruple-sculls,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2001_w8plus,world_rowing_championships,rowing-eight,women,podium_top3_by_boat_class,2001-12-31
world_rowing_championships_2002_lm1x,world_rowing_championships,rowing-lightweight-single-sculls,men,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lm2minus,world_rowing_championships,rowing-lightweight-coxless-pair,men,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lm2x,world_rowing_championships,rowing-lightweight-double-sculls,men,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lm4minus,world_rowing_championships,rowing-lightweight-coxless-four,men,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lm4x,world_rowing_championships,rowing-lightweight-quadruple-sculls,men,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lm8plus,world_rowing_championships,rowing-lightweight-eight,men,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_ltam4plus,world_rowing_championships,rowing-lta-coxed-four,men,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lw1x,world_rowing_championships,rowing-lightweight-single-sculls,women,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lw2minus,world_rowing_championships,rowing-lightweight-coxless-pair,women,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lw2x,world_rowing_championships,rowing-lightweight-double-sculls,women,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_lw4x,world_rowing_championships,rowing-lightweight-quadruple-sculls,women,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_m1x,world_rowing_championships,rowing-single-sculls,men,podium_top3_by_boat_class,2002-12-31
world_rowing_championships_2002_m2plus,world_rowing_championships,rowing-coxed-pair,men,podium_top3_by_boat_class,2002-12-31
