participant_id,type,display_name,country_id
athlete_Ireland_IRL,athlete,Ireland,IRL
athlete_Stefano_Basalini_ITA,athlete,Stefano Basalini,ITA
athlete_Michal_Vabrouek_CZE,athlete,Michal Vabroušek,CZE
IRL,team,Ireland,IRL
NLD,team,Netherlands,NLD
ITA,team,Italy,ITA
POL,team,Poland,POL
FRA,team,France,FRA
AUT,team,Austria,AUT
DNK,team,Denmark,DNK
GRC,team,Greece,GRC
JPN,team,Japan,JPN
USA,team,United States,USA
athlete_Mirjam_ter_Beek_NLD,athlete,Mirjam ter Beek,NLD
athlete_Pia_Vogel_CHE,athlete,Pia Vogel,CHE
GBR,team,United Kingdom,GBR
ARG,team,Argentina,ARG
DEU,team,Germany,DEU
ROU,team,Romania,ROU
AUS,team,Australia,AUS
athlete_Olaf_Tufte_NOR,athlete,Olaf Tufte,NOR
athlete_Iztok_op_SVN,athlete,Iztok Čop,SVN
athlete_Václav_Chalupa_CZE,athlete,Václav Chalupa,CZE
YUG,team,Yugoslavia,YUG
ZAF,team,South Africa,ZAF
HUN,team,Hungary,HUN
SVN,team,Slovenia,SVN
HRV,team,Croatia,HRV
athlete_Katrin_Rutschow-Stomporowski_DEU,athlete,Katrin Rutschow-Stomporowski,DEU
athlete_Yuliya_Levina_RUS,athlete,Yuliya Levina,RUS
athlete_Ekaterina_Karsten-Khodotovitch_BLR,athlete,Ekaterina Karsten-Khodotovitch,BLR
BLR,team,Belarus,BLR
CAN,team,Canada,CAN
NZL,team,New Zealand,NZL
athlete_Steve_Tucker_USA,athlete,Steve Tucker,USA
CHL,team,Chile,CHL
ESP,team,Spain,ESP
athlete_Viktoriya_Dimitrova_BGR,athlete,Viktoriya Dimitrova,BGR
athlete_Lisa_Schlenker_USA,athlete,Lisa Schlenker,USA
athlete_Teresa_Mas_De_Xaxars_ESP,athlete,Teresa Mas De Xaxars,ESP
athlete_Marcel_Hacker_DEU,athlete,Marcel Hacker,DEU
athlete_Scott_Brown_USA,athlete,Scott Brown,USA
athlete_Angela_Madsen_USA,athlete,Angela Madsen,USA
athlete_Peter_Taylor_AUS,athlete,Peter Taylor,AUS
athlete_Rumyana_Neykova_BGR,athlete,Rumyana Neykova,BGR
RUS,team,Russian Federation,RUS
CHN,team,China,CHN
athlete_Rob_Holliday_GBR,athlete,Rob Holliday,GBR
athlete_Tom_Kay_GBR,athlete,Tom Kay,GBR
athlete_Peter_Ording_DEU,athlete,Peter Ording,DEU
PRT,team,Portugal,PRT
athlete_Fiona_Milne_CAN,athlete,Fiona Milne,CAN
athlete_Mirna_Rajle_Broanac_HRV,athlete,Mirna Rajle Brođanac,HRV
athlete_Janet_Radünzel_DEU,athlete,Janet Radünzel,DEU
CZE,team,Czechia,CZE
athlete_Ronald_Harvey_USA,athlete,Ronald Harvey,USA
athlete_Stephan_Steiner_CHE,athlete,Stephan Steiner,CHE
athlete_Oleksandr_Serdiuk_UKR,athlete,Oleksandr Serdiuk,UKR
athlete_Nina_Gäßler_DEU,athlete,Nina Gäßler,DEU
athlete_Jo_Hammond_GBR,athlete,Jo Hammond,GBR
athlete_Minna_Nieminen_FIN,athlete,Minna Nieminen,FIN
athlete_Dominic_Monypenny_AUS,athlete,Dominic Monypenny,AUS
athlete_Marco_Re_Calegari_ITA,athlete,Marco Re Calegari,ITA
athlete_Vasileios_Polymeros_GRC,athlete,Vasileios Polymeros,GRC
athlete_Zac_Purchase_GBR,athlete,Zac Purchase,GBR
athlete_Fabrice_Moreau_FRA,athlete,Fabrice Moreau,FRA
BEL,team,Belgium,BEL
athlete_Marit_van_Eupen_NLD,athlete,Marit van Eupen,NLD
athlete_Bénédicte_Dorfman_FRA,athlete,Bénédicte Dorfman,FRA
athlete_Teresa_Mas_De_Xaxars_Rivero_ESP,athlete,Teresa Mas De Xaxars Rivero,ESP
FIN,team,Finland,FIN
athlete_Mahé_Drysdale_NZL,athlete,Mahé Drysdale,NZL
athlete_Ondej_Synek_CZE,athlete,Ondřej Synek,CZE
EST,team,Estonia,EST
athlete_Miroslava_Knapková_CZE,athlete,Miroslava Knapková,CZE
athlete_Michelle_Guerette_USA,athlete,Michelle Guerette,USA
BGR,team,Bulgaria,BGR
athlete_Shaun_Sewell_GBR,athlete,Shaun Sewell,GBR
athlete_Helene_Raynsford_GBR,athlete,Helene Raynsford,GBR
athlete_Patricia_Rollison_USA,athlete,Patricia Rollison,USA
athlete_Martyna_Snopek_POL,athlete,Martyna Snopek,POL
athlete_Juan_Zunzunegui_Guimerans_ESP,athlete,Juan Zunzunegui Guimerans,ESP
athlete_Duncan_Grant_NZL,athlete,Duncan Grant,NZL
athlete_Berit_Carow_DEU,athlete,Berit Carow,DEU
SCG,team,Serbia and Montenegro,SCG
UKR,team,Ukraine,UKR
athlete_Frida_Svensson_SWE,athlete,Frida Svensson,SWE
athlete_Tom_Aggar_GBR,athlete,Tom Aggar,GBR
athlete_Eli_Nawi_ISR,athlete,Eli Nawi,ISR
athlete_Cláudia_Santos_BRA,athlete,Cláudia Santos,BRA
athlete_Liudmila_Vauchok_BLR,athlete,Liudmila Vauchok,BLR
athlete_Lorenzo_Bertini_ITA,athlete,Lorenzo Bertini,ITA
athlete_Jaap_Schouten_NLD,athlete,Jaap Schouten,NLD
athlete_Jennifer_Goldsack_USA,athlete,Jennifer Goldsack,USA
athlete_Melanie_Kok_CAN,athlete,Melanie Kok,CAN
SRB,team,Serbia,SRB
BRA,team,Brazil,BRA
athlete_Ilias_Pappas_GRC,athlete,Ilias Pappas,GRC
athlete_Pamela_Weisshaupt_CHE,athlete,Pamela Weisshaupt,CHE
athlete_Mirna_Rajle_Brodanac_HRV,athlete,Mirna Rajle Brodanac,HRV
athlete_Andrii_Kryvchun_UKR,athlete,Andrii Kryvchun,UKR
athlete_Benjamin_Houlison_AUS,athlete,Benjamin Houlison,AUS
athlete_Alla_Lysenko_UKR,athlete,Alla Lysenko,UKR
athlete_Nathalie_Benoit_FRA,athlete,Nathalie Benoit,FRA
athlete_Mads_Rasmussen_DNK,athlete,Mads Rasmussen,DNK
athlete_Laura_Milani_ITA,athlete,Laura Milani,ITA
athlete_Juliane_Rasmussen_DNK,athlete,Juliane Rasmussen,DNK
athlete_Alan_Campbell_GBR,athlete,Alan Campbell,GBR
athlete_Ekaterina_Karsten_BLR,athlete,Ekaterina Karsten,BLR
athlete_Katherine_Grainger_GBR,athlete,Katherine Grainger,GBR
athlete_Daniel_McBride_NZL,athlete,Daniel McBride,NZL
athlete_Filomena_Franco_PRT,athlete,Filomena Franco,PRT
HKG,team,Hong Kong,HKG
athlete_Marcello_Miani_ITA,athlete,Marcello Miani,ITA
athlete_Luká_Baba_SVK,athlete,Lukáš Babač,SVK
athlete_Péter_Galambos_HUN,athlete,Péter Galambos,HUN
athlete_Marie-Louise_Dräger_DEU,athlete,Marie-Louise Dräger,DEU
athlete_Louise_Ayling_NZL,athlete,Louise Ayling,NZL
athlete_Emma_Twigg_NZL,athlete,Emma Twigg,NZL
athlete_Alexey_Chuvashev_RUS,athlete,Alexey Chuvashev,RUS
athlete_Erik_Horrie_AUS,athlete,Erik Horrie,AUS
athlete_Moran_Samuel_ISR,athlete,Moran Samuel,ISR
athlete_Henrik_Stephansen_DNK,athlete,Henrik Stephansen,DNK
athlete_Pietro_Ruta_ITA,athlete,Pietro Ruta,ITA
athlete_Fabiana_Beltrame_BRA,athlete,Fabiana Beltrame,BRA
athlete_Lena_Müller_DEU,athlete,Lena Müller,DEU
athlete_Andrew_Campbell_Jr_USA,athlete,Andrew Campbell Jr,USA
athlete_Alexandra_Tsiavou_GRC,athlete,Alexandra Tsiavou,GRC
athlete_Michaela_Taupe-Traer_AUT,athlete,Michaela Taupe-Traer,AUT
