event_id,participant_id,rank,medal,score_raw,points_awarded
world_rowing_championships_2001_lm1x,athlete_Ireland_IRL,1,gold,discipline_key=LM1x;event_name=LM1x;country=IRL;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
world_rowing_championships_2001_lm1x,athlete_Michal_Vabrouek_CZE,3,bronze,discipline_key=LM1x;event_name=LM1x;country=CZE;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,1.0
world_rowing_championships_2001_lm1x,athlete_Stefano_Basalini_ITA,2,silver,discipline_key=LM1x;event_name=LM1x;country=ITA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,2.0
world_rowing_championships_2001_lm2minus,IRL,1,gold,discipline_key=LM2-;event_name=LM2-;country=IRL;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
world_rowing_championships_2001_lm2minus,ITA,3,bronze,discipline_key=LM2-;event_name=LM2-;country=ITA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,1.0
world_rowing_championships_2001_lm2minus,NLD,2,silver,discipline_key=LM2-;event_name=LM2-;country=NLD;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,2.0
world_rowing_championships_2001_lm2x,FRA,3,bronze,discipline_key=LM2x;event_name=LM2x;country=FRA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,1.0
world_rowing_championships_2001_lm2x,ITA,1,gold,discipline_key=LM2x;event_name=LM2x;country=ITA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
world_rowing_championships_2001_lm2x,POL,2,silver,discipline_key=LM2x;event_name=LM2x;country=POL;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,2.0
world_rowing_championships_2001_lm4minus,AUT,1,gold,discipline_key=LM4-;event_name=LM4-;country=AUT;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
world_rowing_championships_2001_lm4minus,DNK,2,silver,discipline_key=LM4-;event_name=LM4-;country=DNK;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,2.0
world_rowing_championships_2001_lm4minus,FRA,3,bronze,discipline_key=LM4-;event_name=LM4-;country=FRA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,1.0
world_rowing_championships_2001_lm4x,GRC,2,silver,discipline_key=LM4x;event_name=LM4x;country=GRC;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,2.0
world_rowing_championships_2001_lm4x,ITA,1,gold,discipline_key=LM4x;event_name=LM4x;country=ITA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
world_rowing_championships_2001_lm4x,JPN,3,bronze,discipline_key=LM4x;event_name=LM4x;country=JPN;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,1.0
world_rowing_championships_2001_lm8plus,DNK,2,silver,discipline_key=LM8+;event_name=LM8+;country=DNK;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,2.0
world_rowing_championships_2001_lm8plus,FRA,1,gold,discipline_key=LM8+;event_name=LM8+;country=FRA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
world_rowing_championships_2001_lm8plus,USA,3,bronze,discipline_key=LM8+;event_name=LM8+;country=USA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,1.0
world_rowing_championships_2001_lw1x,athlete_Ireland_IRL,1,gold,discipline_key=LW1x;event_name=LW1x;country=IRL;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
world_rowing_championships_2001_lw1x,athlete_Mirjam_ter_Beek_NLD,2,silver,discipline_key=LW1x;event_name=LW1x;country=NLD;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,2.0
world_rowing_championships_2001_lw1x,athlete_Pia_Vogel_CHE,3,bronze,discipline_key=LW1x;event_name=LW1x;country=CHE;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,1.0
world_rowing_championships_2001_lw2minus,ARG,3,bronze,discipline_key=LW2-;event_name=LW2-;country=ARG;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,1.0
world_rowing_championships_2001_lw2minus,GBR,1,gold,discipline_key=LW2-;event_name=LW2-;country=GBR;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
world_rowing_championships_2001_lw2minus,USA,2,silver,discipline_key=LW2-;event_name=LW2-;country=USA;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,2.0
world_rowing_championships_2001_lw2x,DEU,1,gold,discipline_key=LW2x;event_name=LW2x;country=DEU;source_url=https://en.wikipedia.org/wiki/2001_World_Rowing_Championships,3.0
