event_id,competition_id,discipline_id,gender,event_class,event_date
world_rugby_men_ranking_03,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2003-11-24
world_rugby_men_ranking_04,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2004-12-06
world_rugby_men_ranking_05,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2005-12-05
world_rugby_men_ranking_06,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2006-11-27
world_rugby_men_ranking_07,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2007-12-03
world_rugby_men_ranking_08,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2008-12-08
world_rugby_men_ranking_09,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2009-12-21
world_rugby_men_ranking_10,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2010-12-13
world_rugby_men_ranking_11,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2011-12-19
world_rugby_men_ranking_12,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2012-12-17
world_rugby_men_ranking_13,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2013-12-23
world_rugby_men_ranking_14,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2014-12-15
world_rugby_men_ranking_15,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2015-12-14
world_rugby_men_ranking_16,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2016-12-26
world_rugby_men_ranking_17,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2017-02-20
world_rugby_men_ranking_20,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2020-12-28
world_rugby_men_ranking_21,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2021-12-27
world_rugby_men_ranking_22,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2022-12-26
world_rugby_men_ranking_23,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2023-12-25
world_rugby_men_ranking_24,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2024-12-30
world_rugby_men_ranking_25,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2025-12-29
world_rugby_men_ranking_26,world_rugby_men_ranking,world-rugby-men-ranking,men,ranking_release_top10,2026-02-16
world_rugby_women_ranking_16,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2016-12-26
world_rugby_women_ranking_17,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2017-12-25
world_rugby_women_ranking_18,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2018-12-31
world_rugby_women_ranking_19,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2019-12-30
world_rugby_women_ranking_20,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2020-12-28
world_rugby_women_ranking_21,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2021-12-27
world_rugby_women_ranking_22,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2022-12-26
world_rugby_women_ranking_23,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2023-12-25
world_rugby_women_ranking_24,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2024-12-30
world_rugby_women_ranking_25,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2025-12-29
world_rugby_women_ranking_26,world_rugby_women_ranking,world-rugby-women-ranking,women,ranking_release_top10,2026-02-16
