event_id,participant_id,rank,medal,score_raw,points_awarded
world_rugby_men_ranking_03,ENG,1,gold,world_rugby_points=93.99,93.99
world_rugby_men_ranking_03,NZL,2,silver,world_rugby_points=90.12,90.12
world_rugby_men_ranking_03,AUS,3,bronze,world_rugby_points=86.58,86.58
world_rugby_men_ranking_03,FRA,4,,world_rugby_points=82.71,82.71
world_rugby_men_ranking_03,ZAF,5,,world_rugby_points=81.23,81.23
world_rugby_men_ranking_03,IRL,6,,world_rugby_points=80.53,80.53
world_rugby_men_ranking_03,ARG,7,,world_rugby_points=78.02,78.02
world_rugby_men_ranking_03,WAL,8,,world_rugby_points=76.92,76.92
world_rugby_men_ranking_03,SCO,9,,world_rugby_points=76.36,76.36
world_rugby_men_ranking_03,WSM,10,,world_rugby_points=73.46,73.46
world_rugby_men_ranking_04,NZL,1,gold,world_rugby_points=90.9,90.9
world_rugby_men_ranking_04,AUS,2,silver,world_rugby_points=88.58,88.58
world_rugby_men_ranking_04,ENG,3,bronze,world_rugby_points=86.59,86.59
world_rugby_men_ranking_04,ZAF,4,,world_rugby_points=85.78,85.78
world_rugby_men_ranking_04,FRA,5,,world_rugby_points=83.7,83.7
world_rugby_men_ranking_04,IRL,6,,world_rugby_points=82.61,82.61
world_rugby_men_ranking_04,ARG,7,,world_rugby_points=77.63,77.63
world_rugby_men_ranking_04,WAL,8,,world_rugby_points=76.91,76.91
world_rugby_men_ranking_04,SCO,9,,world_rugby_points=74.65,74.65
world_rugby_men_ranking_04,FJI,10,,world_rugby_points=73.27,73.27
world_rugby_men_ranking_05,NZL,1,gold,world_rugby_points=93.32,93.32
world_rugby_men_ranking_05,ZAF,2,silver,world_rugby_points=88.76,88.76
world_rugby_men_ranking_05,FRA,3,bronze,world_rugby_points=86.1,86.1
world_rugby_men_ranking_05,AUS,4,,world_rugby_points=83.93,83.93
world_rugby_men_ranking_05,ENG,5,,world_rugby_points=83.27,83.27
world_rugby_men_ranking_05,WAL,6,,world_rugby_points=82.54,82.54
world_rugby_men_ranking_05,IRL,7,,world_rugby_points=80.03,80.03
world_rugby_men_ranking_05,ARG,8,,world_rugby_points=74.26,74.26
world_rugby_men_ranking_05,WSM,9,,world_rugby_points=74.17,74.17
world_rugby_men_ranking_05,SCO,10,,world_rugby_points=73.52,73.52
world_rugby_men_ranking_06,NZL,1,gold,world_rugby_points=94.59,94.59
world_rugby_men_ranking_06,FRA,2,silver,world_rugby_points=85.87,85.87
world_rugby_men_ranking_06,AUS,3,bronze,world_rugby_points=85.5,85.5
world_rugby_men_ranking_06,ZAF,4,,world_rugby_points=84.69,84.69
world_rugby_men_ranking_06,IRL,5,,world_rugby_points=84.67,84.67
world_rugby_men_ranking_06,ARG,6,,world_rugby_points=79.07,79.07
world_rugby_men_ranking_06,ENG,7,,world_rugby_points=78.61,78.61
world_rugby_men_ranking_06,WAL,8,,world_rugby_points=76.87,76.87
world_rugby_men_ranking_06,SCO,9,,world_rugby_points=76.73,76.73
world_rugby_men_ranking_06,WSM,10,,world_rugby_points=73.72,73.72
world_rugby_men_ranking_07,ZAF,1,gold,world_rugby_points=90.82,90.82
world_rugby_men_ranking_07,NZL,2,silver,world_rugby_points=89.61,89.61
world_rugby_men_ranking_07,ARG,3,bronze,world_rugby_points=87.45,87.45
world_rugby_men_ranking_07,ENG,4,,world_rugby_points=85.57,85.57
world_rugby_men_ranking_07,AUS,5,,world_rugby_points=84.2,84.2
world_rugby_men_ranking_07,FRA,6,,world_rugby_points=80.36,80.36
world_rugby_men_ranking_07,IRL,7,,world_rugby_points=78.67,78.67
world_rugby_men_ranking_07,SCO,8,,world_rugby_points=76.7,76.7
world_rugby_men_ranking_07,FJI,9,,world_rugby_points=75.88,75.88
world_rugby_men_ranking_07,WAL,10,,world_rugby_points=74.17,74.17
world_rugby_men_ranking_08,NZL,1,gold,world_rugby_points=92.7,92.7
world_rugby_men_ranking_08,ZAF,2,silver,world_rugby_points=89.46,89.46
world_rugby_men_ranking_08,AUS,3,bronze,world_rugby_points=85.87,85.87
world_rugby_men_ranking_08,ARG,4,,world_rugby_points=81.58,81.58
world_rugby_men_ranking_08,WAL,5,,world_rugby_points=81.03,81.03
world_rugby_men_ranking_08,ENG,6,,world_rugby_points=80.87,80.87
world_rugby_men_ranking_08,FRA,7,,world_rugby_points=79.51,79.51
world_rugby_men_ranking_08,IRL,8,,world_rugby_points=78.51,78.51
world_rugby_men_ranking_08,SCO,9,,world_rugby_points=76.75,76.75
world_rugby_men_ranking_08,FJI,10,,world_rugby_points=75.24,75.24
world_rugby_men_ranking_09,NZL,1,gold,world_rugby_points=91.68,91.68
world_rugby_men_ranking_09,ZAF,2,silver,world_rugby_points=88.6,88.6
world_rugby_men_ranking_09,AUS,3,bronze,world_rugby_points=85.56,85.56
world_rugby_men_ranking_09,IRL,4,,world_rugby_points=84.6,84.6
world_rugby_men_ranking_09,FRA,5,,world_rugby_points=82.41,82.41
world_rugby_men_ranking_09,ENG,6,,world_rugby_points=80.72,80.72
world_rugby_men_ranking_09,ARG,7,,world_rugby_points=80.56,80.56
world_rugby_men_ranking_09,WAL,8,,world_rugby_points=79.89,79.89
world_rugby_men_ranking_09,SCO,9,,world_rugby_points=76.59,76.59
world_rugby_men_ranking_09,FJI,10,,world_rugby_points=75.9,75.9
world_rugby_men_ranking_10,NZL,1,gold,world_rugby_points=93.19,93.19
world_rugby_men_ranking_10,AUS,2,silver,world_rugby_points=87.45,87.45
world_rugby_men_ranking_10,ZAF,3,bronze,world_rugby_points=86.44,86.44
world_rugby_men_ranking_10,ENG,4,,world_rugby_points=82.48,82.48
world_rugby_men_ranking_10,IRL,5,,world_rugby_points=81.79,81.79
world_rugby_men_ranking_10,FRA,6,,world_rugby_points=81.66,81.66
world_rugby_men_ranking_10,SCO,7,,world_rugby_points=81.2,81.2
world_rugby_men_ranking_10,ARG,8,,world_rugby_points=78.97,78.97
world_rugby_men_ranking_10,WAL,9,,world_rugby_points=77.04,77.04
world_rugby_men_ranking_10,FJI,10,,world_rugby_points=74.05,74.05
world_rugby_men_ranking_11,NZL,1,gold,world_rugby_points=91.43,91.43
world_rugby_men_ranking_11,AUS,2,silver,world_rugby_points=87.99,87.99
world_rugby_men_ranking_11,FRA,3,bronze,world_rugby_points=84.7,84.7
world_rugby_men_ranking_11,ZAF,4,,world_rugby_points=84.34,84.34
world_rugby_men_ranking_11,ENG,5,,world_rugby_points=81.58,81.58
world_rugby_men_ranking_11,IRL,6,,world_rugby_points=80.65,80.65
world_rugby_men_ranking_11,ARG,7,,world_rugby_points=80.28,80.28
world_rugby_men_ranking_11,WAL,8,,world_rugby_points=79.61,79.61
world_rugby_men_ranking_11,TON,9,,world_rugby_points=76.63,76.63
world_rugby_men_ranking_11,SCO,10,,world_rugby_points=76.2,76.2
world_rugby_men_ranking_12,NZL,1,gold,world_rugby_points=90.08,90.08
world_rugby_men_ranking_12,ZAF,2,silver,world_rugby_points=86.94,86.94
world_rugby_men_ranking_12,AUS,3,bronze,world_rugby_points=86.87,86.87
world_rugby_men_ranking_12,FRA,4,,world_rugby_points=85.07,85.07
world_rugby_men_ranking_12,ENG,5,,world_rugby_points=83.9,83.9
world_rugby_men_ranking_12,IRL,6,,world_rugby_points=80.22,80.22
world_rugby_men_ranking_12,ARG,7,,world_rugby_points=78.71,78.71
world_rugby_men_ranking_12,WSM,8,,world_rugby_points=78.71,78.71
world_rugby_men_ranking_12,WAL,9,,world_rugby_points=78.39,78.39
world_rugby_men_ranking_12,ITA,10,,world_rugby_points=76.24,76.24
world_rugby_men_ranking_13,NZL,1,gold,world_rugby_points=93.81,93.81
world_rugby_men_ranking_13,ZAF,2,silver,world_rugby_points=89.34,89.34
world_rugby_men_ranking_13,AUS,3,bronze,world_rugby_points=86.88,86.88
world_rugby_men_ranking_13,ENG,4,,world_rugby_points=85.7,85.7
world_rugby_men_ranking_13,FRA,5,,world_rugby_points=80.87,80.87
world_rugby_men_ranking_13,WAL,6,,world_rugby_points=80.19,80.19
world_rugby_men_ranking_13,IRL,7,,world_rugby_points=79.33,79.33
world_rugby_men_ranking_13,WSM,8,,world_rugby_points=77.34,77.34
world_rugby_men_ranking_13,SCO,9,,world_rugby_points=76.56,76.56
world_rugby_men_ranking_13,ARG,10,,world_rugby_points=76.44,76.44
world_rugby_men_ranking_14,NZL,1,gold,world_rugby_points=93.7,93.7
world_rugby_men_ranking_14,ZAF,2,silver,world_rugby_points=88.23,88.23
world_rugby_men_ranking_14,IRL,3,bronze,world_rugby_points=85.48,85.48
world_rugby_men_ranking_14,ENG,4,,world_rugby_points=84.85,84.85
world_rugby_men_ranking_14,AUS,5,,world_rugby_points=82.95,82.95
world_rugby_men_ranking_14,WAL,6,,world_rugby_points=81.64,81.64
world_rugby_men_ranking_14,FRA,7,,world_rugby_points=79.66,79.66
world_rugby_men_ranking_14,SCO,8,,world_rugby_points=78.78,78.78
world_rugby_men_ranking_14,ARG,9,,world_rugby_points=78.23,78.23
world_rugby_men_ranking_14,WSM,10,,world_rugby_points=75.39,75.39
world_rugby_men_ranking_15,NZL,1,gold,world_rugby_points=96.1,96.1
world_rugby_men_ranking_15,AUS,2,silver,world_rugby_points=89.33,89.33
world_rugby_men_ranking_15,ZAF,3,bronze,world_rugby_points=87.66,87.66
world_rugby_men_ranking_15,WAL,4,,world_rugby_points=83.49,83.49
world_rugby_men_ranking_15,ARG,5,,world_rugby_points=82.59,82.59
world_rugby_men_ranking_15,IRL,6,,world_rugby_points=81.17,81.17
world_rugby_men_ranking_15,ENG,7,,world_rugby_points=79.77,79.77
world_rugby_men_ranking_15,FRA,8,,world_rugby_points=79.77,79.77
world_rugby_men_ranking_15,SCO,9,,world_rugby_points=77.94,77.94
world_rugby_men_ranking_15,JPN,10,,world_rugby_points=77.05,77.05
world_rugby_men_ranking_16,NZL,1,gold,world_rugby_points=94.78,94.78
world_rugby_men_ranking_16,ENG,2,silver,world_rugby_points=90.46,90.46
world_rugby_men_ranking_16,AUS,3,bronze,world_rugby_points=86.35,86.35
world_rugby_men_ranking_16,IRL,4,,world_rugby_points=84.62,84.62
world_rugby_men_ranking_16,WAL,5,,world_rugby_points=82.55,82.55
world_rugby_men_ranking_16,ZAF,6,,world_rugby_points=81.79,81.79
world_rugby_men_ranking_16,SCO,7,,world_rugby_points=80.67,80.67
world_rugby_men_ranking_16,FRA,8,,world_rugby_points=80.13,80.13
world_rugby_men_ranking_16,ARG,9,,world_rugby_points=79.91,79.91
world_rugby_men_ranking_16,FJI,10,,world_rugby_points=76.46,76.46
world_rugby_men_ranking_17,NZL,1,gold,world_rugby_points=94.78,94.78
world_rugby_men_ranking_17,ENG,2,silver,world_rugby_points=91.02,91.02
world_rugby_men_ranking_17,AUS,3,bronze,world_rugby_points=86.35,86.35
world_rugby_men_ranking_17,IRL,4,,world_rugby_points=83.75,83.75
world_rugby_men_ranking_17,WAL,5,,world_rugby_points=82.44,82.44
world_rugby_men_ranking_17,ZAF,6,,world_rugby_points=81.79,81.79
world_rugby_men_ranking_17,FRA,7,,world_rugby_points=80.99,80.99
world_rugby_men_ranking_17,SCO,8,,world_rugby_points=80.9,80.9
world_rugby_men_ranking_17,ARG,9,,world_rugby_points=79.91,79.91
world_rugby_men_ranking_17,FJI,10,,world_rugby_points=76.46,76.46
world_rugby_men_ranking_20,ZAF,1,gold,world_rugby_points=94.19552411380744,94.19552411380744
world_rugby_men_ranking_20,ENG,2,silver,world_rugby_points=89.4870925203653,89.4870925203653
world_rugby_men_ranking_20,NZL,3,bronze,world_rugby_points=88.95117451813175,88.95117451813175
world_rugby_men_ranking_20,FRA,4,,world_rugby_points=85.30402572376639,85.30402572376639
world_rugby_men_ranking_20,IRL,5,,world_rugby_points=84.65066173701928,84.65066173701928
world_rugby_men_ranking_20,AUS,6,,world_rugby_points=83.07919186732138,83.07919186732138
world_rugby_men_ranking_20,SCO,7,,world_rugby_points=80.81608009108159,80.81608009108159
world_rugby_men_ranking_20,ARG,8,,world_rugby_points=80.30508585222823,80.30508585222823
world_rugby_men_ranking_20,WAL,9,,world_rugby_points=79.36356687892018,79.36356687892018
world_rugby_men_ranking_20,JPN,10,,world_rugby_points=79.28814880867652,79.28814880867652
world_rugby_men_ranking_21,ZAF,1,gold,world_rugby_points=90.6061491382187,90.6061491382187
world_rugby_men_ranking_21,NZL,2,silver,world_rugby_points=88.74670660004855,88.74670660004855
world_rugby_men_ranking_21,ENG,3,bronze,world_rugby_points=87.83493189995278,87.83493189995278
world_rugby_men_ranking_21,IRL,4,,world_rugby_points=86.52960483571194,86.52960483571194
world_rugby_men_ranking_21,FRA,5,,world_rugby_points=85.52721444250692,85.52721444250692
world_rugby_men_ranking_21,AUS,6,,world_rugby_points=83.91665626109685,83.91665626109685
world_rugby_men_ranking_21,SCO,7,,world_rugby_points=83.05443865526541,83.05443865526541
world_rugby_men_ranking_21,WAL,8,,world_rugby_points=81.56063515825288,81.56063515825288
world_rugby_men_ranking_21,ARG,9,,world_rugby_points=80.58022914792298,80.58022914792298
world_rugby_men_ranking_21,JPN,10,,world_rugby_points=78.26146332912076,78.26146332912076
world_rugby_men_ranking_22,IRL,1,gold,world_rugby_points=90.62804122667698,90.62804122667698
world_rugby_men_ranking_22,FRA,2,silver,world_rugby_points=90.00591294387475,90.00591294387475
world_rugby_men_ranking_22,NZL,3,bronze,world_rugby_points=88.97597071875435,88.97597071875435
world_rugby_men_ranking_22,ZAF,4,,world_rugby_points=88.96917494835505,88.96917494835505
world_rugby_men_ranking_22,ENG,5,,world_rugby_points=83.6559289025483,83.6559289025483
world_rugby_men_ranking_22,AUS,6,,world_rugby_points=81.80232191538335,81.80232191538335
world_rugby_men_ranking_22,SCO,7,,world_rugby_points=81.55200885402107,81.55200885402107
world_rugby_men_ranking_22,ARG,8,,world_rugby_points=80.71753959349684,80.71753959349684
world_rugby_men_ranking_22,WAL,9,,world_rugby_points=78.09406817448142,78.09406817448142
world_rugby_men_ranking_22,JPN,10,,world_rugby_points=77.39376631704329,77.39376631704329
world_rugby_men_ranking_23,ZAF,1,gold,world_rugby_points=94.54079384845836,94.54079384845836
world_rugby_men_ranking_23,IRL,2,silver,world_rugby_points=90.57071554542748,90.57071554542748
world_rugby_men_ranking_23,NZL,3,bronze,world_rugby_points=89.80407167219418,89.80407167219418
world_rugby_men_ranking_23,FRA,4,,world_rugby_points=87.81117023957685,87.81117023957685
world_rugby_men_ranking_23,ENG,5,,world_rugby_points=85.45761900222307,85.45761900222307
world_rugby_men_ranking_23,SCO,6,,world_rugby_points=83.42593285818039,83.42593285818039
world_rugby_men_ranking_23,ARG,7,,world_rugby_points=80.6813542010344,80.6813542010344
world_rugby_men_ranking_23,WAL,8,,world_rugby_points=80.64169686544395,80.64169686544395
world_rugby_men_ranking_23,AUS,9,,world_rugby_points=77.47503631683716,77.47503631683716
world_rugby_men_ranking_23,FJI,10,,world_rugby_points=76.37933814589064,76.37933814589064
world_rugby_men_ranking_24,ZAF,1,gold,world_rugby_points=92.77735168266908,92.77735168266908
world_rugby_men_ranking_24,IRL,2,silver,world_rugby_points=90.77937580475005,90.77937580475005
world_rugby_men_ranking_24,NZL,3,bronze,world_rugby_points=90.3629190148714,90.3629190148714
world_rugby_men_ranking_24,FRA,4,,world_rugby_points=88.512701166648,88.512701166648
world_rugby_men_ranking_24,ARG,5,,world_rugby_points=84.96550454696622,84.96550454696622
world_rugby_men_ranking_24,SCO,6,,world_rugby_points=83.34401327622288,83.34401327622288
world_rugby_men_ranking_24,ENG,7,,world_rugby_points=82.30584328966756,82.30584328966756
world_rugby_men_ranking_24,AUS,8,,world_rugby_points=81.52401718534034,81.52401718534034
world_rugby_men_ranking_24,FJI,9,,world_rugby_points=80.06968699911889,80.06968699911889
world_rugby_men_ranking_24,ITA,10,,world_rugby_points=78.64273318866208,78.64273318866208
world_rugby_men_ranking_25,ZAF,1,gold,world_rugby_points=93.94110080257116,93.94110080257116
world_rugby_men_ranking_25,NZL,2,silver,world_rugby_points=90.3251602439559,90.3251602439559
world_rugby_men_ranking_25,ENG,3,bronze,world_rugby_points=89.40925368207189,89.40925368207189
world_rugby_men_ranking_25,IRL,4,,world_rugby_points=87.96792936230135,87.96792936230135
world_rugby_men_ranking_25,FRA,5,,world_rugby_points=87.23511637973905,87.23511637973905
world_rugby_men_ranking_25,ARG,6,,world_rugby_points=84.9744656872118,84.9744656872118
world_rugby_men_ranking_25,AUS,7,,world_rugby_points=81.52744958045409,81.52744958045409
world_rugby_men_ranking_25,FJI,8,,world_rugby_points=81.13528811390982,81.13528811390982
world_rugby_men_ranking_25,SCO,9,,world_rugby_points=80.22148014738157,80.22148014738157
world_rugby_men_ranking_25,ITA,10,,world_rugby_points=78.98464454738225,78.98464454738225
world_rugby_men_ranking_26,ZAF,1,gold,world_rugby_points=93.94110080257116,93.94110080257116
world_rugby_men_ranking_26,NZL,2,silver,world_rugby_points=90.3251602439559,90.3251602439559
world_rugby_men_ranking_26,FRA,3,bronze,world_rugby_points=88.39503832712339,88.39503832712339
world_rugby_men_ranking_26,ENG,4,,world_rugby_points=87.70810797260286,87.70810797260286
world_rugby_men_ranking_26,IRL,5,,world_rugby_points=86.80803948416352,86.80803948416352
world_rugby_men_ranking_26,ARG,6,,world_rugby_points=84.9744656872118,84.9744656872118
world_rugby_men_ranking_26,AUS,7,,world_rugby_points=81.52744958045409,81.52744958045409
world_rugby_men_ranking_26,FJI,8,,world_rugby_points=81.13528811390982,81.13528811390982
world_rugby_men_ranking_26,SCO,9,,world_rugby_points=81.09894229685067,81.09894229685067
world_rugby_men_ranking_26,ITA,10,,world_rugby_points=79.80829603813565,79.80829603813565
