event_id,competition_id,discipline_id,gender,event_class,event_date
world_sailing_championships_2003_470_men,world_sailing_championships,sailing-470,men,podium_top3_class,2003-12-31
world_sailing_championships_2003_470_women,world_sailing_championships,sailing-470,women,podium_top3_class,2003-12-31
world_sailing_championships_2003_49er_men,world_sailing_championships,sailing-49er,men,podium_top3_class,2003-12-31
world_sailing_championships_2003_europe_women,world_sailing_championships,sailing-europe,women,podium_top3_class,2003-12-31
world_sailing_championships_2003_finn_men,world_sailing_championships,sailing-finn,men,podium_top3_class,2003-12-31
world_sailing_championships_2003_laser_men,world_sailing_championships,sailing-laser,men,podium_top3_class,2003-12-31
world_sailing_championships_2003_mistral_men,world_sailing_championships,sailing-mistral,men,podium_top3_class,2003-12-31
world_sailing_championships_2003_mistral_women,world_sailing_championships,sailing-mistral,women,podium_top3_class,2003-12-31
world_sailing_championships_2003_star_men,world_sailing_championships,sailing-star,men,podium_top3_class,2003-12-31
world_sailing_championships_2003_tornado_mixed,world_sailing_championships,sailing-tornado,mixed,podium_top3_class,2003-12-31
world_sailing_championships_2003_yngling_women,world_sailing_championships,sailing-yngling,women,podium_top3_class,2003-12-31
world_sailing_championships_2007_470_men,world_sailing_championships,sailing-470,men,podium_top3_class,2007-12-31
world_sailing_championships_2007_470_women,world_sailing_championships,sailing-470,women,podium_top3_class,2007-12-31
world_sailing_championships_2007_49er_men,world_sailing_championships,sailing-49er,men,podium_top3_class,2007-12-31
world_sailing_championships_2007_finn_men,world_sailing_championships,sailing-finn,men,podium_top3_class,2007-12-31
world_sailing_championships_2007_laser_men,world_sailing_championships,sailing-laser,men,podium_top3_class,2007-12-31
world_sailing_championships_2007_laser-radial_women,world_sailing_championships,sailing-laser-radial,women,podium_top3_class,2007-12-31
world_sailing_championships_2007_rsx_men,world_sailing_championships,sailing-rsx,men,podium_top3_class,2007-12-31
world_sailing_championships_2007_rsx_women,world_sailing_championships,sailing-rsx,women,podium_top3_class,2007-12-31
world_sailing_championships_2007_star_men,world_sailing_championships,sailing-star,men,podium_top3_class,2007-12-31
world_sailing_championships_2007_tornado_mixed,world_sailing_championships,sailing-tornado,mixed,podium_top3_class,2007-12-31
world_sailing_championships_2007_yngling_women,world_sailing_championships,sailing-yngling,women,podium_top3_class,2007-12-31
world_sailing_championships_2011_470_men,world_sailing_championships,sailing-470,men,podium_top3_class,2011-12-31
world_sailing_championships_2011_470_women,world_sailing_championships,sailing-470,women,podium_top3_class,2011-12-31
world_sailing_championships_2011_49er_men,world_sailing_championships,sailing-49er,men,podium_top3_class,2011-12-31
world_sailing_championships_2011_elliott-6m_women,world_sailing_championships,sailing-elliott-6m,women,podium_top3_class,2011-12-31
world_sailing_championships_2011_finn_men,world_sailing_championships,sailing-finn,men,podium_top3_class,2011-12-31
world_sailing_championships_2011_laser_men,world_sailing_championships,sailing-laser,men,podium_top3_class,2011-12-31
world_sailing_championships_2011_laser-radial_women,world_sailing_championships,sailing-laser-radial,women,podium_top3_class,2011-12-31
world_sailing_championships_2011_rsx_men,world_sailing_championships,sailing-rsx,men,podium_top3_class,2011-12-31
world_sailing_championships_2011_rsx_women,world_sailing_championships,sailing-rsx,women,podium_top3_class,2011-12-31
world_sailing_championships_2011_star_men,world_sailing_championships,sailing-star,men,podium_top3_class,2011-12-31
world_sailing_championships_2014_470_men,world_sailing_championships,sailing-470,men,podium_top3_class,2014-12-31
world_sailing_championships_2014_470_women,world_sailing_championships,sailing-470,women,podium_top3_class,2014-12-31
world_sailing_championships_2014_49er_men,world_sailing_championships,sailing-49er,men,podium_top3_class,2014-12-31
world_sailing_championships_2014_49er-fx_women,world_sailing_championships,sailing-49er-fx,women,podium_top3_class,2014-12-31
world_sailing_championships_2014_finn_men,world_sailing_championships,sailing-finn,men,podium_top3_class,2014-12-31
world_sailing_championships_2014_laser_men,world_sailing_championships,sailing-laser,men,podium_top3_class,2014-12-31
world_sailing_championships_2014_laser-radial_women,world_sailing_championships,sailing-laser-radial,women,podium_top3_class,2014-12-31
world_sailing_championships_2014_nacra-17_mixed,world_sailing_championships,sailing-nacra-17,mixed,podium_top3_class,2014-12-31
world_sailing_championships_2014_rsx_men,world_sailing_championships,sailing-rsx,men,podium_top3_class,2014-12-31
world_sailing_championships_2014_rsx_women,world_sailing_championships,sailing-rsx,women,podium_top3_class,2014-12-31
world_sailing_championships_2018_470_men,world_sailing_championships,sailing-470,men,podium_top3_class,2018-12-31
world_sailing_championships_2018_470_women,world_sailing_championships,sailing-470,women,podium_top3_class,2018-12-31
world_sailing_championships_2018_49er_men,world_sailing_championships,sailing-49er,men,podium_top3_class,2018-12-31
world_sailing_championships_2018_49er-fx_women,world_sailing_championships,sailing-49er-fx,women,podium_top3_class,2018-12-31
world_sailing_championships_2018_finn_men,world_sailing_championships,sailing-finn,men,podium_top3_class,2018-12-31
world_sailing_championships_2018_formula-kite_men,world_sailing_championships,sailing-formula-kite,men,podium_top3_class,2018-12-31
world_sailing_championships_2018_formula-kite_women,world_sailing_championships,sailing-formula-kite,women,podium_top3_class,2018-12-31
world_sailing_championships_2018_laser_men,world_sailing_championships,sailing-laser,men,podium_top3_class,2018-12-31
world_sailing_championships_2018_laser-radial_women,world_sailing_championships,sailing-laser-radial,women,podium_top3_class,2018-12-31
world_sailing_championships_2018_nacra-17_mixed,world_sailing_championships,sailing-nacra-17,mixed,podium_top3_class,2018-12-31
world_sailing_championships_2018_rsx_men,world_sailing_championships,sailing-rsx,men,podium_top3_class,2018-12-31
world_sailing_championships_2018_rsx_women,world_sailing_championships,sailing-rsx,women,podium_top3_class,2018-12-31
world_sailing_championships_2023_2-4-metre_mixed,world_sailing_championships,sailing-2-4-metre,mixed,podium_top3_class,2023-12-31
world_sailing_championships_2023_470_mixed,world_sailing_championships,sailing-470,mixed,podium_top3_class,2023-12-31
world_sailing_championships_2023_49er_men,world_sailing_championships,sailing-49er,men,podium_top3_class,2023-12-31
world_sailing_championships_2023_49er-fx_women,world_sailing_championships,sailing-49er-fx,women,podium_top3_class,2023-12-31
world_sailing_championships_2023_formula-kite_men,world_sailing_championships,sailing-formula-kite,men,podium_top3_class,2023-12-31
world_sailing_championships_2023_formula-kite_women,world_sailing_championships,sailing-formula-kite,women,podium_top3_class,2023-12-31
world_sailing_championships_2023_hansa-303_men,world_sailing_championships,sailing-hansa-303,men,podium_top3_class,2023-12-31
world_sailing_championships_2023_hansa-303_women,world_sailing_championships,sailing-hansa-303,women,podium_top3_class,2023-12-31
world_sailing_championships_2023_ilca-6_women,world_sailing_championships,sailing-ilca-6,women,podium_top3_class,2023-12-31
world_sailing_championships_2023_ilca-7_men,world_sailing_championships,sailing-ilca-7,men,podium_top3_class,2023-12-31
world_sailing_championships_2023_iqfoil_men,world_sailing_championships,sailing-iqfoil,men,podium_top3_class,2023-12-31
world_sailing_championships_2023_iqfoil_women,world_sailing_championships,sailing-iqfoil,women,podium_top3_class,2023-12-31
world_sailing_championships_2023_nacra-17_mixed,world_sailing_championships,sailing-nacra-17,mixed,podium_top3_class,2023-12-31
world_sailing_championships_2023_rs-venture-connect_mixed,world_sailing_championships,sailing-rs-venture-connect,mixed,podium_top3_class,2023-12-31
