participant_id,type,display_name,country_id
sailing_entry_Gabrio_Zandonà_Andrea_Trani_ITA,team,Gabrio Zandonà Andrea Trani,ITA
sailing_entry_Nathan_Wilmot_Malcolm_Page_AUS,team,Nathan Wilmot Malcolm Page,AUS
sailing_entry_Gustavo_Martínez_Dimas_Wood_ESP,team,Gustavo Martínez Dimas Wood,ESP
sailing_entry_Sofia_Bekatorou_Emilia_Tsoulfa_GRC,team,Sofia Bekatorou Emilia Tsoulfa,GRC
sailing_entry_Ingrid_Petitjean_Nadège_Douroux_FRA,team,Ingrid Petitjean Nadège Douroux,FRA
sailing_entry_Vlada_Ilyenko_Nataliya_Gaponovich_RUS,team,Vlada Ilyenko Nataliya Gaponovich,RUS
sailing_entry_Christopher_Draper_Simon_Hiscocks_GBR,team,Christopher Draper Simon Hiscocks,GBR
sailing_entry_Christoffer_Sundby_Frode_Bovim_NOR,team,Christoffer Sundby Frode Bovim,NOR
sailing_entry_Rodion_Luka_George_Leonchuk_UKR,team,Rodion Luka George Leonchuk,UKR
sailing_entry_Siren_Sundby_NOR,team,Siren Sundby,NOR
sailing_entry_Sari_Multala_FIN,team,Sari Multala,FIN
sailing_entry_Petra_Niemann_DEU,team,Petra Niemann,DEU
sailing_entry_Ben_Ainslie_GBR,team,Ben Ainslie,GBR
sailing_entry_Rafael_Trujillo_ESP,team,Rafael Trujillo,ESP
sailing_entry_Andrew_Simpson_GBR,team,Andrew Simpson,GBR
sailing_entry_Gustavo_Lima_PRT,team,Gustavo Lima,PRT
sailing_entry_Robert_Scheidt_BRA,team,Robert Scheidt,BRA
sailing_entry_Michael_Blackburn_AUS,team,Michael Blackburn,AUS
sailing_entry_Przemysaw_Miarczyski_POL,team,Przemysław Miarczyński,POL
sailing_entry_Nikolaos_Kaklamanakis_GRC,team,Nikolaos Kaklamanakis,GRC
sailing_entry_Gal_Fridman_ISR,team,Gal Fridman,ISR
sailing_entry_Lee_Korzits_ISR,team,Lee Korzits,ISR
sailing_entry_Barbara_Kendall_NZL,team,Barbara Kendall,NZL
sailing_entry_Faustine_Merret_FRA,team,Faustine Merret,FRA
sailing_entry_Xavier_Rohart_Pascal_Rambeau_FRA,team,Xavier Rohart Pascal Rambeau,FRA
sailing_entry_Fredrik_Lööf_Anders_Ekström_SWE,team,Fredrik Lööf Anders Ekström,SWE
sailing_entry_Iain_Percy_Steve_Mitchell_GBR,team,Iain Percy Steve Mitchell,GBR
sailing_entry_Darren_Bundock_John_Forbes_AUS,team,Darren Bundock John Forbes,AUS
sailing_entry_Leigh_McMillan_Mark_Bulkeley_GBR,team,Leigh McMillan Mark Bulkeley,GBR
sailing_entry_Santiago_Lange_Carlos_Espinola_ARG,team,Santiago Lange Carlos Espinola,ARG
sailing_entry_Hannah_Swett_Joan_Touchette_Melissa_Purdy_USA,team,Hannah Swett Joan Touchette Melissa Purdy,USA
sailing_entry_Ulrike_Schümann_Wibke_Bülle_Winnie_Lippert_DEU,team,Ulrike Schümann Wibke Bülle Winnie Lippert,DEU
sailing_entry_Dorte_Jensen_Helle_Jespersen_Rachel_Kiel_DNK,team,Dorte Jensen Helle Jespersen Rachel Kiel,DNK
sailing_entry_Sven_Coster_Kalle_Coster_NLD,team,Sven Coster Kalle Coster,NLD
sailing_entry_Gideon_Kliger_Udi_Gal_ISR,team,Gideon Kliger Udi Gal,ISR
sailing_entry_Marcelien_de_Koning_Lobke_Berkhout_NLD,team,Marcelien de Koning Lobke Berkhout,NLD
sailing_entry_Christina_Bassadone_Saskia_Clark_GBR,team,Christina Bassadone Saskia Clark,GBR
sailing_entry_Stevie_Morrison_Ben_Rhodes_GBR,team,Stevie Morrison Ben Rhodes,GBR
sailing_entry_Nico_Delle_Karth_Nikolaus_Resch_AUT,team,Nico Delle Karth Nikolaus Resch,AUT
sailing_entry_Nathan_Outteridge_Ben_Austin_AUS,team,Nathan Outteridge Ben Austin,AUS
sailing_entry_Pieter-Jan_Postma_NLD,team,Pieter-Jan Postma,NLD
sailing_entry_Gaper_Vinec_SVN,team,Gašper Vinčec,SVN
sailing_entry_Tom_Slingsby_AUS,team,Tom Slingsby,AUS
sailing_entry_Andrew_Murdoch_NZL,team,Andrew Murdoch,NZL
sailing_entry_Deniss_Karpak_EST,team,Deniss Karpak,EST
sailing_entry_Tatiana_Drozdovskaya_BLR,team,Tatiana Drozdovskaya,BLR
sailing_entry_Ricardo_Santos_BRA,team,Ricardo Santos,BRA
sailing_entry_Nick_Dempsey_GBR,team,Nick Dempsey,GBR
sailing_entry_Zofia_Klepacka_POL,team,Zofia Klepacka,POL
sailing_entry_Jessica_Crisp_AUS,team,Jessica Crisp,AUS
sailing_entry_Robert_Scheidt_Bruno_Prada_BRA,team,Robert Scheidt Bruno Prada,BRA
sailing_entry_Iain_Percy_Andrew_Simpson_GBR,team,Iain Percy Andrew Simpson,GBR
sailing_entry_Fernando_Echávarri_Antón_Paz_ESP,team,Fernando Echávarri Antón Paz,ESP
sailing_entry_Carolijn_Brouwer_Sébastien_Godefroid_BEL,team,Carolijn Brouwer Sébastien Godefroid,BEL
sailing_entry_Mitch_Booth_Pim_Nieuwenhuis_NLD,team,Mitch Booth Pim Nieuwenhuis,NLD
sailing_entry_Sarah_Ayton_Sarah_Webb_Pippa_Wilson_GBR,team,Sarah Ayton Sarah Webb Pippa Wilson,GBR
sailing_entry_Sally_Barkow_Carrie_Howe_Debbie_Capozzi_USA,team,Sally Barkow Carrie Howe Debbie Capozzi,USA
