event_id,participant_id,rank,medal,score_raw,points_awarded
world_sailing_championships_2003_470_men,sailing_entry_Gabrio_Zandonà_Andrea_Trani_ITA,1,gold,class=470;event_name=Men's 470;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,10.0
world_sailing_championships_2003_470_men,sailing_entry_Nathan_Wilmot_Malcolm_Page_AUS,2,silver,class=470;event_name=Men's 470;entry_country=AUS;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,7.0
world_sailing_championships_2003_470_men,sailing_entry_Gustavo_Martínez_Dimas_Wood_ESP,3,bronze,class=470;event_name=Men's 470;entry_country=ESP;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,5.0
world_sailing_championships_2003_470_women,sailing_entry_Sofia_Bekatorou_Emilia_Tsoulfa_GRC,1,gold,class=470;event_name=Women's 470;entry_country=GRC;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,10.0
world_sailing_championships_2003_470_women,sailing_entry_Ingrid_Petitjean_Nadège_Douroux_FRA,2,silver,class=470;event_name=Women's 470;entry_country=FRA;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,7.0
world_sailing_championships_2003_470_women,sailing_entry_Vlada_Ilyenko_Nataliya_Gaponovich_RUS,3,bronze,class=470;event_name=Women's 470;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,5.0
world_sailing_championships_2003_49er_men,sailing_entry_Christopher_Draper_Simon_Hiscocks_GBR,1,gold,class=49er;event_name=49er;entry_country=GBR;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,10.0
world_sailing_championships_2003_49er_men,sailing_entry_Christoffer_Sundby_Frode_Bovim_NOR,2,silver,class=49er;event_name=49er;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,7.0
world_sailing_championships_2003_49er_men,sailing_entry_Rodion_Luka_George_Leonchuk_UKR,3,bronze,class=49er;event_name=49er;entry_country=UKR;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,5.0
world_sailing_championships_2003_europe_women,sailing_entry_Siren_Sundby_NOR,1,gold,class=europe;event_name=Europe;entry_country=NOR;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,10.0
world_sailing_championships_2003_europe_women,sailing_entry_Sari_Multala_FIN,2,silver,class=europe;event_name=Europe;entry_country=FIN;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,7.0
world_sailing_championships_2003_europe_women,sailing_entry_Petra_Niemann_DEU,3,bronze,class=europe;event_name=Europe;entry_country=DEU;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,5.0
world_sailing_championships_2003_finn_men,sailing_entry_Ben_Ainslie_GBR,1,gold,class=finn;event_name=Finn;entry_country=GBR;source_url=https://en.wikipedia.org/wiki/2003_ISAF_Sailing_World_Championships,10.0
