event_id,competition_id,discipline_id,gender,event_class,event_date
world_taekwondo_championships_2001_men_bantam,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_men_fin,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_men_fly,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_men_heavy,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_men_light,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_men_middle,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_men_welter,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_women_bantam,world_taekwondo_championships,taekwondo,women,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_women_feather,world_taekwondo_championships,taekwondo,women,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_women_fin,world_taekwondo_championships,taekwondo,women,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_women_fly,world_taekwondo_championships,taekwondo,women,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_women_heavy,world_taekwondo_championships,taekwondo,women,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_women_light,world_taekwondo_championships,taekwondo,women,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_women_middle,world_taekwondo_championships,taekwondo,women,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2001_women_welter,world_taekwondo_championships,taekwondo,women,podium_top4_by_weight_category,2001-12-31
world_taekwondo_championships_2003_men_bantam,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2003-12-31
world_taekwondo_championships_2003_men_feather,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2003-12-31
world_taekwondo_championships_2003_men_fin,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2003-12-31
world_taekwondo_championships_2003_men_fly,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2003-12-31
world_taekwondo_championships_2003_men_heavy,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2003-12-31
world_taekwondo_championships_2003_men_light,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2003-12-31
world_taekwondo_championships_2003_men_middle,world_taekwondo_championships,taekwondo,men,podium_top4_by_weight_category,2003-12-31
