participant_id,type,display_name,country_id
athlete_NAM-WON_KANG_KOR,athlete,NAM-WON KANG,KOR
athlete_LOPEZ_Peter_PER,athlete,LOPEZ Peter,PER
athlete_MIGUEL_TOLEDO_ESP,athlete,MIGUEL TOLEDO,ESP
athlete_KIYOTERU_HIGUCHI_JPN,athlete,KIYOTERU HIGUCHI,JPN
athlete_YEON-HO_CHOI_KOR,athlete,YEON-HO CHOI,KOR
athlete_MU_YEN_CHU_TPE,athlete,MU YEN CHU,TPE
athlete_JUAN_RAMOS_SANCHEZ_ESP,athlete,JUAN RAMOS SANCHEZ,ESP
athlete_ROBERTO_CRUZ_PHI,athlete,ROBERTO CRUZ,PHI
athlete_BEHZAD_KHODADA_KANJOBERH_IRI,athlete,BEHZAD KHODADA KANJOBERH,IRI
athlete_EDUORD_HEGAI_UZB,athlete,EDUORD HEGAI,UZB
athlete_DAE-RYUNG_KIM_KOR,athlete,DAE-RYUNG KIM,KOR
athlete_SEYFULA_MAGOMEDOV_RUS,athlete,SEYFULA MAGOMEDOV,RUS
athlete_FERRY_GREEVINK_NED,athlete,FERRY GREEVINK,NED
athlete_HADI_AFSHAR_BAKESHIOU_IRI,athlete,HADI AFSHAR BAKESHIOU,IRI
athlete_MIODRAG_KUZMANOVIC_CRO,athlete,MIODRAG KUZMANOVIC,CRO
athlete_RUBEN_MONTESINOS_ESP,athlete,RUBEN MONTESINOS,ESP
athlete_LOPEZ_Steven_USA,athlete,LOPEZ Steven,USA
athlete_JESPER_ROESEN_DEN,athlete,JESPER ROESEN,DEN
athlete_ATHANASIOS_BALILIS_GRE,athlete,ATHANASIOS BALILIS,GRE
athlete_JOSE_LUIS_RAMIREZ_MEX,athlete,JOSE LUIS RAMIREZ,MEX
athlete_BAHRI_TANRIKULU_TUR,athlete,BAHRI TANRIKULU,TUR
athlete_MICKAEL_BOROT_FRA,athlete,MICKAEL BOROT,FRA
athlete_JON_GARCIA_AGUADO_ESP,athlete,JON GARCIA AGUADO,ESP
athlete_KYONG-HUN_KIM_KOR,athlete,KYONG-HUN KIM,KOR
athlete_MAMEDHY_DOUCARA_FRA,athlete,MAMEDHY DOUCARA,FRA
athlete_MAHMOUD_NAPOLEON_AKOUSH_EGY,athlete,MAHMOUD NAPOLEON AKOUSH,EGY
athlete_MARCIN_CHORZELEWS_POL,athlete,MARCIN CHORZELEWS,POL
athlete_BEKIR_AYDIN_TUR,athlete,BEKIR AYDIN,TUR
athlete_JAE-EUN_JUNG_KOR,athlete,JAE-EUN JUNG,KOR
athlete_GEMMA_MAGRIA_ESP,athlete,GEMMA MAGRIA,ESP
athlete_PAMELA_AGOSTINELLI_ITA,athlete,PAMELA AGOSTINELLI,ITA
athlete_PAOLA_FELIX_MEX,athlete,PAOLA FELIX,MEX
athlete_JI-WON_JANG_KOR,athlete,JI-WON JANG,KOR
athlete_IRIDIA_SALAZAR_MEX,athlete,IRIDIA SALAZAR,MEX
athlete_SONIA_Reyes_Saez_ESP,athlete,SONIA Reyes Saez,ESP
athlete_KADRIYE_SELIMOGLU_TUR,athlete,KADRIYE SELIMOGLU,TUR
athlete_SOO-YANG_KIM_KOR,athlete,SOO-YANG KIM,KOR
athlete_TAO_KONG_FAN_CHN,athlete,TAO KONG FAN,CHN
athlete_DALIA_CONTRERAS_VEN,athlete,DALIA CONTRERAS,VEN
athlete_HYE-YOUNG_LEE_KOR,athlete,HYE-YOUNG LEE,KOR
athlete_BRIGITTE_YAGÜE_ENRIQUE_ESP,athlete,BRIGITTE YAGÜE ENRIQUE,ESP
athlete_MAGDA_SEIREKEIDOU_GRE,athlete,MAGDA SEIREKEIDOU,GRE
athlete_CHUN_HUANG_CHIA_TPE,athlete,CHUN HUANG CHIA,TPE
athlete_KYUNG-HYEON_SHIN_KOR,athlete,KYUNG-HYEON SHIN,KOR
athlete_HSIEN_WANG_TPE,athlete,HSIEN WANG,TPE
athlete_MARYA_ZHVRAVSKAYA_BLR,athlete,MARYA ZHVRAVSKAYA,BLR
athlete_MARIA_KONIAKHINA_RUS,athlete,MARIA KONIAKHINA,RUS
athlete_YEON-JI_KIM_KOR,athlete,YEON-JI KIM,KOR
athlete_BELEN_FERNANDEZ_ESP,athlete,BELEN FERNANDEZ,ESP
athlete_NATALIA_FALAVIGNA_BRA,athlete,NATALIA FALAVIGNA,BRA
athlete_MOUNA_BRNAVRRASSOUL_MAR,athlete,MOUNA BRNAVRRASSOUL,MAR
athlete_SARAH_STEVENSON_JENNINGS_GBR,athlete,SARAH STEVENSON JENNINGS,GBR
athlete_ZHONG_CHEN_CHN,athlete,ZHONG CHEN,CHN
athlete_ALESIA_CHARNIAVSKAYA_BLR,athlete,ALESIA CHARNIAVSKAYA,BLR
athlete_ELISAVET_MISTAKIDOU_GRE,athlete,ELISAVET MISTAKIDOU,GRE
athlete_HYE-MI_KIM_KOR,athlete,HYE-MI KIM,KOR
athlete_CHEN_CHANG_WAN_TPE,athlete,CHEN CHANG WAN,TPE
athlete_LUISA_ARNANZ_ESP,athlete,LUISA ARNANZ,ESP
athlete_NINA_SOLHEIM_NOR,athlete,NINA SOLHEIM,NOR
athlete_CHI_HSIUNG_HUANG_TPE,athlete,CHI HSIUNG HUANG,TPE
athlete_OMAR_BADIA_ESP,athlete,OMAR BADIA,ESP
athlete_OMID_GHOLAMZADEH_IRI,athlete,OMID GHOLAMZADEH,IRI
athlete_LOPEZ_Mark_USA,athlete,LOPEZ Mark,USA
athlete_NIYAMADDIN_PASHAYEV_AZE,athlete,NIYAMADDIN PASHAYEV,AZE
athlete_ERDAL_AYLANC_GER,athlete,ERDAL AYLANC,GER
athlete_PAUL_GREEN_GBR,athlete,PAUL GREEN,GBR
athlete_ZAHID_MAMMADOV_AZE,athlete,ZAHID MAMMADOV,AZE
athlete_SEOK-HWA_KO_KOR,athlete,SEOK-HWA KO,KOR
athlete_TIM_THACKREY_USA,athlete,TIM THACKREY,USA
athlete_MORTEZA_ROSTAMI_IRI,athlete,MORTEZA ROSTAMI,IRI
athlete_ASIDAH_Zakaria_DEN,athlete,ASIDAH Zakaria,DEN
athlete_MICI_KUZMANOVIC_CRO,athlete,MICI KUZMANOVIC,CRO
athlete_LIN_WEN_CHENG_TPE,athlete,LIN WEN CHENG,TPE
athlete_KOOK-HYUN_JEONG_KOR,athlete,KOOK-HYUN JEONG,KOR
athlete_HADI_SAEI_BONEHKOHAL_IRI,athlete,HADI SAEI BONEHKOHAL,IRI
athlete_TUNCAY_Caliskan_AUT,athlete,TUNCAY Caliskan,AUT
athlete_RASHAD_AHMADOV_AZE,athlete,RASHAD AHMADOV,AZE
athlete_YOUSEF_Karami_IRI,athlete,YOUSEF Karami,IRI
athlete_TAVAGUL_BAYRAMOV_AZE,athlete,TAVAGUL BAYRAMOV,AZE
athlete_MOHAMED_EBNOUTALIB_GER,athlete,MOHAMED EBNOUTALIB,GER
athlete_ROSENDO_ALONSO_ESP,athlete,ROSENDO ALONSO,ESP
athlete_SEON-TAEK_OH_KOR,athlete,SEON-TAEK OH,KOR
athlete_JEONG-YEON_HA_KOR,athlete,JEONG-YEON HA,KOR
athlete_TAYLOR_STONE_USA,athlete,TAYLOR STONE,USA
athlete_VERONIQUE_STJACQUES_CAN,athlete,VERONIQUE ST.JACQUES,CAN
athlete_NOOTCHARIN_SUKKHONGDUMNOEN_THA,athlete,NOOTCHARIN SUKKHONGDUMNOEN,THA
