event_id,participant_id,rank,medal,score_raw,points_awarded
world_taekwondo_championships_2001_men_bantam,athlete_KIYOTERU_HIGUCHI_JPN,3,bronze,discipline=taekwondo;weight_class=bantam;event=Men Bantam;country=JPN;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_bantam,athlete_LOPEZ_Peter_PER,2,silver,discipline=taekwondo;weight_class=bantam;event=Men Bantam;country=PER;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,2.0
world_taekwondo_championships_2001_men_bantam,athlete_MIGUEL_TOLEDO_ESP,3,bronze,discipline=taekwondo;weight_class=bantam;event=Men Bantam;country=ESP;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_bantam,athlete_NAM-WON_KANG_KOR,1,gold,discipline=taekwondo;weight_class=bantam;event=Men Bantam;country=KOR;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,3.0
world_taekwondo_championships_2001_men_fin,athlete_JUAN_RAMOS_SANCHEZ_ESP,3,bronze,discipline=taekwondo;weight_class=fin;event=Men Fin;country=ESP;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_fin,athlete_MU_YEN_CHU_TPE,2,silver,discipline=taekwondo;weight_class=fin;event=Men Fin;country=TPE;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,2.0
world_taekwondo_championships_2001_men_fin,athlete_ROBERTO_CRUZ_PHI,3,bronze,discipline=taekwondo;weight_class=fin;event=Men Fin;country=PHI;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_fin,athlete_YEON-HO_CHOI_KOR,1,gold,discipline=taekwondo;weight_class=fin;event=Men Fin;country=KOR;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,3.0
world_taekwondo_championships_2001_men_fly,athlete_BEHZAD_KHODADA_KANJOBERH_IRI,1,gold,discipline=taekwondo;weight_class=fly;event=Men Fly;country=IRI;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,3.0
world_taekwondo_championships_2001_men_fly,athlete_DAE-RYUNG_KIM_KOR,3,bronze,discipline=taekwondo;weight_class=fly;event=Men Fly;country=KOR;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_fly,athlete_EDUORD_HEGAI_UZB,2,silver,discipline=taekwondo;weight_class=fly;event=Men Fly;country=UZB;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,2.0
world_taekwondo_championships_2001_men_fly,athlete_SEYFULA_MAGOMEDOV_RUS,3,bronze,discipline=taekwondo;weight_class=fly;event=Men Fly;country=RUS;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_heavy,athlete_FERRY_GREEVINK_NED,1,gold,discipline=taekwondo;weight_class=heavy;event=Men Heavy;country=NED;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,3.0
world_taekwondo_championships_2001_men_heavy,athlete_HADI_AFSHAR_BAKESHIOU_IRI,2,silver,discipline=taekwondo;weight_class=heavy;event=Men Heavy;country=IRI;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,2.0
world_taekwondo_championships_2001_men_heavy,athlete_MIODRAG_KUZMANOVIC_CRO,3,bronze,discipline=taekwondo;weight_class=heavy;event=Men Heavy;country=CRO;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_heavy,athlete_RUBEN_MONTESINOS_ESP,3,bronze,discipline=taekwondo;weight_class=heavy;event=Men Heavy;country=ESP;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_light,athlete_ATHANASIOS_BALILIS_GRE,3,bronze,discipline=taekwondo;weight_class=light;event=Men Light;country=GRE;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_light,athlete_JESPER_ROESEN_DEN,2,silver,discipline=taekwondo;weight_class=light;event=Men Light;country=DEN;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,2.0
world_taekwondo_championships_2001_men_light,athlete_JOSE_LUIS_RAMIREZ_MEX,3,bronze,discipline=taekwondo;weight_class=light;event=Men Light;country=MEX;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_light,athlete_LOPEZ_Steven_USA,1,gold,discipline=taekwondo;weight_class=light;event=Men Light;country=USA;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,3.0
world_taekwondo_championships_2001_men_middle,athlete_BAHRI_TANRIKULU_TUR,1,gold,discipline=taekwondo;weight_class=middle;event=Men Middle;country=TUR;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,3.0
world_taekwondo_championships_2001_men_middle,athlete_JON_GARCIA_AGUADO_ESP,3,bronze,discipline=taekwondo;weight_class=middle;event=Men Middle;country=ESP;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_middle,athlete_KYONG-HUN_KIM_KOR,3,bronze,discipline=taekwondo;weight_class=middle;event=Men Middle;country=KOR;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_middle,athlete_MICKAEL_BOROT_FRA,2,silver,discipline=taekwondo;weight_class=middle;event=Men Middle;country=FRA;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,2.0
world_taekwondo_championships_2001_men_welter,athlete_BEKIR_AYDIN_TUR,3,bronze,discipline=taekwondo;weight_class=welter;event=Men Welter;country=TUR;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_men_welter,athlete_MAHMOUD_NAPOLEON_AKOUSH_EGY,2,silver,discipline=taekwondo;weight_class=welter;event=Men Welter;country=EGY;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,2.0
world_taekwondo_championships_2001_men_welter,athlete_MAMEDHY_DOUCARA_FRA,1,gold,discipline=taekwondo;weight_class=welter;event=Men Welter;country=FRA;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,3.0
world_taekwondo_championships_2001_men_welter,athlete_MARCIN_CHORZELEWS_POL,3,bronze,discipline=taekwondo;weight_class=welter;event=Men Welter;country=POL;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
world_taekwondo_championships_2001_women_bantam,athlete_GEMMA_MAGRIA_ESP,2,silver,discipline=taekwondo;weight_class=bantam;event=Women Bantam;country=ESP;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,2.0
world_taekwondo_championships_2001_women_bantam,athlete_JAE-EUN_JUNG_KOR,1,gold,discipline=taekwondo;weight_class=bantam;event=Women Bantam;country=KOR;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,3.0
world_taekwondo_championships_2001_women_bantam,athlete_PAMELA_AGOSTINELLI_ITA,3,bronze,discipline=taekwondo;weight_class=bantam;event=Women Bantam;country=ITA;source_url=https://web.worldtaekwondo.martial.services/competitions/jeju-2001-world-taekwondo-championships/medalists,1.0
