event_id,competition_id,discipline_id,gender,event_class,event_date
world_triathlon_championship_series_2009_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2009-12-31
world_triathlon_championship_series_2009_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2009-12-31
world_triathlon_championship_series_2010_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2010-12-31
world_triathlon_championship_series_2010_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2010-12-31
world_triathlon_championship_series_2011_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2011-12-31
world_triathlon_championship_series_2011_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2011-12-31
world_triathlon_championship_series_2012_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2012-12-31
world_triathlon_championship_series_2012_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2012-12-31
world_triathlon_championship_series_2013_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2013-12-31
world_triathlon_championship_series_2013_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2013-12-31
world_triathlon_championship_series_2014_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2014-12-31
world_triathlon_championship_series_2014_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2014-12-31
world_triathlon_championship_series_2015_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2015-12-31
world_triathlon_championship_series_2015_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2015-12-31
world_triathlon_championship_series_2016_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2016-12-31
world_triathlon_championship_series_2016_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2016-12-31
world_triathlon_championship_series_2017_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2017-12-31
world_triathlon_championship_series_2017_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2017-12-31
world_triathlon_championship_series_2018_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2018-12-31
world_triathlon_championship_series_2018_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2018-12-31
world_triathlon_championship_series_2019_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2019-12-31
world_triathlon_championship_series_2019_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2019-12-31
world_triathlon_championship_series_2020_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2020-12-31
world_triathlon_championship_series_2020_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2020-12-31
world_triathlon_championship_series_2021_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2021-12-31
world_triathlon_championship_series_2021_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2021-12-31
world_triathlon_championship_series_2022_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2022-12-31
world_triathlon_championship_series_2022_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2022-12-31
world_triathlon_championship_series_2023_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2023-12-31
world_triathlon_championship_series_2023_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2023-12-31
world_triathlon_championship_series_2024_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2024-12-31
world_triathlon_championship_series_2024_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2024-12-31
world_triathlon_championship_series_2025_men,world_triathlon_championship_series,triathlon,men,final_ranking_top3,2025-12-31
world_triathlon_championship_series_2025_women,world_triathlon_championship_series,triathlon,women,final_ranking_top3,2025-12-31
