participant_id,type,display_name,country_id
triathlon_athlete_Alistair_Brownlee_GBR,athlete,Alistair Brownlee,GBR
triathlon_athlete_Javier_Gomez_ESP,athlete,Javier Gómez,ESP
triathlon_athlete_Maik_Petzold_DEU,athlete,Maik Petzold,DEU
triathlon_athlete_Emma_Moffatt_AUS,athlete,Emma Moffatt,AUS
triathlon_athlete_Lisa_Norden_SWE,athlete,Lisa Nordén,SWE
triathlon_athlete_Andrea_Hewitt_NZL,athlete,Andrea Hewitt,NZL
triathlon_athlete_Steffen_Justus_DEU,athlete,Steffen Justus,DEU
triathlon_athlete_Brad_Kahlefeldt_AUS,athlete,Brad Kahlefeldt,AUS
triathlon_athlete_Nicola_Spirig_CHE,athlete,Nicola Spirig,CHE
triathlon_athlete_Jonathan_Brownlee_GBR,athlete,Jonathan Brownlee,GBR
triathlon_athlete_Helen_Jenkins_GBR,athlete,Helen Jenkins,GBR
triathlon_athlete_Sarah_Groff_USA,athlete,Sarah Groff,USA
triathlon_athlete_Dmitry_Polyanski_RUS,athlete,Dmitry Polyanski,RUS
triathlon_athlete_Anne_Haug_DEU,athlete,Anne Haug,DEU
triathlon_athlete_Mario_Mola_ESP,athlete,Mario Mola,ESP
triathlon_athlete_Non_Stanford_GBR,athlete,Non Stanford,GBR
triathlon_athlete_Jodie_Stimpson_GBR,athlete,Jodie Stimpson,GBR
triathlon_athlete_Gwen_Jorgensen_USA,athlete,Gwen Jorgensen,USA
triathlon_athlete_Vincent_Luis_FRA,athlete,Vincent Luis,FRA
triathlon_athlete_Sarah_True_USA,athlete,Sarah True,USA
triathlon_athlete_Fernando_Alarza_ESP,athlete,Fernando Alarza,ESP
triathlon_athlete_Flora_Duffy_BMU,athlete,Flora Duffy,BMU
triathlon_athlete_Ai_Ueda_JPN,athlete,Ai Ueda,JPN
triathlon_athlete_Kristian_Blummenfelt_NOR,athlete,Kristian Blummenfelt,NOR
triathlon_athlete_Ashleigh_Gentle_AUS,athlete,Ashleigh Gentle,AUS
triathlon_athlete_Katie_Zaferes_USA,athlete,Katie Zaferes,USA
triathlon_athlete_Jacob_Birtwhistle_AUS,athlete,Jacob Birtwhistle,AUS
triathlon_athlete_Vicky_Holland_GBR,athlete,Vicky Holland,GBR
triathlon_athlete_Georgia_Taylor-Brown_GBR,athlete,Georgia Taylor-Brown,GBR
triathlon_athlete_Jessica_Learmonth_GBR,athlete,Jessica Learmonth,GBR
triathlon_athlete_Vasco_Vilaca_PRT,athlete,Vasco Vilaca,PRT
triathlon_athlete_Leo_Bergere_FRA,athlete,Léo Bergere,FRA
triathlon_athlete_Laura_Lindemann_DEU,athlete,Laura Lindemann,DEU
triathlon_athlete_Marten_Van_Riel_BEL,athlete,Marten Van Riel,BEL
triathlon_athlete_Alex_Yee_GBR,athlete,Alex Yee,GBR
triathlon_athlete_Taylor_Knibb_USA,athlete,Taylor Knibb,USA
triathlon_athlete_Taylor_Spivey_USA,athlete,Taylor Spivey,USA
triathlon_athlete_Hayden_Wilde_NZL,athlete,Hayden Wilde,NZL
triathlon_athlete_Dorian_Coninx_FRA,athlete,Dorian Coninx,FRA
triathlon_athlete_Beth_Potter_GBR,athlete,Beth Potter,GBR
triathlon_athlete_Cassandre_Beaugrand_FRA,athlete,Cassandre Beaugrand,FRA
triathlon_athlete_Emma_Lombardi_FRA,athlete,Emma Lombardi,FRA
triathlon_athlete_Matthew_Hauser_AUS,athlete,Matthew Hauser,AUS
triathlon_athlete_Miguel_Hidalgo_BRA,athlete,Miguel Hidalgo,BRA
triathlon_athlete_Lisa_Tertsch_DEU,athlete,Lisa Tertsch,DEU
triathlon_athlete_Leonie_Periault_FRA,athlete,Léonie Périault,FRA
