event_id,participant_id,rank,medal,score_raw,points_awarded
world_triathlon_championship_series_2009_men,triathlon_athlete_Alistair_Brownlee_GBR,1,gold,points=4400;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2009_ITU_World_Championship_Series,10.0
world_triathlon_championship_series_2009_men,triathlon_athlete_Javier_Gomez_ESP,2,silver,points=3960;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2009_ITU_World_Championship_Series,7.0
world_triathlon_championship_series_2009_men,triathlon_athlete_Maik_Petzold_DEU,3,bronze,points=3443;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2009_ITU_World_Championship_Series,5.0
world_triathlon_championship_series_2009_women,triathlon_athlete_Emma_Moffatt_AUS,1,gold,points=4340;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2009_ITU_World_Championship_Series,10.0
world_triathlon_championship_series_2009_women,triathlon_athlete_Lisa_Norden_SWE,2,silver,points=4130;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2009_ITU_World_Championship_Series,7.0
world_triathlon_championship_series_2009_women,triathlon_athlete_Andrea_Hewitt_NZL,3,bronze,points=3462;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2009_ITU_World_Championship_Series,5.0
world_triathlon_championship_series_2010_men,triathlon_athlete_Javier_Gomez_ESP,1,gold,points=3789;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2010_ITU_World_Championship_Series,10.0
world_triathlon_championship_series_2010_men,triathlon_athlete_Steffen_Justus_DEU,2,silver,points=3138;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2010_ITU_World_Championship_Series,7.0
world_triathlon_championship_series_2010_men,triathlon_athlete_Brad_Kahlefeldt_AUS,3,bronze,points=3110;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2010_ITU_World_Championship_Series,5.0
world_triathlon_championship_series_2010_women,triathlon_athlete_Emma_Moffatt_AUS,1,gold,points=3805;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2010_ITU_World_Championship_Series,10.0
world_triathlon_championship_series_2010_women,triathlon_athlete_Nicola_Spirig_CHE,2,silver,points=3413;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2010_ITU_World_Championship_Series,7.0
world_triathlon_championship_series_2010_women,triathlon_athlete_Lisa_Norden_SWE,3,bronze,points=3389;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2010_ITU_World_Championship_Series,5.0
world_triathlon_championship_series_2011_men,triathlon_athlete_Alistair_Brownlee_GBR,1,gold,points=4285;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2011_ITU_World_Championship_Series,10.0
world_triathlon_championship_series_2011_men,triathlon_athlete_Jonathan_Brownlee_GBR,2,silver,points=3992;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2011_ITU_World_Championship_Series,7.0
world_triathlon_championship_series_2011_men,triathlon_athlete_Javier_Gomez_ESP,3,bronze,points=3671;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2011_ITU_World_Championship_Series,5.0
world_triathlon_championship_series_2011_women,triathlon_athlete_Helen_Jenkins_GBR,1,gold,points=4023;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2011_ITU_World_Championship_Series,10.0
world_triathlon_championship_series_2011_women,triathlon_athlete_Andrea_Hewitt_NZL,2,silver,points=3836;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2011_ITU_World_Championship_Series,7.0
world_triathlon_championship_series_2011_women,triathlon_athlete_Sarah_Groff_USA,3,bronze,points=2783;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2011_ITU_World_Championship_Series,5.0
world_triathlon_championship_series_2012_men,triathlon_athlete_Jonathan_Brownlee_GBR,1,gold,points=4935;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2012_ITU_World_Triathlon_Series,10.0
world_triathlon_championship_series_2012_men,triathlon_athlete_Javier_Gomez_ESP,2,silver,points=4845;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2012_ITU_World_Triathlon_Series,7.0
world_triathlon_championship_series_2012_men,triathlon_athlete_Dmitry_Polyanski_RUS,3,bronze,points=3822;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2012_ITU_World_Triathlon_Series,5.0
world_triathlon_championship_series_2012_women,triathlon_athlete_Lisa_Norden_SWE,1,gold,points=4531;source_note=series_final_standings;source_url=https://en.wikipedia.org/wiki/2012_ITU_World_Triathlon_Series,10.0
