participant_id,type,display_name,country_id
world_weightlifting_athlete_Halil_Mutlu_TUR,athlete,Halil Mutlu,TUR
world_weightlifting_athlete_Wang_Shin-yuan_TPE,athlete,Wang Shin-yuan,TPE
world_weightlifting_athlete_William_Vargas_CUB,athlete,William Vargas,CUB
world_weightlifting_athlete_Henadzi_Aliashchuk_BLR,athlete,Henadzi Aliashchuk,BLR
world_weightlifting_athlete_Li_Yinglong_CHN,athlete,Li Yinglong,CHN
world_weightlifting_athlete_Stefan_Georgiev_BUL,athlete,Stefan Georgiev,BUL
world_weightlifting_athlete_Vladimir_Smorchkov_RUS,athlete,Vladimir Smorchkov,RUS
world_weightlifting_athlete_Bünyamin_Suda_TUR,athlete,Bünyamin Sudaş,TUR
world_weightlifting_athlete_Ihor_Razoronov_UKR,athlete,Ihor Razoronov,UKR
world_weightlifting_athlete_Giorgi_Asanidze_GEO,athlete,Giorgi Asanidze,GEO
world_weightlifting_athlete_Aliaksandr_Anishchanka_BLR,athlete,Aliaksandr Anishchanka,BLR
world_weightlifting_athlete_Milen_Dobrev_BUL,athlete,Milen Dobrev,BUL
world_weightlifting_athlete_Galabin_Boevski_BUL,athlete,Galabin Boevski,BUL
world_weightlifting_athlete_Georgios_Tzelilis_GRE,athlete,Georgios Tzelilis,GRE
world_weightlifting_athlete_Reyhan_Arabacolu_TUR,athlete,Reyhan Arabacıoğlu,TUR
world_weightlifting_athlete_Kourosh_Bagheri_IRI,athlete,Kourosh Bagheri,IRI
world_weightlifting_athlete_Nizami_Pashayev_AZE,athlete,Nizami Pashayev,AZE
world_weightlifting_athlete_Szymon_Koecki_POL,athlete,Szymon Kołecki,POL
world_weightlifting_athlete_Nader_Sufyan_Abbas_QAT,athlete,Nader Sufyan Abbas,QAT
world_weightlifting_athlete_Oleg_Perepetchenov_RUS,athlete,Oleg Perepetchenov,RUS
world_weightlifting_athlete_Mohammad_Hossein_Barkhah_IRI,athlete,Mohammad Hossein Barkhah,IRI
world_weightlifting_athlete_Jaber_Saeed_Salem_QAT,athlete,Jaber Saeed Salem,QAT
world_weightlifting_athlete_Roman_Meshcheryakov_RUS,athlete,Roman Meshcheryakov,RUS
world_weightlifting_athlete_Andrey_Chemerkin_RUS,athlete,Andrey Chemerkin,RUS
world_weightlifting_athlete_Gao_Wei_CHN,athlete,Gao Wei,CHN
world_weightlifting_athlete_Blessed_Udoh_NGR,athlete,Blessed Udoh,NGR
world_weightlifting_athlete_Chen_Han-tung_TPE,athlete,Chen Han-tung,TPE
world_weightlifting_athlete_Li_Feng-ying_TPE,athlete,Li Feng-ying,TPE
world_weightlifting_athlete_Qiu_Hongxia_CHN,athlete,Qiu Hongxia,CHN
world_weightlifting_athlete_Alexandra_Escobar_ECU,athlete,Alexandra Escobar,ECU
world_weightlifting_athlete_Valentina_Popova_RUS,athlete,Valentina Popova,RUS
world_weightlifting_athlete_Svetlana_Khabirova_RUS,athlete,Svetlana Khabirova,RUS
world_weightlifting_athlete_Eszter_Krutzler_HUN,athlete,Eszter Krutzler,HUN
world_weightlifting_athlete_Aleksandra_Klejnowska_POL,athlete,Aleksandra Klejnowska,POL
world_weightlifting_athlete_Liu_Bing_CHN,athlete,Liu Bing,CHN
world_weightlifting_athlete_Marieta_Gotfryd_POL,athlete,Marieta Gotfryd,POL
world_weightlifting_athlete_Gyöngyi_Likerecz_HUN,athlete,Gyöngyi Likerecz,HUN
world_weightlifting_athlete_ule_ahbaz_TUR,athlete,Şule Şahbaz,TUR
world_weightlifting_athlete_Cao_Chunyan_CHN,athlete,Cao Chunyan,CHN
world_weightlifting_athlete_Xiao_Ying_CHN,athlete,Xiao Ying,CHN
world_weightlifting_athlete_Anastasia_Tsakiri_GRE,athlete,Anastasia Tsakiri,GRE
world_weightlifting_athlete_Kuo_Ping-chun_TPE,athlete,Kuo Ping-chun,TPE
world_weightlifting_athlete_Albina_Khomich_RUS,athlete,Albina Khomich,RUS
world_weightlifting_athlete_Agata_Wróbel_POL,athlete,Agata Wróbel,POL
world_weightlifting_athlete_Chen_Hsiao-lien_TPE,athlete,Chen Hsiao-lien,TPE
world_weightlifting_athlete_Wu_Meijin_CHN,athlete,Wu Meijin,CHN
world_weightlifting_athlete_Yang_Chin-yi_TPE,athlete,Yang Chin-yi,TPE
world_weightlifting_athlete_Adrian_Jigu_ROU,athlete,Adrian Jigău,ROU
world_weightlifting_athlete_Im_Yong-su_PRK,athlete,Im Yong-su,PRK
