event_id,participant_id,rank,medal,score_raw,points_awarded
world_weightlifting_championships_2001_men_bantamweight,world_weightlifting_athlete_Halil_Mutlu_TUR,1,gold,discipline=Weightlifting;event=World Weightlifting Championships Men Bantamweight total;weight_class=Bantamweight;games=2001 Antalya;entry_country=TUR;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),10.0
world_weightlifting_championships_2001_men_bantamweight,world_weightlifting_athlete_Wang_Shin-yuan_TPE,2,silver,discipline=Weightlifting;event=World Weightlifting Championships Men Bantamweight total;weight_class=Bantamweight;games=2001 Antalya;entry_country=TPE;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),7.0
world_weightlifting_championships_2001_men_bantamweight,world_weightlifting_athlete_William_Vargas_CUB,3,bronze,discipline=Weightlifting;event=World Weightlifting Championships Men Bantamweight total;weight_class=Bantamweight;games=2001 Antalya;entry_country=CUB;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),5.0
world_weightlifting_championships_2001_men_featherweight,world_weightlifting_athlete_Henadzi_Aliashchuk_BLR,1,gold,discipline=Weightlifting;event=World Weightlifting Championships Men Featherweight total;weight_class=Featherweight;games=2001 Antalya;entry_country=BLR;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),10.0
world_weightlifting_championships_2001_men_featherweight,world_weightlifting_athlete_Li_Yinglong_CHN,2,silver,discipline=Weightlifting;event=World Weightlifting Championships Men Featherweight total;weight_class=Featherweight;games=2001 Antalya;entry_country=CHN;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),7.0
world_weightlifting_championships_2001_men_featherweight,world_weightlifting_athlete_Stefan_Georgiev_BUL,3,bronze,discipline=Weightlifting;event=World Weightlifting Championships Men Featherweight total;weight_class=Featherweight;games=2001 Antalya;entry_country=BUL;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),5.0
world_weightlifting_championships_2001_men_heavyweight,world_weightlifting_athlete_Vladimir_Smorchkov_RUS,1,gold,discipline=Weightlifting;event=World Weightlifting Championships Men Heavyweight total;weight_class=Heavyweight;games=2001 Antalya;entry_country=RUS;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),10.0
world_weightlifting_championships_2001_men_heavyweight,world_weightlifting_athlete_Bünyamin_Suda_TUR,2,silver,discipline=Weightlifting;event=World Weightlifting Championships Men Heavyweight total;weight_class=Heavyweight;games=2001 Antalya;entry_country=TUR;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),7.0
world_weightlifting_championships_2001_men_heavyweight,world_weightlifting_athlete_Ihor_Razoronov_UKR,3,bronze,discipline=Weightlifting;event=World Weightlifting Championships Men Heavyweight total;weight_class=Heavyweight;games=2001 Antalya;entry_country=UKR;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),5.0
world_weightlifting_championships_2001_men_light-heavyweight,world_weightlifting_athlete_Giorgi_Asanidze_GEO,1,gold,discipline=Weightlifting;event=World Weightlifting Championships Men Light heavyweight total;weight_class=Light heavyweight;games=2001 Antalya;entry_country=GEO;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_weightlifting_(men),10.0
