event_id,competition_id,discipline_id,gender,event_class,event_date
world_wrestling_championships_freestyle_2001_men_bantamweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_men_featherweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_men_flyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_men_heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_men_lightweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_men_middleweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_men_super-heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_men_welterweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_women_bantamweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_women_flyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_women_heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_women_light-heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_women_lightweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2001_women_middleweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2001-12-31
world_wrestling_championships_freestyle_2002_men_bantamweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_men_featherweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_men_heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_men_lightweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_men_middleweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_men_super-heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_men_welterweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_women_bantamweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_women_flyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_women_heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_women_light-heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_women_lightweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_women_middleweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2002_women_welterweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2002-12-31
world_wrestling_championships_freestyle_2003_men_bantamweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_men_featherweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_men_heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_men_lightweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_men_middleweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_men_super-heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_men_welterweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_women_bantamweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_women_flyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_women_heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_women_light-heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_women_lightweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_women_middleweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2003_women_welterweight,world_wrestling_championships_freestyle,wrestling-freestyle,women,podium_top3_by_weight_class,2003-12-31
world_wrestling_championships_freestyle_2005_men_bantamweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2005-12-31
world_wrestling_championships_freestyle_2005_men_featherweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2005-12-31
world_wrestling_championships_freestyle_2005_men_heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2005-12-31
world_wrestling_championships_freestyle_2005_men_lightweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2005-12-31
world_wrestling_championships_freestyle_2005_men_middleweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2005-12-31
world_wrestling_championships_freestyle_2005_men_super-heavyweight,world_wrestling_championships_freestyle,wrestling-freestyle,men,podium_top3_by_weight_class,2005-12-31
