participant_id,type,display_name,country_id
athlete_Guivi_Sissaouri_CAN,athlete,Guivi Sissaouri,CAN
athlete_Oyuunbilegiin_Pürevbaatar_MGL,athlete,Oyuunbilegiin Pürevbaatar,MGL
athlete_David_Pogosian_GEO,athlete,David Pogosian,GEO
athlete_Serafim_Barzakov_BUL,athlete,Serafim Barzakov,BUL
athlete_Alireza_Dabir_IRI,athlete,Alireza Dabir,IRI
athlete_Elbrus_Tedeyev_UKR,athlete,Elbrus Tedeyev,UKR
athlete_Herman_Kantoyeu_BLR,athlete,Herman Kantoyeu,BLR
athlete_Babak_Nourzad_IRI,athlete,Babak Nourzad,IRI
athlete_Aleksandr_Kontoev_RUS,athlete,Aleksandr Kontoev,RUS
athlete_Giorgi_Gogshelidze_RUS,athlete,Giorgi Gogshelidze,RUS
athlete_Krasimir_Kochev_BUL,athlete,Krasimir Kochev,BUL
athlete_Vadim_Tasoyev_UKR,athlete,Vadim Tasoyev,UKR
athlete_Nikolay_Paslar_BUL,athlete,Nikolay Paslar,BUL
athlete_Amir_Tavakkolian_IRI,athlete,Amir Tavakkolian,IRI
athlete_Jang_Jae-sung_KOR,athlete,Jang Jae-sung,KOR
athlete_Khadzhimurad_Magomedov_RUS,athlete,Khadzhimurad Magomedov,RUS
athlete_Brandon_Eggum_USA,athlete,Brandon Eggum,USA
athlete_Yoel_Romero_CUB,athlete,Yoel Romero,CUB
athlete_David_Musulbes_RUS,athlete,David Musulbes,RUS
athlete_Artur_Taymazov_UZB,athlete,Artur Taymazov,UZB
athlete_Alexis_Rodríguez_CUB,athlete,Alexis Rodríguez,CUB
athlete_Buvaisar_Saitiev_RUS,athlete,Buvaisar Saitiev,RUS
athlete_Moon_Eui-jae_KOR,athlete,Moon Eui-jae,KOR
athlete_Joe_Williams_USA,athlete,Joe Williams,USA
athlete_Hitomi_Sakamoto_JPN,athlete,Hitomi Sakamoto,JPN
athlete_Stephanie_Murata_USA,athlete,Stephanie Murata,USA
athlete_Gao_Yanzhi_CHN,athlete,Gao Yanzhi,CHN
athlete_Iryna_Melnik_UKR,athlete,Iryna Melnik,UKR
athlete_Carol_Huynh_CAN,athlete,Carol Huynh,CAN
athlete_Brigitte_Wagner_GER,athlete,Brigitte Wagner,GER
athlete_Edyta_Witkowska_POL,athlete,Edyta Witkowska,POL
athlete_Ma_Bailing_CHN,athlete,Ma Bailing,CHN
athlete_Nina_Englich_GER,athlete,Nina Englich,GER
athlete_Christine_Nordhagen_CAN,athlete,Christine Nordhagen,CAN
athlete_Toccara_Montgomery_USA,athlete,Toccara Montgomery,USA
athlete_Anita_Schätzle_GER,athlete,Anita Schätzle,GER
athlete_Seiko_Yamamoto_JPN,athlete,Seiko Yamamoto,JPN
athlete_Lubov_Volosova_RUS,athlete,Lubov Volosova,RUS
athlete_Tetyana_Lazareva_UKR,athlete,Tetyana Lazareva,UKR
athlete_Meng_Lili_CHN,athlete,Meng Lili,CHN
athlete_Diletta_Giampiccolo_ITA,athlete,Diletta Giampiccolo,ITA
athlete_Lene_Aanes_NOR,athlete,Lene Aanes,NOR
athlete_René_Montero_CUB,athlete,René Montero,CUB
athlete_Namig_Abdullayev_AZE,athlete,Namig Abdullayev,AZE
athlete_Oleksandr_Zakharuk_UKR,athlete,Oleksandr Zakharuk,UKR
athlete_Aram_Margaryan_ARM,athlete,Aram Margaryan,ARM
athlete_Mohammad_Talaei_IRI,athlete,Mohammad Talaei,IRI
athlete_Eldar_Kurtanidze_GEO,athlete,Eldar Kurtanidze,GEO
athlete_Alireza_Heidari_IRI,athlete,Alireza Heidari,IRI
athlete_Zaur_Botaev_RUS,athlete,Zaur Botaev,RUS
athlete_Adam_Saitiev_RUS,athlete,Adam Saitiev,RUS
athlete_Majid_Khodaei_IRI,athlete,Majid Khodaei,IRI
athlete_Aydn_Polatç_TUR,athlete,Aydın Polatçı,TUR
athlete_Mehdi_Hajizadeh_IRI,athlete,Mehdi Hajizadeh,IRI
athlete_Magomed_Isagadzhiev_RUS,athlete,Magomed Isagadzhiev,RUS
