event_id,participant_id,rank,medal,score_raw,points_awarded
world_wrestling_championships_freestyle_2001_men_bantamweight,athlete_David_Pogosian_GEO,3,bronze,discipline=wrestling-freestyle;weight_class=Bantamweight;event=Bantamweight;country=GEO;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),1.0
world_wrestling_championships_freestyle_2001_men_bantamweight,athlete_Guivi_Sissaouri_CAN,1,gold,discipline=wrestling-freestyle;weight_class=Bantamweight;event=Bantamweight;country=CAN;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),3.0
world_wrestling_championships_freestyle_2001_men_bantamweight,athlete_Oyuunbilegiin_Pürevbaatar_MGL,2,silver,discipline=wrestling-freestyle;weight_class=Bantamweight;event=Bantamweight;country=MGL;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),2.0
world_wrestling_championships_freestyle_2001_men_featherweight,athlete_Alireza_Dabir_IRI,2,silver,discipline=wrestling-freestyle;weight_class=Featherweight;event=Featherweight;country=IRI;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),2.0
world_wrestling_championships_freestyle_2001_men_featherweight,athlete_Elbrus_Tedeyev_UKR,3,bronze,discipline=wrestling-freestyle;weight_class=Featherweight;event=Featherweight;country=UKR;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),1.0
world_wrestling_championships_freestyle_2001_men_featherweight,athlete_Serafim_Barzakov_BUL,1,gold,discipline=wrestling-freestyle;weight_class=Featherweight;event=Featherweight;country=BUL;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),3.0
world_wrestling_championships_freestyle_2001_men_flyweight,athlete_Aleksandr_Kontoev_RUS,3,bronze,discipline=wrestling-freestyle;weight_class=Flyweight;event=Flyweight;country=RUS;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),1.0
world_wrestling_championships_freestyle_2001_men_flyweight,athlete_Babak_Nourzad_IRI,2,silver,discipline=wrestling-freestyle;weight_class=Flyweight;event=Flyweight;country=IRI;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),2.0
world_wrestling_championships_freestyle_2001_men_flyweight,athlete_Herman_Kantoyeu_BLR,1,gold,discipline=wrestling-freestyle;weight_class=Flyweight;event=Flyweight;country=BLR;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),3.0
world_wrestling_championships_freestyle_2001_men_heavyweight,athlete_Giorgi_Gogshelidze_RUS,1,gold,discipline=wrestling-freestyle;weight_class=Heavyweight;event=Heavyweight;country=RUS;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),3.0
world_wrestling_championships_freestyle_2001_men_heavyweight,athlete_Krasimir_Kochev_BUL,2,silver,discipline=wrestling-freestyle;weight_class=Heavyweight;event=Heavyweight;country=BUL;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),2.0
world_wrestling_championships_freestyle_2001_men_heavyweight,athlete_Vadim_Tasoyev_UKR,3,bronze,discipline=wrestling-freestyle;weight_class=Heavyweight;event=Heavyweight;country=UKR;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),1.0
world_wrestling_championships_freestyle_2001_men_lightweight,athlete_Amir_Tavakkolian_IRI,2,silver,discipline=wrestling-freestyle;weight_class=Lightweight;event=Lightweight;country=IRI;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),2.0
world_wrestling_championships_freestyle_2001_men_lightweight,athlete_Jang_Jae-sung_KOR,3,bronze,discipline=wrestling-freestyle;weight_class=Lightweight;event=Lightweight;country=KOR;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),1.0
world_wrestling_championships_freestyle_2001_men_lightweight,athlete_Nikolay_Paslar_BUL,1,gold,discipline=wrestling-freestyle;weight_class=Lightweight;event=Lightweight;country=BUL;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),3.0
world_wrestling_championships_freestyle_2001_men_middleweight,athlete_Brandon_Eggum_USA,2,silver,discipline=wrestling-freestyle;weight_class=Middleweight;event=Middleweight;country=USA;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),2.0
world_wrestling_championships_freestyle_2001_men_middleweight,athlete_Khadzhimurad_Magomedov_RUS,1,gold,discipline=wrestling-freestyle;weight_class=Middleweight;event=Middleweight;country=RUS;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),3.0
world_wrestling_championships_freestyle_2001_men_middleweight,athlete_Yoel_Romero_CUB,3,bronze,discipline=wrestling-freestyle;weight_class=Middleweight;event=Middleweight;country=CUB;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),1.0
world_wrestling_championships_freestyle_2001_men_super-heavyweight,athlete_Alexis_Rodríguez_CUB,3,bronze,discipline=wrestling-freestyle;weight_class=Super heavyweight;event=Super heavyweight;country=CUB;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),1.0
world_wrestling_championships_freestyle_2001_men_super-heavyweight,athlete_Artur_Taymazov_UZB,2,silver,discipline=wrestling-freestyle;weight_class=Super heavyweight;event=Super heavyweight;country=UZB;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),2.0
world_wrestling_championships_freestyle_2001_men_super-heavyweight,athlete_David_Musulbes_RUS,1,gold,discipline=wrestling-freestyle;weight_class=Super heavyweight;event=Super heavyweight;country=RUS;source_url=https://en.wikipedia.org/wiki/List_of_World_Championships_medalists_in_wrestling_(freestyle),3.0
